base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,19.8262217,86.380139,377.2306575,25.2015319,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0
convex_cross,4,Xpress,4.6459543,0.5390374,2.9671769,5.4057911,0.2816353,4.1012499880278015e8,OPTIMAL,112713,64898,166.3559364,1.6912682927993662e9,OPTIMAL,7540,6043
convex_cross,8,Xpress,3.3138597,0.6687301,4.0223128,13.0688766,0.3171637,4.064814248384094e8,OPTIMAL,173961,112418,148.5406022,1.3757105878994312e9,OPTIMAL,6563,2666
convex_cross,12,Xpress,3.6078201,0.8924017,4.7924595,27.2752704,0.442938,4.362334138190384e8,OPTIMAL,235209,159938,119.2032433,6.436967169251137e8,OPTIMAL,3151,1244
convex_cross,16,Xpress,6.0061651,1.0861951,5.8563304,40.635673,0.5765431,4.33004175597023e8,OPTIMAL,296457,207458,113.3694158,6.27211151265253e8,OPTIMAL,3243,608
convex_cross,20,Xpress,4.1482249,1.1610459,7.1889705,49.0132795,0.7577114,4.312217582846527e8,OPTIMAL,357705,254978,111.5436151,6.095947600108552e8,OPTIMAL,2436,469
convex_cross,30,Xpress,17.6295356,1.9340524,9.6730327,75.7124836,1.0250319,4.307216162994156e8,OPTIMAL,510825,373778,114.8232851,6.141267140351126e8,OPTIMAL,2589,1357
convex_cross,45,Xpress,18.1720203,3.7572801,21.9271797,122.1522756,1.770031,4.454025852258682e8,OPTIMAL,740505,551978,110.5445095,5.235101869342456e8,OPTIMAL,1109,1033
convex_cross,60,Xpress,16.4392594,3.6194187,17.992966,174.7311593,11.5894242,4.4592097643361664e8,OPTIMAL,970185,730178,107.8478266,5.1420530472003436e8,OPTIMAL,978,956
convex_cross,90,Xpress,26.9504485,6.2672535,27.2648151,238.5566146,3.2043841,4.458018244688797e8,OPTIMAL,1429545,1086578,98.7802306,5.05036548521785e8,OPTIMAL,717,946
convex_cross,120,Xpress,50.4854025,8.9930864,46.5684979,280.4991222,5.351842,4.4629131034532166e8,OPTIMAL,1888905,1442978,106.3115989,5.05744220430979e8,OPTIMAL,689,953
convex_cross,180,Xpress,104.3892833,15.5042664,71.4612106,327.2475453,8.6512898,4.4738651696546173e8,OPTIMAL,2807625,2155778,96.2709138,4.867151877574012e8,OPTIMAL,492,894
conicalb_cross,4,Xpress,3.272544,1.0595445,6.1239519,4.7525323,0.3291909,4.049688007146454e8,OPTIMAL,112713,64898,98.7704477,3.7026078273617134e9,OPTIMAL,21038,12107
conicalb_cross,8,Xpress,3.2084503,0.7736157,4.7697603,12.2303729,0.3176352,4.1304329568769073e8,OPTIMAL,173961,112418,156.2894282,9.292286934363656e8,OPTIMAL,5464,4460
conicalb_cross,12,Xpress,3.7102795,0.9690052,5.2797464,22.9628681,0.4514248,4.335154621974182e8,OPTIMAL,235209,159938,139.4026606,7.221654860715437e8,OPTIMAL,4019,815
conicalb_cross,16,Xpress,5.2555123,1.3306541,7.3727425,41.6185705,0.647108,4.36378784910759e8,OPTIMAL,296457,207458,110.983212,6.029106634628296e8,OPTIMAL,2557,385
conicalb_cross,20,Xpress,14.6892724,1.3214966,7.5066257,49.1849739,0.7009612,4.3330572079981995e8,OPTIMAL,357705,254978,115.3087969,5.867975187936392e8,OPTIMAL,2280,379
conicalb_cross,30,Xpress,8.6401162,2.8017049,10.2619083,77.9069628,1.2004314,4.454124546613846e8,OPTIMAL,510825,373778,118.1957651,5.2783342380154085e8,OPTIMAL,1252,3587
conicalb_cross,45,Xpress,14.1318922,2.7362344,14.4878065,126.3526761,2.3755713,4.4527503725948334e8,OPTIMAL,740505,551978,110.7808885,5.183956528683343e8,OPTIMAL,1002,3550
conicalb_cross,60,Xpress,15.6475488,4.7094909,19.3190544,155.4743419,2.1945203,4.4562967746199036e8,OPTIMAL,970185,730178,105.043764,5.12761958333025e8,OPTIMAL,973,3561
conicalb_cross,90,Xpress,27.383782,6.7519925,29.0063534,280.7840341,3.146786,4.417268701637497e8,OPTIMAL,1429545,1086578,102.7714965,5.092952914684062e8,OPTIMAL,826,3562
conicalb_cross,120,Xpress,50.515387,9.7899604,51.363064,249.1482835,5.5289425,4.443116436692734e8,OPTIMAL,1888905,1442978,100.3791741,5.0623910719078827e8,OPTIMAL,698,3561
conicalb_cross,180,Xpress,110.4194608,16.5904988,81.1788703,306.6111929,9.0924029,4.463381369000778e8,OPTIMAL,2807625,2155778,99.4113858,4.882969067117343e8,OPTIMAL,521,3522
