base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,45.8513995,128.7963412,382.4682408,25.8865871,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,8.8462658,2.7002328,10.4085085,2.9342923,0.3526324,7.95821342220932e8,OPTIMAL,112713,64898,105.182022,6.233385651650913e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,6.7181564,3.2207419,11.3374578,6.8373964,0.4612301,6.873376337542038e8,OPTIMAL,173961,112418,64.3688394,6.024262058489008e8,OPTIMAL,0,0,0.0,0.0
convex_cross,12,Xpress,9.0068039,3.4141964,9.0066779,11.824178,0.5531753,6.402505935626373e8,OPTIMAL,235209,159938,61.6268991,5.981696120436325e8,OPTIMAL,0,0,0.0,0.0
convex_cross,16,Xpress,14.6797697,2.1791344,9.1508671,15.2759878,0.7215512,6.240754282573853e8,OPTIMAL,296457,207458,63.5984027,5.903988070555912e8,OPTIMAL,0,0,0.0,0.0
convex_cross,20,Xpress,15.297223,2.9737756,11.1947704,19.4299343,0.8689606,5.841326189672394e8,OPTIMAL,357705,254978,63.6065244,5.698365322393746e8,OPTIMAL,0,7,0.0,22.856069207564797
convex_cross,30,Xpress,34.1030725,5.6335858,18.6867203,26.5337225,2.5789467,5.845174464861603e8,OPTIMAL,510825,373778,60.5840364,5.698445964425584e8,OPTIMAL,7,0,25.014870148217817,0.0
convex_cross,45,Xpress,42.9073044,4.6750145,21.4107392,32.5955105,1.8285222,5.68112802708931e8,OPTIMAL,740505,551978,60.7129643,5.319376138201657e8,OPTIMAL,15,19,19.281601920441183,18.80410583747412
convex_cross,60,Xpress,45.8443493,5.9144231,31.5476734,38.9197673,3.9419984,5.67613513744751e8,OPTIMAL,970185,730178,65.3404453,5.3055986484819764e8,OPTIMAL,33,0,38.34613923168649,0.0
convex_cross,90,Xpress,65.0667493,11.4086044,74.129409,62.7638015,5.3940819,5.661025989280777e8,OPTIMAL,1429545,1086578,64.2822887,5.240653116603261e8,OPTIMAL,19,0,35.16465370074874,0.0
convex_cross,120,Xpress,127.2522575,19.2472928,95.148251,72.9580529,6.6563622,4.4080205250144196e8,OPTIMAL,1888905,1442978,110.2200769,5.381167552700461e8,OPTIMAL,756,669,3012.50015153351,1759.2485217319345
convex_cross,180,Xpress,211.0564398,25.5617248,125.3541694,136.160483,9.6151719,4.456444468300171e8,OPTIMAL,2807625,2155778,108.796816,4.973832675243993e8,OPTIMAL,651,299,2170.1779926120157,551.5663573277243
conicalb_cross,4,Xpress,6.6421871,2.3624861,7.8649934,2.867676,0.3213701,7.95821342220932e8,OPTIMAL,112713,64898,68.4277397,6.23338565165094e8,OPTIMAL,0,0,0.0,1.9872992140790302e-14
conicalb_cross,8,Xpress,9.0879274,1.4122429,3.1117364,6.8939333,0.3495821,6.903174400222855e8,OPTIMAL,173961,112418,58.4664187,6.039617597444563e8,OPTIMAL,0,0,0.0,-2.609024107869118e-14
conicalb_cross,12,Xpress,9.4967848,1.8607726,5.2747529,11.6996734,1.8847192,6.420262200465469e8,OPTIMAL,235209,159938,56.1198165,5.926126647224004e8,OPTIMAL,0,0,0.0,-2.609024107869118e-14
conicalb_cross,16,Xpress,11.6047961,2.0545138,9.0459152,14.4183308,0.7873285,5.927344395673981e8,OPTIMAL,296457,207458,57.4378774,5.784453959507222e8,OPTIMAL,0,0,0.0,1.9872992140790302e-14
conicalb_cross,20,Xpress,15.1676125,2.2987397,11.0083553,17.3020095,0.8284579,5.909918878113861e8,OPTIMAL,357705,254978,59.7584396,5.77632198018277e8,OPTIMAL,0,0,0.0,-2.609024107869118e-14
conicalb_cross,30,Xpress,24.597886,3.4227753,17.5676092,27.1145406,1.2873252,5.832843926993256e8,OPTIMAL,510825,373778,59.8143881,5.69536452008025e8,OPTIMAL,7,0,20.48278352336015,-2.609024107869118e-14
conicalb_cross,45,Xpress,35.935794,4.0979799,28.9695066,30.9042583,1.7191969,5.835233927091675e8,OPTIMAL,740505,551978,63.8088905,5.694522438108382e8,OPTIMAL,7,0,21.786771358044824,-2.609024107869118e-14
conicalb_cross,60,Xpress,45.2173459,6.0361574,37.7880802,37.3596166,15.598109,5.826099798622742e8,OPTIMAL,970185,730178,57.3812933,5.697030387013967e8,OPTIMAL,7,0,25.43864043108585,-2.609024107869118e-14
conicalb_cross,90,Xpress,68.0112314,13.1037595,49.8185648,58.4646298,5.1412899,5.661750251764221e8,OPTIMAL,1429545,1086578,66.9310179,5.200368723743245e8,OPTIMAL,33,3,44.92514181402938,0.5930555963085422
conicalb_cross,120,Xpress,96.5010801,16.5619118,79.1087868,79.2220123,7.2523683,5.185969032902298e8,OPTIMAL,1888905,1442978,81.9169143,4.728031038039959e8,OPTIMAL,137,59,463.2446865708398,110.1024165512072
conicalb_cross,180,Xpress,191.7832651,22.7233601,137.1719642,139.7597087,9.5309556,4.4350055495648193e8,OPTIMAL,2807625,2155778,104.8889355,4.9345262555854017e8,OPTIMAL,650,172,2152.204404035305,251.02593845647692
