base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,61.9300359,146.7692637,382.1160475,19.409545,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross_dirac,4,Xpress,2.6343423,1.4106009,4.8935918,2.9060029,0.2466698,6.454623643226059e9,OPTIMAL,112713,64898,83.9969449,7.027409286779652e8,OPTIMAL,163,303,443.9407129006813,418.22826781916376
convex_cross_dirac,8,Xpress,7.7136335,2.0718106,8.3075277,5.7601608,0.478237,2.0835954801897888e9,OPTIMAL,173961,112418,60.4762424,6.887748270110412e8,OPTIMAL,395,226,1228.8240697067254,325.7266711106482
convex_cross_dirac,12,Xpress,12.1839918,2.916633,6.0271533,10.467946,0.6627066,1.0917080455790176e9,OPTIMAL,235209,159938,83.4970165,6.865750313455726e8,OPTIMAL,756,326,3415.988134344819,705.041482250137
convex_cross_dirac,16,Xpress,15.3334454,4.0437531,15.6268988,14.0787363,0.7610326,8.401355782570496e8,OPTIMAL,296457,207458,83.777843,5.981440596654047e8,OPTIMAL,175,35,387.5903894267266,39.33069783864828
convex_cross_dirac,20,Xpress,22.6355243,3.1743875,10.5537014,16.4936431,0.9603828,8.449248724849396e8,OPTIMAL,357705,254978,85.2612606,5.9551572157482e8,OPTIMAL,130,14,312.39887920907313,14.738670325522355
convex_cross_dirac,30,Xpress,39.4176071,3.7101958,18.8568387,27.9909139,1.3241042,4.3041097648043823e8,OPTIMAL,510825,373778,125.2094521,5.678766847024946e8,OPTIMAL,1009,1003,4497.9014265860205,2379.663835402218
convex_cross_dirac,45,Xpress,42.1636886,5.6389026,26.4734752,31.7618286,2.0080887,4.2929305220427704e8,OPTIMAL,740505,551978,115.9478434,5.50833374878865e8,OPTIMAL,1282,470,5087.5390320032475,855.3021994650228
convex_cross_dirac,60,Xpress,72.3598337,6.9803889,44.5925153,44.835697,2.5788999,4.294217405633011e8,OPTIMAL,970185,730178,114.9201687,5.546243583244051e8,OPTIMAL,1366,375,5587.545813886432,575.404845546267
convex_cross_dirac,90,Xpress,92.0617617,10.1196951,73.8272213,59.1426818,5.167296,4.2359635068118286e8,OPTIMAL,1429545,1086578,113.3491014,5.529572078023429e8,OPTIMAL,1228,305,5588.612479115021,498.62184434975103
convex_cross_dirac,120,Xpress,124.6047797,13.9932957,103.7772381,82.8737267,6.5963146,4.2732060942850494e8,OPTIMAL,1888905,1442978,118.8731935,5.506790424633453e8,OPTIMAL,1147,285,5424.873328895643,485.92975236594344
convex_cross_dirac,180,Xpress,204.1987682,31.5730524,150.6754658,132.1024039,9.9222502,4.434562122524109e8,OPTIMAL,2807625,2155778,102.7065765,4.934676939514476e8,OPTIMAL,655,176,2149.0762440149574,242.60088397549447
conicalb_cross_dirac,4,Xpress,10.2905364,4.700174,18.3802787,2.9638353,0.5236499,6.454623643226059e9,OPTIMAL,112713,64898,55.4407468,7.027409286779346e8,OPTIMAL,386,72,778.870159201976,83.29882151786924
conicalb_cross_dirac,8,Xpress,18.5623956,4.9887276,15.2593913,6.8494407,3.6373402,2.7560557600075455e9,OPTIMAL,173961,112418,50.2963349,6.775052044848344e8,OPTIMAL,300,31,373.59061176100585,56.30699323813048
conicalb_cross_dirac,12,Xpress,48.2558389,2.0076636,8.7142091,10.816356,0.5951139,1.1110209004260788e9,OPTIMAL,235209,159938,75.1756613,6.156225822244189e8,OPTIMAL,284,73,758.868528776589,40.2539161786826
conicalb_cross_dirac,16,Xpress,18.6797422,2.4459001,11.986514,15.2001431,0.8181725,8.486707754311218e8,OPTIMAL,296457,207458,94.5912014,5.928161517056229e8,OPTIMAL,130,11,272.6872387398407,6.070102451525202
conicalb_cross_dirac,20,Xpress,18.9405373,3.2764159,13.7251995,19.5420113,0.9778155,8.512484784335861e8,OPTIMAL,357705,254978,86.3853108,5.959045474590502e8,OPTIMAL,145,8,366.8586511149709,10.342663670227388
conicalb_cross_dirac,30,Xpress,33.5178026,3.9311892,18.6431032,29.7391395,1.3105376,8.460661361851959e8,OPTIMAL,510825,373778,87.3429369,5.955022977424463e8,OPTIMAL,142,11,328.08700072694546,32.677911797870415
