base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.020947,90.9878611,377.2305441,25.314126,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,7.2188744,0.5466201,3.8293285,4.0056807,0.283561,7.414013111862717e8,OPTIMAL,112713,64898,100.4271145,6.147069761799262e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,2.8356285,0.6673201,3.1101978,9.4731917,0.3958301,5.929266372468338e8,OPTIMAL,173961,112418,63.1407666,5.779552013478718e8,OPTIMAL,0,0,0.0,0.0
convex_cross,12,Xpress,3.5421961,0.8891677,4.0051455,18.3712015,0.4916936,5.871303977286911e8,OPTIMAL,235209,159938,62.3635673,5.738621843128141e8,OPTIMAL,0,0,0.0,0.0
convex_cross,16,Xpress,5.7200576,1.0779849,5.1327922,26.2991,0.5792803,5.856600572686768e8,OPTIMAL,296457,207458,60.5140464,5.733370725224806e8,OPTIMAL,0,0,0.0,0.0
convex_cross,20,Xpress,4.3986103,1.2254224,5.9865423,32.6090186,0.764174,5.807353702688141e8,OPTIMAL,357705,254978,58.0705989,5.677013412266874e8,OPTIMAL,0,0,0.0,0.0
convex_cross,30,Xpress,16.2819846,1.8191052,8.825065,54.9671937,1.0923518,5.669132369675674e8,OPTIMAL,510825,373778,63.6807716,5.540316362144688e8,OPTIMAL,0,25,0.0,25.819968269189257
convex_cross,45,Xpress,12.4392616,3.0200833,12.95879,89.4177732,10.7139958,5.220256776245346e8,OPTIMAL,740505,551978,92.8582167,4.8309919584419286e8,OPTIMAL,158,242,459.5630101767996,463.3782170497518
convex_cross,60,Xpress,13.0420606,4.0724473,16.5070223,109.6987152,2.6964256,5.206603653321152e8,OPTIMAL,970185,730178,78.1786093,4.7716232083249253e8,OPTIMAL,231,57,456.5227961680222,138.28082728489494
convex_cross,90,Xpress,18.2205516,5.7062696,24.1410454,134.2703646,3.1431658,4.633987695390854e8,OPTIMAL,1429545,1086578,103.3910255,4.93770043944252e8,OPTIMAL,452,241,1788.2598581718346,476.4937606039579
convex_cross,120,Xpress,32.2013459,7.7493351,43.9813605,196.1968312,5.4573217,4.6290071069303894e8,OPTIMAL,1888905,1442978,98.8176027,4.932628102136979e8,OPTIMAL,498,150,1918.4833825730607,296.28801418307035
convex_cross,180,Xpress,83.5788952,12.650112,70.7066887,211.8742547,8.0356044,4.653317725194626e8,OPTIMAL,2807625,2155778,100.8755236,4.8174241423763067e8,OPTIMAL,395,116,1436.8335754674936,175.19440084850265
conicalb_cross,4,Xpress,2.5442071,0.9353208,6.3692245,4.4743543,0.2735038,7.45818651583725e8,OPTIMAL,112713,64898,63.2790736,6.195665886398003e8,OPTIMAL,0,0,0.0,9.769962616701378e-15
conicalb_cross,8,Xpress,2.5931241,0.6800289,3.0586826,10.229621,0.4057232,6.783882526588135e8,OPTIMAL,173961,112418,58.573429,6.003453527904149e8,OPTIMAL,0,0,0.0,-1.0658141036401503e-14
conicalb_cross,12,Xpress,3.7488926,0.9100746,4.1885537,17.0178147,0.5131627,6.349839350741653e8,OPTIMAL,235209,159938,60.7270563,5.876215135712321e8,OPTIMAL,0,0,0.0,9.769962616701378e-15
conicalb_cross,16,Xpress,4.9433394,1.2480565,5.6985496,26.1937788,0.5971803,6.214727429825974e8,OPTIMAL,296457,207458,58.8417618,5.850818214889379e8,OPTIMAL,0,0,0.0,9.769962616701378e-15
conicalb_cross,20,Xpress,5.2105311,1.4259875,6.9373837,35.6986729,0.7796769,5.958459469172516e8,OPTIMAL,357705,254978,58.8611203,5.752350775688156e8,OPTIMAL,0,0,0.0,9.769962616701378e-15
conicalb_cross,30,Xpress,7.5408622,1.9539154,9.8355681,53.5802102,1.7382288,5.917800865443192e8,OPTIMAL,510825,373778,58.6398215,5.743393334972137e8,OPTIMAL,0,0,0.0,9.769962616701378e-15
conicalb_cross,45,Xpress,19.2698071,2.6483323,13.9709397,83.5574555,2.4045981,5.710381149841537e8,OPTIMAL,740505,551978,62.4149498,5.551009154036136e8,OPTIMAL,3,0,3.4538705740211877,9.769962616701378e-15
conicalb_cross,60,Xpress,14.9706456,4.8462128,27.0278492,111.7224237,2.3016654,5.689870519310532e8,OPTIMAL,970185,730178,63.9655488,5.542523052958754e8,OPTIMAL,3,0,7.132019911243411,9.769962616701378e-15
conicalb_cross,90,Xpress,26.2522029,7.231496,38.3288941,163.5050859,3.3529568,5.091291082909546e8,OPTIMAL,1429545,1086578,85.1775497,4.782406334599574e8,OPTIMAL,236,43,704.1606127341429,57.662841050559905
conicalb_cross,120,Xpress,40.4891335,9.5297351,52.1852918,161.283553,4.4895035,4.649999321443634e8,OPTIMAL,1888905,1442978,101.3357649,4.9234981455742097e8,OPTIMAL,525,125,2015.1831523647083,183.2281942101697
conicalb_cross,180,Xpress,94.6306683,14.1200198,80.6960804,232.873335,8.1893273,4.6574740452900696e8,OPTIMAL,2807625,2155778,92.13864,4.8218617146095747e8,OPTIMAL,403,103,1499.923235710733,140.36435211755747
