base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.0544198,86.379199,377.959228,22.8395767,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,7.9654802,0.5239945,2.8938231,4.893345,0.2705369,5.062924940276733e9,OPTIMAL,112713,64898,94.7519262,6.917578130009516e8,OPTIMAL,46,54,195.23751909300523,146.35925390206108
convex_cross,8,Xpress,11.4595256,0.654178,3.8925785,13.2761158,0.3147597,2.2394492753539505e9,OPTIMAL,173961,112418,59.7432672,6.64667529511693e8,OPTIMAL,90,83,193.683753651833,55.41605495412288
convex_cross,12,Xpress,5.3258337,0.8622192,4.6654825,21.2990316,0.4292893,1.7554750548066025e9,OPTIMAL,235209,159938,55.6955926,6.489224817183855e8,OPTIMAL,54,13,116.05419759433371,10.645245290069877
convex_cross,16,Xpress,13.8917321,1.0433946,5.9973486,36.0830312,0.5601749,1.7932771766784515e9,OPTIMAL,296457,207458,56.7980561,6.509169541472883e8,OPTIMAL,56,9,114.04870459870105,7.241922057543889
convex_cross,20,Xpress,8.1526587,1.2322279,6.972969,42.365235,0.7604988,1.6364146568736954e9,OPTIMAL,357705,254978,54.5016086,6.442653643389636e8,OPTIMAL,72,13,131.6768605433687,19.06105132521597
convex_cross,30,Xpress,6.0582682,1.7314219,9.3012306,72.830895,0.9994047,1.3903768852085266e9,OPTIMAL,510825,373778,61.4942598,6.203789901548097e8,OPTIMAL,65,16,154.15390438727326,44.534806512943575
convex_cross,45,Xpress,20.4738694,2.6914954,13.936055,119.272214,2.140145,9.861857144126053e8,OPTIMAL,740505,551978,76.8312493,5.913446576349976e8,OPTIMAL,34,19,59.74638577928307,11.37579025818309
convex_cross,60,Xpress,25.8270752,3.4818876,17.8445578,154.4415473,2.1386351,9.490365629777985e8,OPTIMAL,970185,730178,78.1524706,5.905197419357339e8,OPTIMAL,20,7,39.98980743053539,3.104588392029815
convex_cross,90,Xpress,33.0260207,6.1563233,26.011929,250.5261544,3.8510568,7.562796042586136e8,OPTIMAL,1429545,1086578,92.4685559,5.801196595634257e8,OPTIMAL,59,36,180.23971556522065,97.62045956652966
convex_cross,120,Xpress,42.5391535,8.1891001,46.2463455,276.9333547,5.7926712,7.422201173548355e8,OPTIMAL,1888905,1442978,87.9562561,5.742995671509637e8,OPTIMAL,85,31,277.88074477784784,94.07928558062885
convex_cross,180,Xpress,96.0437223,13.5309915,70.2201967,296.4377226,9.2901006,6.173412322310104e8,OPTIMAL,2807625,2155778,92.5972158,4.957454355361732e8,OPTIMAL,305,237,1124.6186908090854,501.9655742348413
conicalb_cross,4,Xpress,2.6017993,1.2017066,5.6260105,5.2386343,0.2212452,3.3648049462489014e9,OPTIMAL,112713,64898,59.621064,6.915931030430273e8,OPTIMAL,285,54,781.1657901636157,58.26592524208306
conicalb_cross,8,Xpress,3.8542373,1.1165388,6.4643727,13.564553,0.3574649,2.545249929746895e9,OPTIMAL,173961,112418,58.3086765,6.708919405124265e8,OPTIMAL,113,30,323.9423689399654,27.914905125369238
conicalb_cross,12,Xpress,5.9400307,1.3566898,5.7391622,20.6311715,0.5353257,1.9936670195625305e9,OPTIMAL,235209,159938,54.4151718,6.659328011957815e8,OPTIMAL,143,34,482.2495943338839,25.17138774059258
conicalb_cross,16,Xpress,4.5444317,1.1709527,6.7300401,32.9054839,0.6744893,1.581523078574234e9,OPTIMAL,296457,207458,55.7968317,6.437089721229109e8,OPTIMAL,78,8,198.49148760498704,6.297863552530613
conicalb_cross,20,Xpress,6.5204952,1.4720663,9.6179692,48.075195,0.7841277,1.266139472912613e9,OPTIMAL,357705,254978,65.044995,6.126138929916849e8,OPTIMAL,73,5,187.8582265839491,6.152968036000005
conicalb_cross,30,Xpress,10.2015928,1.9003426,11.3949387,69.2976905,1.624013,1.1716877368750916e9,OPTIMAL,510825,373778,68.6852521,6.022280334346976e8,OPTIMAL,67,7,177.55424793225313,7.180365295999994
conicalb_cross,45,Xpress,21.9161219,2.7711098,15.3370271,114.9105102,1.6684022,9.322159059444427e8,OPTIMAL,740505,551978,82.8648155,5.89696371704854e8,OPTIMAL,86,7,125.11558462775415,5.022590504537288
conicalb_cross,60,Xpress,25.4522498,4.2116974,19.9667305,167.8713434,2.3187446,8.808084205437393e8,OPTIMAL,970185,730178,85.5120428,5.864928399251759e8,OPTIMAL,22,4,31.94370469877271,3.8470319630000063
conicalb_cross,90,Xpress,36.2217052,6.5845096,28.5422491,216.4082025,4.072737,7.603531839900131e8,OPTIMAL,1429545,1086578,86.2087197,5.802663751799395e8,OPTIMAL,98,10,275.6068895642071,26.24755273313103
conicalb_cross,120,Xpress,40.9324595,8.2822511,49.7799247,262.8367646,5.6549401,6.36015101122612e8,OPTIMAL,1888905,1442978,101.0912411,5.0949281825038e8,OPTIMAL,483,226,1831.167844324657,449.317692948443
conicalb_cross,180,Xpress,96.4987747,14.4184963,80.0045274,268.6471246,22.7966782,5.908574451059113e8,OPTIMAL,2807625,2155778,97.6170528,4.9271627100778913e8,OPTIMAL,392,125,1502.3574587784656,170.41238834989397
