base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.3416915,89.3222786,377.7681014,23.7767491,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,11.3355528,0.8488088,3.6224079,4.980078,0.2932502,6.412272893697433e8,OPTIMAL,112713,64898,97.1560824,5.966075519681942e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,9.5933814,0.6521556,6.8255828,11.1129821,0.3384948,5.954938128570786e8,OPTIMAL,173961,112418,76.3510148,5.630106968477893e8,OPTIMAL,0,0,0.0,0.0
convex_cross,12,Xpress,14.069867,0.9087978,4.7497494,18.9997479,0.4469506,5.860769574910507e8,OPTIMAL,235209,159938,64.7508922,5.574983370524933e8,OPTIMAL,0,0,0.0,0.0
convex_cross,16,Xpress,9.6344607,1.0236104,5.5262962,31.8759608,0.5928584,5.755405294493942e8,OPTIMAL,296457,207458,62.6989236,5.487591937170069e8,OPTIMAL,2,11,0.524658228994353,3.6547245321167363
convex_cross,20,Xpress,23.813549,1.1737395,6.5819486,47.2448892,0.7916773,5.667291055091934e8,OPTIMAL,357705,254978,61.5722167,5.092553998508253e8,OPTIMAL,8,2,2.0338150780260342,1.0605017893633166
convex_cross,30,Xpress,23.6581377,1.8307838,10.1304198,76.9611621,1.1272896,5.1294204579003143e8,OPTIMAL,510825,373778,77.9159895,4.703875089886667e8,OPTIMAL,23,54,38.98251008013833,87.16470025936762
convex_cross,45,Xpress,16.2253103,2.5190244,12.8684809,102.8334917,2.1192062,4.834985717065811e8,OPTIMAL,740505,551978,81.7283582,4.650598425298091e8,OPTIMAL,107,62,202.2683901560261,52.70954217556265
convex_cross,60,Xpress,21.9576392,3.7274899,17.128688,154.1112393,2.1358331,4.69667826608757e8,OPTIMAL,970185,730178,87.5586414,4.6558341393483424e8,OPTIMAL,125,25,403.32527220661024,17.192459060989407
convex_cross,90,Xpress,27.5874549,6.0392015,25.0581244,275.0405976,3.0985207,4.69367788341774e8,OPTIMAL,1429545,1086578,81.3523136,4.62084884479092e8,OPTIMAL,92,10,205.21026080599495,9.839407860088553
convex_cross,120,Xpress,57.4918713,8.4136123,45.4893882,286.1662154,5.681246,4.6743713284254456e8,OPTIMAL,1888905,1442978,85.1603878,4.6200148709606856e8,OPTIMAL,103,12,274.47193101153835,12.369331121818442
convex_cross,180,Xpress,60.5153937,14.0376922,68.9670114,322.9881916,8.5514106,4.6289628332099915e8,OPTIMAL,2807625,2155778,84.6034525,4.6102006050564337e8,OPTIMAL,62,7,235.73282295739497,14.379255310044647
conicalb_cross,4,Xpress,7.2334868,1.117362,4.8832677,4.1113932,0.2066163,6.248226626252975e8,OPTIMAL,112713,64898,78.2328732,5.770377034724054e8,OPTIMAL,0,0,0.0,1.7763568394002505e-15
conicalb_cross,8,Xpress,11.4564944,1.0354711,5.7915749,13.6878986,0.3637317,5.840834268871231e8,OPTIMAL,173961,112418,77.7106898,5.620076419027612e8,OPTIMAL,0,0,0.0,1.7763568394002505e-15
conicalb_cross,12,Xpress,21.224042,1.3637189,5.3966347,19.239352,0.535198,5.845312259784393e8,OPTIMAL,235209,159938,71.4915458,5.56436177587356e8,OPTIMAL,2,0,0.23371920076537256,-3.552713678800501e-15
conicalb_cross,16,Xpress,12.1967436,1.040175,5.4705891,30.710474,0.5720351,5.454598752777328e8,OPTIMAL,296457,207458,73.3395312,4.8195485688763696e8,OPTIMAL,12,13,11.853486797812417,23.8483495184878
conicalb_cross,20,Xpress,13.0137359,1.3080244,8.9663488,40.6047346,0.71249,5.2854562049375916e8,OPTIMAL,357705,254978,72.3710917,4.77835654774041e8,OPTIMAL,42,10,72.80365623563443,10.424586219874763
conicalb_cross,30,Xpress,17.8696455,1.9857901,9.7373041,79.8473951,1.0414299,5.0328653711354065e8,OPTIMAL,510825,373778,86.6270714,4.681026501194365e8,OPTIMAL,49,3,89.49263245945198,0.4217601149631498
conicalb_cross,45,Xpress,30.8295616,2.8188372,14.2713647,109.5483853,2.1648979,4.735883880314636e8,OPTIMAL,740505,551978,80.2343104,4.63466060165421e8,OPTIMAL,80,9,161.2545199354981,5.680589740920732
conicalb_cross,60,Xpress,36.4913177,3.4433234,20.0687667,181.6582294,2.881894,4.718221316006317e8,OPTIMAL,970185,730178,88.0844598,4.616031751472873e8,OPTIMAL,97,6,226.22275705001223,2.7029646991973513
conicalb_cross,90,Xpress,43.8772529,5.9444636,28.1757354,232.3616013,4.4217297,4.6807571234935e8,OPTIMAL,1429545,1086578,83.2659626,4.622066421059283e8,OPTIMAL,58,20,150.10063254092702,6.397837358801704
conicalb_cross,120,Xpress,45.1598456,8.5322262,48.0870184,266.8239799,5.4476545,4.6596569842642975e8,OPTIMAL,1888905,1442978,84.6694744,4.618147781180736e8,OPTIMAL,56,2,165.18897078145716,2.178384432348678
conicalb_cross,180,Xpress,67.6654764,13.8394184,73.9803554,273.2624129,8.6952812,4.7149421201205444e8,OPTIMAL,2807625,2155778,77.8540794,4.607729389105635e8,OPTIMAL,67,5,108.69859345966701,6.49079898802098
