base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.6283949,89.9801347,390.7519946,25.495198,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,9.4607261,0.5444091,3.3843784,4.2729263,0.3017527,6.896975435029068e8,OPTIMAL,112713,64898,96.5474053,6.011081395657756e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,4.497079,0.960917,4.1674818,12.211043,0.9216712,5.4689553085466e8,OPTIMAL,173961,112418,83.9767014,4.817784986349089e8,OPTIMAL,82,91,97.22441872513463,105.7290068542719
convex_cross,12,Xpress,4.0400169,0.8780752,4.5782257,21.7918603,0.4872367,5.412572004871521e8,OPTIMAL,235209,159938,74.2350486,4.828891959526616e8,OPTIMAL,137,44,216.65300700132696,41.21509080400256
convex_cross,16,Xpress,7.7441235,1.2472023,5.9892714,38.1618982,0.6268495,5.374284198871384e8,OPTIMAL,296457,207458,82.1192349,4.7925582347654784e8,OPTIMAL,99,16,155.508343510945,15.995952632138021
convex_cross,20,Xpress,4.7182878,1.2823308,6.8531845,48.6342103,1.1813495,5.102185138986206e8,OPTIMAL,357705,254978,84.9666029,4.7030546721380764e8,OPTIMAL,38,17,48.074536264595835,14.677901047738759
convex_cross,30,Xpress,17.5699881,1.8213664,9.2817602,82.3275592,1.0963019,4.809464757120819e8,OPTIMAL,510825,373778,91.5182658,4.676332460040434e8,OPTIMAL,135,69,290.24201226879427,44.872813180865336
convex_cross,45,Xpress,15.2747549,2.7590302,23.9965161,124.0567283,2.3661343,4.720562540305786e8,OPTIMAL,740505,551978,96.1235901,4.7010434879489195e8,OPTIMAL,206,39,540.2781827536833,24.0070293131948
convex_cross,60,Xpress,12.8132044,3.6730026,17.0862522,173.2115259,3.4003361,4.7036533841137695e8,OPTIMAL,970185,730178,91.0379204,4.629735216543306e8,OPTIMAL,63,8,190.1930695016798,8.548674942823864
convex_cross,90,Xpress,18.7055306,5.9762578,26.4962012,283.4559586,3.1931884,4.654462477857361e8,OPTIMAL,1429545,1086578,91.5705285,4.623661625171209e8,OPTIMAL,47,2,127.9180187355228,6.296336630332588
convex_cross,120,Xpress,32.5275708,8.39138,46.3735802,261.8416061,5.7624827,4.639982987820816e8,OPTIMAL,1888905,1442978,89.8413126,4.613216104801192e8,OPTIMAL,53,4,138.06652915052217,4.017675715806224
convex_cross,180,Xpress,46.2836648,15.3888292,71.8321659,338.5905571,8.9085557,4.6059099831303406e8,OPTIMAL,2807625,2155778,91.2028297,4.611005308970935e8,OPTIMAL,59,5,197.77170514854296,7.461942637866054
