base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.4741482,89.086739,377.3455876,24.8242881,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,10.6058485,0.5588016,2.9466283,4.4932829,0.2767352,6.846414951031723e8,OPTIMAL,112713,64898,91.795386,6.011085230558101e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,4.8964656,0.6368877,3.5287755,10.9722147,0.3007082,5.303345341994629e8,OPTIMAL,173961,112418,89.0796297,4.8835917309247917e8,OPTIMAL,179,195,364.72393232336816,358.44569814591375
convex_cross,12,Xpress,4.1331705,0.881591,4.9796496,20.6450289,0.436518,5.2545813173747253e8,OPTIMAL,235209,159938,74.2257685,4.76931451126306e8,OPTIMAL,70,38,135.3825557153693,33.65001833126968
convex_cross,16,Xpress,7.0794891,1.1109611,5.9125898,32.0582531,0.5835336,5.238112641270828e8,OPTIMAL,296457,207458,72.1724031,4.7373563384221613e8,OPTIMAL,45,18,54.05357754099669,11.006668440529392
convex_cross,20,Xpress,4.6375595,1.2690019,7.3108851,44.2282642,0.7833697,4.971295212367554e8,OPTIMAL,357705,254978,84.6556283,4.701931540510276e8,OPTIMAL,164,80,278.6097106836267,34.617042805957034
convex_cross,30,Xpress,17.1544439,1.7636655,9.1539726,68.6064448,1.0749865,4.7934857053250885e8,OPTIMAL,510825,373778,80.0525334,4.7302459119413614e8,OPTIMAL,373,105,548.007658962008,59.81570677212377
convex_cross,45,Xpress,14.0983042,2.9131851,21.7166409,110.1125255,1.7298099,4.743532984612427e8,OPTIMAL,740505,551978,83.195382,4.649348361191449e8,OPTIMAL,142,37,261.74303070050314,15.815331457806566
convex_cross,60,Xpress,12.9619093,3.9178839,17.0029213,146.1876004,3.3501676,4.7036540016109467e8,OPTIMAL,970185,730178,80.2365507,4.629736064916725e8,OPTIMAL,55,7,191.9845696407792,6.760664676637864
convex_cross,90,Xpress,18.4453411,6.001431,25.3032894,260.8245745,13.297263,4.665337530602646e8,OPTIMAL,1429545,1086578,85.2505239,4.6230734876210564e8,OPTIMAL,42,3,124.10343742157153,8.8303486944445
convex_cross,120,Xpress,35.9905595,8.6999143,49.7370421,249.1970042,4.3304276,4.631243083587494e8,OPTIMAL,1888905,1442978,85.6838386,4.6175076680396116e8,OPTIMAL,69,4,171.17972982015112,7.5657461646821655
convex_cross,180,Xpress,49.1443027,14.4475045,73.3227602,292.5308648,7.4237709,4.597100750702667e8,OPTIMAL,2807625,2155778,98.1007425,4.6073456396212727e8,OPTIMAL,64,7,230.84478924616707,8.837286087115823
conicalb_cross,4,Xpress,4.6044286,1.0679006,5.9305823,4.4372508,0.235787,5.825952982311783e8,OPTIMAL,112713,64898,71.8222059,5.683907700382857e8,OPTIMAL,1,0,3.5256695304129266,3.68594044175552e-14
conicalb_cross,8,Xpress,4.1209492,0.8965796,4.2135028,11.3179564,0.3107777,5.761307446242447e8,OPTIMAL,173961,112418,63.1385443,5.592553191898091e8,OPTIMAL,0,0,1.4210854715202004e-14,-7.327471962526033e-14
conicalb_cross,12,Xpress,4.3482651,0.9515406,5.3480822,21.1924888,0.4468287,5.1520105073020935e8,OPTIMAL,235209,159938,77.5687188,4.7508808099202067e8,OPTIMAL,47,6,67.69729557099586,6.566838592912147
conicalb_cross,16,Xpress,6.1538525,1.0869329,5.8828743,37.7947107,0.6084739,4.820711855521469e8,OPTIMAL,296457,207458,82.2140887,4.7101762027412647e8,OPTIMAL,233,142,487.1042007019488,161.23252763486371
conicalb_cross,20,Xpress,6.3180237,1.4574186,8.8279042,41.6027904,0.7365128,4.944578691349106e8,OPTIMAL,357705,254978,86.3674542,4.6756313928472465e8,OPTIMAL,171,26,268.81911556984517,7.878098188056761
conicalb_cross,30,Xpress,9.1766866,2.1813361,10.9460025,68.8515334,1.5944385,4.720322915736542e8,OPTIMAL,510825,373778,87.4329837,4.6815389842744154e8,OPTIMAL,200,35,411.713438708158,32.137187673057596
conicalb_cross,45,Xpress,19.2146478,2.8046951,14.329794,110.1169868,2.1439853,4.713135738493805e8,OPTIMAL,740505,551978,80.573665,4.7106272456728953e8,OPTIMAL,293,65,495.81340526191684,34.47820116584889
conicalb_cross,60,Xpress,23.2278755,3.5752494,18.7618725,152.7105963,2.9691631,4.696185303724747e8,OPTIMAL,970185,730178,79.58392,4.624963760765742e8,OPTIMAL,51,0,92.70817842550615,8.248957072964913e-14
conicalb_cross,90,Xpress,29.3661321,6.3194168,26.4369964,225.5781279,3.8630788,4.6435809030561066e8,OPTIMAL,1429545,1086578,86.9876746,4.6163472086654156e8,OPTIMAL,73,1,149.97937056010898,1.1576443258613267
conicalb_cross,120,Xpress,33.7730532,8.8058824,46.8347414,266.2311713,5.7388623,4.6342080331072235e8,OPTIMAL,1888905,1442978,86.0532726,4.6082271203686e8,OPTIMAL,69,0,197.92975414133736,8.248957072964913e-14
conicalb_cross,180,Xpress,51.9756535,15.0770509,77.9748717,316.6227232,7.9350828,4.5956784152685547e8,OPTIMAL,2807625,2155778,81.6067183,4.6029482039234394e8,OPTIMAL,60,0,204.6383224264221,8.248957072964913e-14
