base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.3715917,89.1579409,387.4436693,24.4373847,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,10.2262163,1.3336716,5.2608424,5.2547879,0.30824,6.986889181195297e8,OPTIMAL,112713,64898,94.2795323,6.015211506657608e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,5.3007457,0.6685851,3.680414,11.928686,0.311627,5.751688084808884e8,OPTIMAL,173961,112418,67.1836388,5.2578276848278767e8,OPTIMAL,9,28,5.8513868958804265,10.896621147260836
convex_cross,12,Xpress,3.9019787,0.8675651,4.6426751,20.6397567,0.4367849,5.768772309355927e8,OPTIMAL,235209,159938,61.4615231,5.262016923054232e8,OPTIMAL,37,0,17.714253607619032,0.0
convex_cross,16,Xpress,7.552356,1.0798525,6.6347821,33.1921962,0.5572477,5.716480147962265e8,OPTIMAL,296457,207458,56.8383222,5.249806245938667e8,OPTIMAL,42,1,18.502826665704696,0.6658867094328949
convex_cross,20,Xpress,5.0363157,1.3089138,7.1795664,43.5915801,0.6987494,5.536569424133835e8,OPTIMAL,357705,254978,70.6977293,4.930446431209261e8,OPTIMAL,14,12,25.357256798474957,15.150232241233596
convex_cross,30,Xpress,17.282718,1.961627,9.9221331,77.6846205,1.4821039,4.887799332782593e8,OPTIMAL,510825,373778,89.538835,4.670722724023231e8,OPTIMAL,98,81,210.41316728170847,54.7825356379287
convex_cross,45,Xpress,14.5927399,2.7055159,24.9794237,117.3438251,1.632595,4.7329395315073395e8,OPTIMAL,740505,551978,91.3485407,4.69611395016575e8,OPTIMAL,162,47,489.6017325014262,43.98802406705994
convex_cross,60,Xpress,14.4859561,4.5141874,18.6373305,191.3108334,2.0592472,4.714567349324341e8,OPTIMAL,970185,730178,83.4764203,4.626090840175201e8,OPTIMAL,54,9,167.28153583333597,8.921579454910564
convex_cross,90,Xpress,18.7471768,6.4741921,38.1654772,286.6983066,4.3052831,4.654462113679657e8,OPTIMAL,1429545,1086578,89.4435681,4.623662827881199e8,OPTIMAL,39,6,120.8116198561606,13.403192020273671
convex_cross,120,Xpress,31.8989842,8.9023617,50.3639456,249.3880867,5.6007252,4.64037883077713e8,OPTIMAL,1888905,1442978,86.5092462,4.6139867273588514e8,OPTIMAL,47,1,140.67467183262522,3.3008528228055374
convex_cross,180,Xpress,53.5694778,15.8931501,77.4971235,294.2277015,8.3765888,4.618939997015991e8,OPTIMAL,2807625,2155778,92.0229222,4.605906945531959e8,OPTIMAL,45,0,154.13837905597194,0.0
conicalb_cross,4,Xpress,6.3083983,1.059902,17.2005145,4.2532624,0.2323985,5.930494757554932e8,OPTIMAL,112713,64898,71.4229723,5.73956178439325e8,OPTIMAL,0,0,0.0,0.0
conicalb_cross,8,Xpress,7.0511043,0.9071161,4.5245646,13.1939114,0.3735619,5.862547155566406e8,OPTIMAL,173961,112418,63.5914909,5.689355057658374e8,OPTIMAL,0,0,0.0,0.0
conicalb_cross,12,Xpress,7.9002379,1.4096516,7.7674096,23.1614076,0.5579434,5.664907395795059e8,OPTIMAL,235209,159938,72.0590234,5.1241101656579196e8,OPTIMAL,31,4,12.99178261085828,4.00353598765301
conicalb_cross,16,Xpress,24.1557244,1.1408688,7.3614789,35.0895744,0.6134728,5.178881154942398e8,OPTIMAL,296457,207458,83.6222426,4.750535264053477e8,OPTIMAL,34,7,40.18975285108971,1.3819993660551553
conicalb_cross,20,Xpress,8.0617127,1.5015821,8.6927443,48.7357774,0.7964881,5.421545181190491e8,OPTIMAL,357705,254978,71.6474904,4.7909043315839905e8,OPTIMAL,12,0,12.063341768319695,0.0
conicalb_cross,30,Xpress,8.4585838,2.1156735,11.1760892,73.1291918,1.0908887,4.860087416939392e8,OPTIMAL,510825,373778,86.7394084,4.643981570125108e8,OPTIMAL,95,24,226.3393738695246,32.69586418178232
conicalb_cross,45,Xpress,22.5964002,3.0883658,15.3345765,118.0065142,2.1553434,4.698739278201065e8,OPTIMAL,740505,551978,95.8804199,4.675337181828423e8,OPTIMAL,196,35,434.2358244141686,21.096651590832707
conicalb_cross,60,Xpress,25.5917509,3.7128325,21.6640332,163.7576765,2.3502906,4.696152880659714e8,OPTIMAL,970185,730178,81.0883406,4.6249486478678656e8,OPTIMAL,47,4,86.68608170193099,5.989149055312518
conicalb_cross,90,Xpress,29.2750742,5.4500292,28.6982362,236.176615,3.905554,4.652122219277725e8,OPTIMAL,1429545,1086578,89.2677055,4.623038744305046e8,OPTIMAL,67,6,136.49620294560515,1.4796418777860576
conicalb_cross,120,Xpress,34.9469731,8.8257172,50.9177358,290.3355335,6.5986155,4.638067651346741e8,OPTIMAL,1888905,1442978,89.7952856,4.609766293633186e8,OPTIMAL,54,3,174.06570116502758,5.001747594660686
conicalb_cross,180,Xpress,59.9773823,17.427747,85.7450007,436.5090407,21.7438756,4.613910821346817e8,OPTIMAL,2807625,2155778,91.6908809,4.612411867460003e8,OPTIMAL,52,12,234.97716098734213,19.024059862607324
