base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.1443615,88.0070387,399.4340056,16.8493002,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,9.7686789,0.9480108,3.7510216,5.1194618,0.2965629,3.5813558393546295e9,OPTIMAL,112713,64898,94.4533952,6.734870108063995e8,OPTIMAL,11,14,30.715038155178174,9.349194347722419
convex_cross,8,Xpress,4.951388,0.6777547,3.6623392,12.7440005,0.3066117,8.300995222654953e8,OPTIMAL,173961,112418,128.649604,5.947757415440176e8,OPTIMAL,59,59,116.20025099653394,89.80318301661856
convex_cross,12,Xpress,5.4438161,0.9268212,4.7972635,20.0687342,0.4547297,8.394347556800461e8,OPTIMAL,235209,159938,90.5058176,5.909576696890546e8,OPTIMAL,68,19,50.24290353551542,4.353271548213072
convex_cross,16,Xpress,4.6665053,1.0897842,5.9112688,33.7383013,0.5830243,7.459172228982849e8,OPTIMAL,296457,207458,82.8748759,5.438984841474075e8,OPTIMAL,68,5,40.86587842083753,4.697119053894861
convex_cross,20,Xpress,15.723364,1.371904,6.7037912,50.1160436,0.6888324,5.939754055520096e8,OPTIMAL,357705,254978,80.0599514,4.7540292179629004e8,OPTIMAL,98,64,132.63788215859432,31.419896193017006
convex_cross,30,Xpress,11.2034078,1.8737063,9.5652168,79.4386678,1.0646966,5.148933665474243e8,OPTIMAL,510825,373778,87.6381069,4.6792447508550566e8,OPTIMAL,136,35,211.42220326227073,25.979556420380753
convex_cross,45,Xpress,8.7354149,2.6132976,13.1500452,123.9068328,2.0723935,4.89757660232872e8,OPTIMAL,740505,551978,89.6745883,4.6710733453424394e8,OPTIMAL,141,63,345.43342356171985,46.067465791132605
convex_cross,60,Xpress,11.6778469,4.0303745,17.1926719,196.8545637,2.6915209,4.760047076111069e8,OPTIMAL,970185,730178,86.6179671,4.662336021223806e8,OPTIMAL,95,6,242.99984170039977,5.7686207498484325
convex_cross,90,Xpress,17.9722235,5.9697006,26.6632475,286.2644884,3.2626461,4.757889442206421e8,OPTIMAL,1429545,1086578,90.9604092,4.616418083333761e8,OPTIMAL,55,6,134.62488994299463,5.281161762866311
convex_cross,120,Xpress,42.5438892,8.403752,46.3849786,285.659101,5.1949797,4.678456972955017e8,OPTIMAL,1888905,1442978,87.5886838,4.6051589391029274e8,OPTIMAL,44,11,150.86696350269256,28.220278039624556
convex_cross,180,Xpress,54.4605285,15.3561342,69.7476863,300.7882939,7.4892113,4.6178464227931213e8,OPTIMAL,2807625,2155778,92.5689903,4.612889922694512e8,OPTIMAL,60,7,237.94281240365163,23.90290760681849
conicalb_cross,4,Xpress,18.7970414,0.5805531,2.0907373,3.933062,0.1874638,7.335553119420013e8,OPTIMAL,112713,64898,73.1013984,5.338051093650747e8,OPTIMAL,164,128,573.8275218890357,306.3820680265026
conicalb_cross,8,Xpress,5.812929,1.0066254,4.5975847,11.8233309,0.3399883,8.00856852046875e8,OPTIMAL,173961,112418,100.4506951,6.2279617095606e8,OPTIMAL,383,162,1601.2487605813749,298.0521073812409
conicalb_cross,12,Xpress,6.537067,1.3120638,7.0407886,21.8291331,0.5173508,7.055437703408966e8,OPTIMAL,235209,159938,80.2364627,5.0391321020543975e8,OPTIMAL,43,9,222.9271190911831,24.264229251539252
conicalb_cross,16,Xpress,20.1400474,1.077981,5.9080475,35.1387441,0.5814134,5.743857534486237e8,OPTIMAL,296457,207458,82.823477,4.75954689659864e8,OPTIMAL,132,23,274.9346931166203,14.319633928661514
conicalb_cross,20,Xpress,7.1767439,1.3739773,8.2030174,43.4502517,0.7110983,6.473477096403656e8,OPTIMAL,357705,254978,74.1186231,4.7911194031530935e8,OPTIMAL,129,29,166.28192804871327,10.074773807659657
conicalb_cross,30,Xpress,8.7482177,1.9262875,9.8006196,77.8161764,1.1081536,5.215213095493851e8,OPTIMAL,510825,373778,87.8557957,4.698229606863136e8,OPTIMAL,94,16,206.61162431685324,4.703952331860198
conicalb_cross,45,Xpress,19.9098257,2.946001,14.0966969,126.0393423,2.093492,4.733488612670822e8,OPTIMAL,740505,551978,88.2640766,4.7023360076117086e8,OPTIMAL,250,44,460.37132079717816,22.276888100058912
conicalb_cross,60,Xpress,22.3216554,3.5812624,19.4092046,153.9597602,2.8270376,4.749981212888794e8,OPTIMAL,970185,730178,90.7957316,4.6221197715126044e8,OPTIMAL,48,1,87.93254501489028,0.12163190183255912
conicalb_cross,90,Xpress,28.4567681,6.1823109,25.7797709,259.5830154,3.9015405,4.696249112085266e8,OPTIMAL,1429545,1086578,90.4776346,4.620170172974123e8,OPTIMAL,97,8,173.28763302685786,4.695323844639271
conicalb_cross,120,Xpress,38.0426891,8.4714357,46.4523536,270.1070636,5.03746,4.6507084447423553e8,OPTIMAL,1888905,1442978,84.6610146,4.611504468863724e8,OPTIMAL,62,1,192.47219256078972,0.226959244938993
conicalb_cross,180,Xpress,55.892021,14.3279543,76.7050595,350.1458925,8.7945982,4.616062695619354e8,OPTIMAL,2807625,2155778,89.481825,4.617328711538883e8,OPTIMAL,65,2,275.42548562294076,1.0339550551956198
