base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,73.1236619,162.2879955,541.8576413,18.4460111,4.685700547504196e8,OPTIMAL,0,0,0.0,0.0,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909
kmedoids_cross_convex,4,Xpress,4.0025027,1.875587,13.4244664,5.1571473,0.3697562,4.485334253571823e9,OPTIMAL,292,193,2811.5743820571365,1230.2568252547217,112713,64898,83.5174763,6.991156953071381e8,OPTIMAL,260,312,919.6415351136123,381.76755258162655
kmedoids_cross_convex,4,Xpress,9.6522722,2.0457573,5.2332046,5.2343153,0.3048002,3.5428386110877533e9,OPTIMAL,284,193,2770.2238339318933,1224.5040684103944,112713,64898,53.2213205,7.03807319366092e8,OPTIMAL,498,233,1276.3307111623953,198.70296189986325
kmedoids_cross_convex,4,Xpress,7.1044949,2.4399355,12.1260519,4.4266937,0.3654837,2.8361357775171127e9,OPTIMAL,283,188,2706.0602611639124,1237.4918700075646,112713,64898,53.7129117,6.933992963655866e8,OPTIMAL,375,58,1119.886008835061,52.00131550368459
kmedoids_cross_convex,4,Xpress,9.3795508,3.7416077,18.7915525,5.4969519,0.4582029,4.0455829064944687e9,OPTIMAL,284,189,2760.266470985895,1224.1128789337286,112713,64898,50.4867799,7.014351030399034e8,OPTIMAL,484,81,1232.3060984499757,89.74108472081514
kmedoids_cross_convex,4,Xpress,8.269103,1.6671814,4.0341659,4.9587588,0.2760081,3.211329536224922e9,OPTIMAL,286,186,2837.6486627681356,1146.0041590521496,112713,64898,50.5994206,7.025657411454312e8,OPTIMAL,588,79,1275.3709991746696,48.119543338271846
kmedoids_cross_convex,4,Xpress,8.4959557,1.6506536,10.2231453,5.3036707,0.3684572,4.0455829064944687e9,OPTIMAL,284,189,2760.266470985895,1224.1128789337286,112713,64898,49.4355106,7.01435103039902e8,OPTIMAL,500,65,1252.789192301791,69.25799086900003
kmedoids_cross_convex,4,Xpress,12.4014525,1.3124987,3.5254892,5.3106616,0.3079156,3.540814272688431e9,OPTIMAL,287,180,2799.4795793620156,1120.4855342160995,112713,64898,61.0087349,6.94244302668185e8,OPTIMAL,360,40,995.9483364667008,28.493852061473554
kmedoids_cross_convex,4,Xpress,8.6194431,2.9815914,18.940508,5.0875352,0.4604032,2.65603640417025e9,OPTIMAL,289,183,2846.1831912474727,1139.2549643428747,112713,64898,52.9980368,6.957432965735444e8,OPTIMAL,621,77,1192.7417795297856,114.17996924188245
kmedoids_cross_convex,4,Xpress,8.6910102,3.290572,17.4357636,5.2062702,0.3629425,2.656036404170265e9,OPTIMAL,289,187,2908.869892936791,1076.5682626535577,112713,64898,51.6285187,6.957432965735437e8,OPTIMAL,629,71,1214.0810243143032,92.84072445736486
kmedoids_cross_convex,4,Xpress,6.5012176,3.1194375,17.9788123,4.5667033,0.3973806,2.8657310602603455e9,OPTIMAL,289,190,2790.2543696563152,1188.5266601819312,112713,64898,52.5242141,6.946419500640913e8,OPTIMAL,613,82,1168.3151417071003,107.24862321104129
kmedoids_cross_convex,8,Xpress,11.9234879,2.1609371,12.3748639,13.2078833,0.5829585,1.922403611857193e9,OPTIMAL,283,177,2674.9219236961885,994.3266743126636,173961,112418,52.9829345,6.824303904805098e8,OPTIMAL,436,77,1161.027407019234,47.70054802809446
kmedoids_cross_convex,8,Xpress,9.6892065,4.0912457,24.7830144,14.9371085,0.6543375,1.8756489020914764e9,OPTIMAL,286,179,2688.10273875124,1049.1494507529449,173961,112418,58.3833975,6.852607996478794e8,OPTIMAL,517,83,1347.6854535704097,89.53928016332311
kmedoids_cross_convex,8,Xpress,11.3808067,3.299244,17.8701209,12.7887925,0.5404639,2.376383804588295e9,OPTIMAL,283,189,2771.688990014969,1089.2458064834018,173961,112418,54.5024761,6.847599913069292e8,OPTIMAL,448,58,1056.9914231505488,59.54435602001779
kmedoids_cross_convex,8,Xpress,10.9233592,2.2761003,9.1637304,12.8696156,0.5059741,2.137483521902893e9,OPTIMAL,282,186,2714.008623170761,1062.9452212906108,173961,112418,57.5153273,6.856573017702658e8,OPTIMAL,399,53,1217.3429849747522,35.66981263647912
kmedoids_cross_convex,8,Xpress,12.859168,2.9220735,15.7721806,11.8575849,0.6721138,3.0567180661764526e9,OPTIMAL,280,182,2822.9862884870954,1019.0809248205755,173961,112418,52.4621173,6.934379048646628e8,OPTIMAL,509,72,1270.6123814083514,77.15861156347847
kmedoids_cross_convex,8,Xpress,9.4959145,2.0769242,10.7164346,11.6928993,0.5091747,2.8859705324737244e9,OPTIMAL,288,185,2793.3143793271333,1108.31063399726,173961,112418,55.6901525,6.882624952786788e8,OPTIMAL,459,62,944.1836673564408,73.04739685729632
kmedoids_cross_convex,8,Xpress,13.0131003,2.7431103,15.5955891,11.6871519,0.549488,2.3576790468132324e9,OPTIMAL,283,186,2786.840753026531,1019.5985022924955,173961,112418,59.9172436,6.820598066579939e8,OPTIMAL,353,40,908.8393627237285,31.62379792021487
kmedoids_cross_convex,8,Xpress,7.5524666,3.1442566,17.8033139,13.5482347,0.7033245,2.148040610349922e9,OPTIMAL,281,185,2747.3885319843944,1058.8453225178928,173961,112418,57.7943659,6.855344867831995e8,OPTIMAL,506,61,1240.9536163130688,70.867579911
kmedoids_cross_convex,8,Xpress,22.3621153,2.0181324,8.5766304,12.5252088,0.5924478,2.419697669756546e9,OPTIMAL,280,177,2700.737843824738,1008.4998431958364,173961,112418,56.2092725,6.822825713010222e8,OPTIMAL,368,40,1021.1572935479123,25.684931501999998
kmedoids_cross_convex,8,Xpress,15.6992357,2.7454242,15.8051413,14.5438446,0.6618098,2.3004105522091446e9,OPTIMAL,285,184,2769.9097834454815,1031.6967448029468,173961,112418,66.3520629,6.812353281729292e8,OPTIMAL,338,41,874.8471043332695,29.543378991
kmedoids_cross_convex,12,Xpress,18.0127207,5.358927,21.2634633,25.4649715,0.7182898,1.6408767075532608e9,OPTIMAL,279,176,2623.177086213086,1036.0563704979863,235209,159938,60.0143472,6.803105333499401e8,OPTIMAL,519,77,1473.3336539261627,96.44190863099203
