base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,penalty_tot_loss_of_load,investment_cost,operational_cost,investment_cost_storage,investment_cost_renewable,investment_cost_non_renewable,investment_cost_electrolyzer,non_renewable_capacity
0_HourlyBenchmark,1,Xpress,0.0,20.0130788,88.1814348,377.8656973,22.6995433,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15,2.0735140160008066e6,4.332296452506538e8,2.0917564480729498e7,1.2321828290281203e7,1.712434486116668e8,4.065466382790575e7,2.0900970452079993e8,284.1394641771362
kmedoids_cross_convex,4,Xpress,6.3542696,0.555781,2.913529,4.6374271,0.2877724,4.483814945754288e9,OPTIMAL,112713,64898,91.6694846,6.915155000490664e8,OPTIMAL,226,301,622.6595270904907,422.0985647514197,2.0895161836838305e7,6.492262751197176e8,4.143028297070611e7,3.894817869134562e6,2.2244847946424946e8,2.1473221522411877e8,2.0900970452079993e8,564.0798302075764
kmedoids_cross_convex,8,Xpress,9.8163032,0.6813627,3.974741,12.355813,0.3155787,1.9217323350129395e9,OPTIMAL,173961,112418,53.9845718,6.720608987377369e8,OPTIMAL,377,108,987.0385284468633,82.25391324694067,2.1385848833876114e7,6.330758752559754e8,3.8669906606559806e7,4.729606613897665e6,2.102442886697203e8,2.0940739232673532e8,2.0900970452079993e8,553.0321649196921
kmedoids_cross_convex,12,Xpress,3.1494903,0.9019305,4.8865962,24.9908214,0.4549286,1.6433862497044678e9,OPTIMAL,235209,159938,58.7563757,6.604827565626738e8,OPTIMAL,364,141,740.8078813535785,250.3906847867464,1.9823971322806492e7,6.200490806513937e8,4.043367591125759e7,5.1231592417420065e6,1.9700310135545164e8,2.0891311553339952e8,2.0900970452079993e8,551.1167644165218
kmedoids_cross_convex,16,Xpress,12.2249728,1.0484856,5.3551652,31.0770911,0.5423103,1.623697400581108e9,OPTIMAL,296457,207458,65.5713747,6.50707474561704e8,OPTIMAL,261,30,585.3023798002274,19.52517805380501,1.209655115708064e7,6.223430027773242e8,2.83644717843785e7,5.804899250744766e6,1.986580699340296e8,2.088703290717494e8,2.0900970452079993e8,550.0815766996775
kmedoids_cross_convex,20,Xpress,3.9904013,1.3100673,9.8756728,48.3161636,0.8109661,1.1220862469692688e9,OPTIMAL,357705,254978,78.7725434,6.033086402864107e8,OPTIMAL,210,19,393.0254855753454,24.430735220624786,8.349124415919399e6,5.74617662802194e8,2.869097748421643e7,6.878155917535362e6,1.5090760070774847e8,2.0782220165610966e8,2.0900970452079993e8,546.0333089315105
kmedoids_cross_convex,30,Xpress,3.6746962,1.8123065,8.6964231,69.2268812,1.5149966,1.168240184306343e9,OPTIMAL,510825,373778,63.9176474,6.143848979783385e8,OPTIMAL,212,21,393.98909082821456,29.370750873116144,8.467196834026614e6,5.864752117470083e8,2.7909686231330793e7,6.019120053642748e6,1.633355691012699e8,2.0811081807129553e8,2.0900970452079993e8,547.8039572432281
kmedoids_cross_convex,45,Xpress,12.3181875,2.7359851,13.8996055,99.0418071,2.1665092,1.1433769950199509e9,OPTIMAL,740505,551978,82.5112787,6.052416236353412e8,OPTIMAL,181,18,363.2619806778369,13.680600688306551,7.5388516273228675e6,5.784787597045228e8,2.6762863930819124e7,6.76330601982881e6,1.547194067257151e8,2.0798634243817872e8,2.0900970452079993e8,546.6827293142031
kmedoids_cross_convex,60,Xpress,16.2774121,3.5204131,17.4587783,148.2548423,2.1728707,1.0008129670037918e9,OPTIMAL,970185,730178,74.7090055,5.934645332667114e8,OPTIMAL,84,6,182.86791462188407,4.762662864627286,3.752611549730227e6,5.68653204261676e8,2.4811329005032476e7,6.929703895941199e6,1.449562979241937e8,2.0775749792074075e8,2.0900970452079993e8,547.3463106102396
kmedoids_cross_convex,90,Xpress,19.5412407,5.3750877,25.2108767,237.0694468,3.9081501,8.689212838765411e8,OPTIMAL,1429545,1086578,84.2723683,5.890926153161701e8,OPTIMAL,52,15,209.53779916844542,11.087137993442376,4.412498743237755e6,5.621770937320087e8,2.6915521584177375e7,7.136502081514544e6,1.3886548040849298e8,2.0716540672120106e8,2.0900970452079993e8,546.5466560209862
kmedoids_cross_convex,120,Xpress,12.6185046,7.9028037,44.4414014,246.076254,5.4323342,8.206725114323349e8,OPTIMAL,1888905,1442978,86.6476549,5.901058106430831e8,OPTIMAL,68,27,390.20794499857107,54.36138392139299,8.891386578399278e6,5.565671888718688e8,3.353862177124963e7,7.170786595123382e6,1.33234578245219e8,2.0715211951072627e8,2.0900970452079993e8,546.7910362602885
kmedoids_cross_convex,180,Xpress,16.3777818,13.0426919,69.7043617,330.5463789,7.5865612,7.798022694306793e8,OPTIMAL,2807625,2155778,84.9007879,5.77857008451909e8,OPTIMAL,26,3,108.25826085722757,8.392755606663805,2.3330203292778274e6,5.529937775471135e8,2.4863230904788304e7,7.699264824654624e6,1.3266055348645484e8,2.036242547152039e8,2.0900970452079993e8,543.7507193576695
