base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75,loss_of_load_h2_demand_mean,loss_of_load_h2_demand_q25,loss_of_load_h2_demand_q75,total_lol_mean,total_lol_q25,total_lol_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,20.7693815,20.7693815,20.7693815,88.5895689,88.5895689,88.5895689,515.7491411,515.7491411,515.7491411,24.1226005,24.1226005,24.1226005,649.230692,649.230692,649.230692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,5.343177389999999,2.9923055000000005,7.317246750000001,0.5888262099999999,0.48092497500000003,0.52606805,2.97985501,2.30539235,3.1638813499999996,5.295749590000002,5.0041652249999995,5.422581025,0.23980782,0.1979564,0.25683065000000005,14.44741602,11.514202999999998,18.162719049999996,0.28120828005418663,0.27464267806976006,0.2885034773420546,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0,-36.46423909168288,-36.46423909168288,-36.46423909168288,-5.139846435702908,-5.139846435702909,-5.139846435702909,-41.604085527385784,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,8,9.39612592,4.4113300749999995,14.295378099999999,0.8079873300000001,0.7270868,0.7882435,4.446986580000001,4.0566588249999995,4.64626145,12.21656615,11.817303625000001,12.72798855,0.3275873400000001,0.3094511,0.34286079999999997,27.19525332,21.9141371,31.961176,0.25094559833598773,0.24832766529939357,0.2546012144026781,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0,-36.46423909168288,-36.46423909168288,-36.46423909168288,-5.139846435702908,-5.139846435702909,-5.139846435702909,-41.604085527385784,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,12,9.609573540000001,4.8565288,14.4969983,0.92536879,0.881074,0.975501425,5.1731314500000005,4.902817275,5.297113825,22.20177644,20.887565075,22.655570725,0.50634751,0.44122087500000007,0.4698217,38.41619772999999,33.511484075,41.86609,0.2407267470614188,0.23736029773192638,0.2447904449807039,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0,-36.46423909168288,-36.46423909168288,-36.46423909168288,-5.139846435702908,-5.139846435702909,-5.139846435702909,-41.604085527385784,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,16,7.473429169999998,5.460095924999999,6.422758225,1.1991843299999998,1.17953165,1.241254475,6.6480961600000015,6.309316875,6.88913665,35.05590242000001,31.879854525,37.572179975,0.62968265,0.604682575,0.6668208,51.00629472999999,46.9787042,54.665318875000004,0.22658371600977598,0.2322640459567088,0.23893445088418128,-21.8,-25.0,-25.0,-4.9,-9.0,-9.0,-26.7,-34.0,-34.0,-32.6489307981044,-36.46423909168288,-36.46423909168288,0.3396074485818554,-5.139846435702909,-5.139846435702909,-32.30932334952254,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,20,8.98902642,6.2206119499999994,12.638451725000001,1.52870405,1.341168975,1.4380634,7.77148942,7.517320175,7.874710074999999,45.070946320000004,42.570515549999996,46.002221925,0.8207379100000001,0.742842325,0.847461,64.18090412,59.001131474999994,70.224515025,0.2079433604013051,0.18007134677888967,0.23488947782591552,-4.6,-25.0,-14.5,-5.7,-9.0,-8.25,-10.3,-34.0,-22.75,-4.699448639294572,-36.46423909168288,-7.957549089900141,4.4560002652282495,-5.139846435702909,5.075993108355734,-0.24344837406632253,-41.604085527385784,-2.881555981544407
kmedoids_cross_convex,30,11.179662170000002,7.998002025,14.888105525,2.13327899,2.0714181,2.193673275,10.75747749,10.018977225,11.464034374999999,78.51553505000001,76.78213877499999,81.4160861,2.1413964100000005,1.1371385,1.259648575,104.72735011000002,100.5358726,105.99080599999999,0.12919828848566248,0.09850520388822268,0.15282074857586808,46.0,0.5,80.25,5.6,-7.0,8.5,51.6,-6.5,90.0,123.20509465269534,-6.269204811090146,220.14286637097683,16.865079595107876,-4.124318911028823,18.53182128982267,140.0701742478032,-9.318408971251895,237.9867068960759
kmedoids_cross_convex,45,12.75926122,10.220540100000001,15.70842825,3.33629018,2.9795111,3.3814834250000003,17.373229540000004,15.312880925000002,16.3346038,123.38187816999998,117.91098085,126.635662875,3.10465108,2.2048634,2.3129579500000004,159.95531019,155.08562255,162.1166048,0.08203752536655098,0.06514039282123692,0.10092207300125133,84.8,61.25,101.0,10.5,-0.5,23.75,95.3,68.5,115.0,219.49633276199626,188.8435535470436,297.8817093225175,25.667800074078123,1.0239704262065148,39.92673335165173,245.1641328360744,238.48294595536595,330.2034402273637
kmedoids_cross_convex,60,11.384862639999998,10.767109375,11.747864725000001,4.30835631,3.8722915,4.951351875,21.42674337,20.491354,22.242256625,178.46826242,168.011952025,186.0740632,2.9277647900000003,2.924117425,3.1682469749999997,218.51598952999998,209.307791525,225.608642275,0.039235385035940054,0.031003214726356094,0.04423588445203208,117.1,77.0,145.0,16.1,6.25,15.25,133.2,83.25,188.0,320.45047786560156,262.86087889589174,375.50794510049445,23.95179832811409,6.640861772513428,30.251349124151325,344.4022761937157,293.98667111905786,428.6178053705048
kmedoids_cross_convex,90,24.84194134,21.917287100000003,27.389315525,8.976901770000001,7.983568200000001,10.181982975,41.30945942000001,37.35835605,44.400397350000006,263.27742041,251.7997677,278.53662909999997,10.159901829999999,4.379032625000001,16.233148925,348.56562477,325.97931235,371.3414091,0.021314413209011413,0.020559850725030377,0.022315907606211237,123.8,107.5,140.75,12.3,5.75,19.25,136.1,114.0,163.0,353.8164200848347,332.94165295051744,384.11603646404103,22.636033322217294,11.1273435125535,33.020113594524226,376.452453407052,351.99349127946465,429.08581446150686
