base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,45.4064978,120.0498127,388.1861487,17.9679502,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,31.7190486,1.3919011,4.8430428,3.9889662,0.2905282,6.240490759274368e8,OPTIMAL,112713,64898,105.1967025,5.633846130099775e8,OPTIMAL,0,1,0.0,0.04625113482291787
convex_cross,4,Xpress,25.9836844,1.6407639,4.0238653,3.9159443,0.3034394,6.240490759274368e8,OPTIMAL,112713,64898,68.8402466,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,33.2514866,1.0675991,3.9323661,3.9750257,0.3353445,6.240490759274368e8,OPTIMAL,112713,64898,69.3525621,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,23.8446569,1.1122574,5.6577445,4.0350105,0.3582792,6.240490759274368e8,OPTIMAL,112713,64898,74.3817808,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,33.1522732,1.219512,6.5846315,4.4505185,0.2875098,6.240490759274368e8,OPTIMAL,112713,64898,67.9358155,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,24.2089086,1.2489057,5.3880917,4.0380974,0.3166341,6.240490759274368e8,OPTIMAL,112713,64898,68.2553988,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,35.3081128,1.209399,5.4569909,3.9891296,0.32142,6.240490759274368e8,OPTIMAL,112713,64898,68.7351186,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,26.0351119,1.3541629,7.2832777,4.0329992,0.309748,6.240490759274368e8,OPTIMAL,112713,64898,72.254274,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,33.0210536,1.2070401,7.0437809,4.4153689,0.2987838,6.240490759274368e8,OPTIMAL,112713,64898,70.4699993,5.63384613009978e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,4,Xpress,26.0357958,1.60584,6.7131619,3.9385929,0.3319297,6.240490759274368e8,OPTIMAL,112713,64898,70.8164354,5.633846130099779e8,OPTIMAL,1,0,0.04625113482291798,0.0
convex_cross,8,Xpress,35.0865814,1.3485664,6.6715283,10.8227984,0.4192515,5.2935981033073425e8,OPTIMAL,173961,112418,67.6422929,4.936509333705262e8,OPTIMAL,21,17,33.92520445906101,24.67457369719788
convex_cross,8,Xpress,25.3222895,1.7157385,7.7372071,11.6411384,0.4454305,5.2935981033073425e8,OPTIMAL,173961,112418,67.2016668,4.9365093337052536e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,34.5884882,1.3964546,7.4465664,10.9014454,0.4137362,5.2935981033073425e8,OPTIMAL,173961,112418,72.0499595,4.936509333705253e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,26.7347423,2.1165545,6.0021704,11.5077377,0.46643,5.2935981033073425e8,OPTIMAL,173961,112418,66.3130023,4.936509333705253e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,34.7074298,1.3556598,7.7988572,10.8685603,0.4199265,5.2935981033073425e8,OPTIMAL,173961,112418,70.0076053,4.936509333705253e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,25.9153869,2.1421173,5.8648591,11.5807403,0.4796213,5.2935981033073425e8,OPTIMAL,173961,112418,73.5924791,4.9365093337052536e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,33.8876363,1.2147533,7.3562392,10.8899122,0.4149642,5.2935981033073425e8,OPTIMAL,173961,112418,68.2460166,4.9365093337052536e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,26.5429283,1.598562,6.450284,10.8237754,0.4899747,5.2935981033073425e8,OPTIMAL,173961,112418,63.979895,4.936509333705253e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,34.8218486,1.3351613,7.9518297,10.8890203,0.4170929,5.2935981033073425e8,OPTIMAL,173961,112418,59.9414432,4.9365093337052536e8,OPTIMAL,32,2,58.097495051258925,0.502283105
convex_cross,8,Xpress,27.088737,1.56807,6.3642117,11.5612699,0.4861912,5.2935981033073425e8,OPTIMAL,173961,112418,71.1246831,4.936509333705253e8,OPTIMAL,32,2,58.097495051258925,0.502283105
