base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,29.8053123,99.5905444,384.903203,25.4804094,4.199089024882355e8,OPTIMAL,6824040,4748143,0.0,0.0,,5,0
convex_cross,4,Xpress,6.9118798,1.0064418,6.1918497,5.6359811,0.3030106,5.321976506012726e8,OPTIMAL,112713,64898,160.0079839,4.736201762345979e8,OPTIMAL,0,0
convex_cross,8,Xpress,5.4296289,1.2630057,6.5598797,13.5137903,0.421276,4.921428288173218e8,OPTIMAL,173961,112418,136.754321,4.753793072658188e8,OPTIMAL,0,0
convex_cross,12,Xpress,8.9065838,1.3989731,9.1432219,25.5940797,0.5506527,4.8311073692315674e8,OPTIMAL,235209,159938,135.1883081,4.6702542207270133e8,OPTIMAL,0,0
convex_cross,16,Xpress,11.7934502,1.9530705,18.3884989,63.2544227,0.673905,4.7132598726971436e8,OPTIMAL,296457,207458,132.2917131,4.608226297880621e8,OPTIMAL,0,0
convex_cross,20,Xpress,17.1168312,2.5657982,12.0681648,53.6043615,1.3679466,4.6516873212246704e8,OPTIMAL,357705,254978,110.8842586,4.491572597228744e8,OPTIMAL,2,3
convex_cross,30,Xpress,21.5546575,3.2386876,14.1011064,69.8566232,1.2506438,4.614477035124817e8,OPTIMAL,510825,373778,125.5981762,4.482058911966161e8,OPTIMAL,3,0
convex_cross,45,Xpress,35.8823897,3.5637338,20.1829642,112.682037,2.572763,4.5468908966963196e8,OPTIMAL,740505,551978,100.1240083,4.4530227135506195e8,OPTIMAL,5,1
convex_cross,60,Xpress,39.4751509,6.0460478,23.334294,183.9145384,3.1276253,4.5434132275982666e8,OPTIMAL,970185,730178,99.9498682,4.4463307747592247e8,OPTIMAL,6,0
convex_cross,90,Xpress,47.5636921,7.8564475,33.9315513,256.5729274,3.9890303,4.495334293406677e8,OPTIMAL,1429545,1086578,99.366142,4.435342161352293e8,OPTIMAL,1,1
convex_cross,120,Xpress,60.1327163,10.3826796,55.9807123,278.7473346,6.0016241,4.464809144594574e8,OPTIMAL,1888905,1442978,99.3443516,4.434311956720736e8,OPTIMAL,4,0
convex_cross,180,Xpress,131.1341701,18.1573098,89.2184071,303.4852703,9.2696654,4.446438404342041e8,OPTIMAL,2807625,2155778,95.3638396,4.4294859450437593e8,OPTIMAL,4,0
conicalb_cross,4,Xpress,8.1722879,1.4096075,7.185022,6.0276507,0.3191215,4.858480880370331e8,OPTIMAL,112713,64898,129.5800757,4.7909911171265817e8,OPTIMAL,0,0
conicalb_cross,8,Xpress,6.0591906,0.8884091,5.1808821,13.6178288,0.3629946,4.7886298886343384e8,OPTIMAL,173961,112418,153.1449413,4.6503369480424476e8,OPTIMAL,0,0
conicalb_cross,12,Xpress,8.2245758,1.3174172,6.8228012,24.595397,0.5123632,4.679841665080261e8,OPTIMAL,235209,159938,136.8056496,4.5804948035398793e8,OPTIMAL,0,0
conicalb_cross,16,Xpress,7.9414593,1.3427886,8.7028635,40.4558476,0.7317963,4.575466725401306e8,OPTIMAL,296457,207458,131.8735043,4.481901838412272e8,OPTIMAL,0,0
conicalb_cross,20,Xpress,20.3781386,1.9743013,9.567376,49.1889524,1.3809791,4.571783930516052e8,OPTIMAL,357705,254978,104.0346443,4.4729038196118164e8,OPTIMAL,0,0
conicalb_cross,30,Xpress,18.3503213,2.7917253,14.4602837,84.8475616,1.1600502,4.508837019920044e8,OPTIMAL,510825,373778,121.8861448,4.48019952772439e8,OPTIMAL,5,0
conicalb_cross,45,Xpress,24.7961141,5.4772361,18.7907059,110.5542383,2.4225377,4.4885800625109863e8,OPTIMAL,740505,551978,128.8674781,4.47917280857341e8,OPTIMAL,0,0
conicalb_cross,60,Xpress,24.1443404,4.5400354,25.4123012,161.7947974,3.1398854,4.466643724242859e8,OPTIMAL,970185,730178,127.9635981,4.483649018421807e8,OPTIMAL,0,0
conicalb_cross,90,Xpress,40.1044308,8.512685,38.8100357,232.0577399,3.5759856,4.451214881542511e8,OPTIMAL,1429545,1086578,107.3378198,4.449478186840687e8,OPTIMAL,0,0
conicalb_cross,120,Xpress,76.3696295,13.1048421,58.0741175,277.7571887,5.7830274,4.433755028137207e8,OPTIMAL,1888905,1442978,99.7655892,4.43917917512598e8,OPTIMAL,3,0
conicalb_cross,180,Xpress,165.5226951,21.218911,92.8295585,318.9592897,9.5904699,4.4295806518588257e8,OPTIMAL,2807625,2155778,96.7375377,4.4342101940372634e8,OPTIMAL,6,0
