base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,39.4910344,116.7639948,388.8183611,27.5432749,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,11.0420681,0.5341308,2.7922869,5.8475492,1.159581,6.846414951031723e8,OPTIMAL,112713,64898,99.0011877,6.011085230092278e8,OPTIMAL,0,0,0.0,1.8478552021861105e-11
convex_cross,8,Xpress,4.6478183,0.6488245,3.7236377,11.2844539,0.3206492,5.303345341994629e8,OPTIMAL,173961,112418,81.69881,4.8835917306209564e8,OPTIMAL,341,25,709.4710003342833,13.698630134967905
convex_cross,12,Xpress,3.4808982,0.9083893,5.575766,21.4425586,0.5572072,5.2545813173747253e8,OPTIMAL,235209,159938,71.1262838,4.769314511112671e8,OPTIMAL,96,10,162.75403523463916,6.2785388119679055
convex_cross,16,Xpress,7.5187924,1.1210134,6.8021667,33.3376579,1.6587513,5.238112641270828e8,OPTIMAL,296457,207458,78.9891816,4.7373563382974243e8,OPTIMAL,61,3,62.377597579526096,2.6826484019679055
convex_cross,20,Xpress,4.7342182,1.2403556,7.2304305,46.1904732,0.7324728,4.971295212367554e8,OPTIMAL,357705,254978,84.9888307,4.7019315403676605e8,OPTIMAL,200,35,302.6902238095839,10.536529679967906
convex_cross,30,Xpress,17.6602506,1.8898753,10.1703264,71.050041,1.1906558,4.7934857053250885e8,OPTIMAL,510825,373778,87.0309244,4.7302459118185043e8,OPTIMAL,425,51,592.7206260061321,15.102739727967904
convex_cross,45,Xpress,15.4254846,2.8492807,22.7954254,112.8938969,1.7319373,4.743532984612427e8,OPTIMAL,740505,551978,83.7335757,4.649348361050072e8,OPTIMAL,144,29,268.68849914630954,8.86986301201848
convex_cross,60,Xpress,12.8757921,4.4535606,27.0158121,149.5376431,3.2491916,4.7036540016109467e8,OPTIMAL,970185,730178,84.3034934,4.629736064615364e8,OPTIMAL,61,0,198.74523431741693,1.8478552021861105e-11
convex_cross,90,Xpress,17.711118,6.1139805,37.6538176,260.7138673,4.4332548,4.665337530602646e8,OPTIMAL,1429545,1086578,88.276302,4.623073487323456e8,OPTIMAL,43,0,132.933786116016,1.8478552021861105e-11
convex_cross,120,Xpress,32.2471862,9.2173399,49.8225578,254.1917759,5.609367,4.631243083594513e8,OPTIMAL,1888905,1442978,90.5984799,4.6175076677618027e8,OPTIMAL,72,0,178.74547598489056,1.8478552021861105e-11
convex_cross,180,Xpress,54.1369757,15.5566324,74.5517152,305.5815249,8.4857078,4.5971007507025146e8,OPTIMAL,2807625,2155778,96.5642498,4.6073456392965317e8,OPTIMAL,71,0,239.6820753332803,1.8478552021861105e-11
