base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.2924816,88.3763302,377.2510952,23.6605449,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,9.4395666,0.5841086,2.9676686,4.4833374,0.2691385,6.895786848570099e8,OPTIMAL,112713,64898,92.9848734,6.011003626143094e8,OPTIMAL,0,0,0.0,0.0
convex_cross,8,Xpress,4.5544985,0.6318457,3.6353551,11.93239,0.3091926,5.46534834001915e8,OPTIMAL,173961,112418,82.9863462,4.8185490454446584e8,OPTIMAL,84,94,100.62612025142829,109.58629593650595
convex_cross,12,Xpress,4.2260468,0.7891246,4.5040203,20.8449701,0.4253918,5.40899479423317e8,OPTIMAL,235209,159938,74.4314383,4.828650455400247e8,OPTIMAL,136,45,214.3716105260454,43.25242769586314
convex_cross,16,Xpress,8.1626272,1.0742226,6.65026,39.6573,0.5995132,5.365743645973587e8,OPTIMAL,296457,207458,69.6528931,4.791592664057053e8,OPTIMAL,91,15,155.78748743946278,14.876045254989847
convex_cross,20,Xpress,4.2687455,1.6427719,6.8330133,42.9912815,0.7408833,5.093984289313812e8,OPTIMAL,357705,254978,82.0236206,4.703843157139765e8,OPTIMAL,41,19,55.238307814317075,15.02901969673189
convex_cross,30,Xpress,16.4029964,1.7210677,9.4004562,74.8969932,1.0134962,4.793483577964783e8,OPTIMAL,510825,373778,82.8740479,4.730251596138769e8,OPTIMAL,351,141,519.5385900855936,88.3109743781776
convex_cross,45,Xpress,14.8804353,3.9846931,27.2016453,122.7790872,2.3636528,4.7205625441399384e8,OPTIMAL,740505,551978,87.5877605,4.701043552400996e8,OPTIMAL,207,33,547.3990726480652,16.886479830145152
convex_cross,60,Xpress,12.3535318,3.699419,18.4404642,168.8726996,11.6048444,4.703653397961807e8,OPTIMAL,970185,730178,81.7036575,4.6297352320408833e8,OPTIMAL,60,8,190.1931333098667,8.54867484904818
convex_cross,90,Xpress,20.6595294,6.5105722,37.7887936,276.9342005,4.3894102,4.654462485940552e8,OPTIMAL,1429545,1086578,85.4059564,4.6236616208017564e8,OPTIMAL,43,4,124.15479312733332,10.059567931806853
convex_cross,120,Xpress,35.850196,9.3193308,49.9393061,252.5471868,5.7081987,4.639982994612732e8,OPTIMAL,1888905,1442978,84.9294596,4.6132161017828876e8,OPTIMAL,50,4,138.0665193975729,4.017675583194504
convex_cross,180,Xpress,48.4452944,15.9250277,76.1770759,292.788128,7.72555,4.605909983924103e8,OPTIMAL,2807625,2155778,86.2277702,4.611005309098256e8,OPTIMAL,57,4,199.21794514345646,6.015703036105075
conicalb_cross,4,Xpress,6.243898,0.886855,2.580488,4.5664348,0.2661413,5.854237741576385e8,OPTIMAL,112713,64898,70.8440856,5.72288377031088e8,OPTIMAL,0,0,0.0,3.552713678800501e-14
conicalb_cross,8,Xpress,3.8281835,0.8094193,4.1634485,10.933795,0.3108428,5.795230293261032e8,OPTIMAL,173961,112418,62.5908359,5.639669934161081e8,OPTIMAL,0,0,0.0,-7.016609515630989e-14
conicalb_cross,12,Xpress,4.1338126,0.9100496,4.9902108,20.277278,0.4877527,5.341919634885025e8,OPTIMAL,235209,159938,68.1028391,4.8034812639685374e8,OPTIMAL,56,9,58.59547899424862,9.045786806371106
conicalb_cross,16,Xpress,5.2625238,1.2635674,7.282716,34.800538,0.6283068,4.947438583069229e8,OPTIMAL,296457,207458,80.7409247,4.6906705136509615e8,OPTIMAL,148,42,276.4881626169431,28.943341491971523
conicalb_cross,20,Xpress,6.3357238,1.439136,9.0760987,44.7788787,0.801612,5.095490940353546e8,OPTIMAL,357705,254978,82.2603848,4.702408235086075e8,OPTIMAL,40,4,45.10591020760133,0.9263096519563151
conicalb_cross,30,Xpress,8.3291923,1.9015549,11.2512512,82.2940569,1.5254623,4.7288475244644165e8,OPTIMAL,510825,373778,84.3676561,4.688816563243372e8,OPTIMAL,202,48,428.24847365204613,50.07208831485184
conicalb_cross,45,Xpress,20.4048303,2.8338794,16.6102938,110.3802958,2.3820298,4.70561315425354e8,OPTIMAL,740505,551978,85.9039406,4.6625067481100434e8,OPTIMAL,184,24,385.7584987871118,17.00447695377352
conicalb_cross,60,Xpress,24.8861978,3.5530051,21.3814605,144.466408,2.8795082,4.696184665185776e8,OPTIMAL,970185,730178,82.7755434,4.624959713000542e8,OPTIMAL,49,1,91.01685202623536,1.676067979362683
conicalb_cross,90,Xpress,31.003818,5.6540771,30.2900819,264.4163759,4.0388543,4.643580335729141e8,OPTIMAL,1429545,1086578,83.4905031,4.6163495842446846e8,OPTIMAL,74,0,151.13227130088802,5.040412531798211e-14
conicalb_cross,120,Xpress,35.7176632,9.1125759,49.3501967,264.8323279,5.3729991,4.638067899884796e8,OPTIMAL,1888905,1442978,83.5647329,4.6097644980609226e8,OPTIMAL,54,1,178.0068037516164,1.0499550557612973
conicalb_cross,180,Xpress,58.703426,14.5027161,74.8385571,331.6720194,7.7416057,4.615365143162613e8,OPTIMAL,2807625,2155778,91.4702934,4.611394656834521e8,OPTIMAL,49,2,168.5884846232463,2.8957488675907475
