base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,30.2198377,105.2551281,389.0186689,17.4197093,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,8.0324901,1.0501088,6.1714536,4.7520344,0.2547577,4.092310839485588e9,OPTIMAL,112713,64898,93.4182771,6.749778188599658e8,OPTIMAL,12,12,31.73821428803528,5.39998012384839
convex_cross,8,Xpress,16.4425753,1.3048747,7.7280403,11.1518069,0.4086429,1.0864412277317123e9,OPTIMAL,173961,112418,82.7434733,6.105707548503357e8,OPTIMAL,40,39,36.824924006491514,45.80316283081776
convex_cross,12,Xpress,10.3856098,1.7456259,8.7127636,19.8023851,0.5295338,1.0564301878523407e9,OPTIMAL,235209,159938,68.5678796,6.037676109660456e8,OPTIMAL,70,3,41.750185400888455,1.2277570733490262
convex_cross,16,Xpress,24.7850536,1.7935633,8.7931361,32.0860612,0.7055323,9.72119639615654e8,OPTIMAL,296457,207458,71.0146744,5.976016847878591e8,OPTIMAL,103,6,59.39672460520149,2.0542540821343884
convex_cross,20,Xpress,15.464726,2.4076923,11.8054335,43.109199,0.902365,7.958940708532181e8,OPTIMAL,357705,254978,86.4432546,5.814941034706825e8,OPTIMAL,7,0,1.6883129349932078,0.0
convex_cross,30,Xpress,27.3718702,2.4608573,13.9625951,78.232376,1.2929891,6.798650046962433e8,OPTIMAL,510825,373778,68.7618352,4.85950617032256e8,OPTIMAL,4,3,1.3397396818512388,3.8735386069343996
convex_cross,45,Xpress,27.7049633,4.369141,29.0413034,108.3883369,1.7494401,6.033783941926498e8,OPTIMAL,740505,551978,81.2992299,4.7421815543362486e8,OPTIMAL,66,44,100.10184289393297,23.040078961787685
convex_cross,60,Xpress,42.6402056,7.8758168,24.0373708,154.5023233,2.7999746,5.446942363708267e8,OPTIMAL,970185,730178,81.3118786,4.6892744514023566e8,OPTIMAL,21,4,29.899025301151053,3.2283259599828376
convex_cross,90,Xpress,52.9094304,10.7616517,37.3095013,234.5727309,15.1518091,5.12492065046463e8,OPTIMAL,1429545,1086578,77.9658139,4.67170688447239e8,OPTIMAL,25,3,32.87043862174903,4.522091231947936
convex_cross,120,Xpress,76.6174819,12.4182062,62.9839891,253.6831451,4.5344669,4.934964342913513e8,OPTIMAL,1888905,1442978,92.933518,4.5999938590437144e8,OPTIMAL,28,11,54.129265257156376,24.617776645034834
convex_cross,180,Xpress,108.8329832,18.3132845,91.743961,347.9479134,8.2569884,4.61257561416275e8,OPTIMAL,2807625,2155778,88.6908221,4.61129483874363e8,OPTIMAL,49,28,203.7966187010224,53.03091918016516
conicalb_cross,4,Xpress,12.5393339,1.5200028,4.9853712,6.4695941,0.2811144,8.566317150146561e8,OPTIMAL,112713,64898,78.0857604,6.0627483625814e8,OPTIMAL,52,32,113.2045588093147,23.190884059569527
conicalb_cross,8,Xpress,5.1779196,1.0683353,6.1943645,11.831239,0.3545607,1.0362990749598083e9,OPTIMAL,173961,112418,86.3045334,6.103890698479539e8,OPTIMAL,105,5,137.60102634658082,2.248858447000001
conicalb_cross,12,Xpress,8.5202491,1.4707627,7.7719024,19.6823314,0.4991964,8.878793277928238e8,OPTIMAL,235209,159938,109.9956533,5.943886061020855e8,OPTIMAL,62,4,73.86128883252834,4.140515604092258
conicalb_cross,16,Xpress,10.4679002,1.4313937,8.1734507,30.6645445,0.6611586,7.548317544135895e8,OPTIMAL,296457,207458,90.9687828,5.705591216043702e8,OPTIMAL,51,22,211.4131715582144,141.8806249815932
conicalb_cross,20,Xpress,10.6309558,1.817623,11.8412197,42.0622346,2.163882,9.010769705756836e8,OPTIMAL,357705,254978,87.5539989,5.895948742676665e8,OPTIMAL,8,0,1.1805303815681565,4.440892098500626e-16
conicalb_cross,30,Xpress,14.1725645,2.1224953,11.9636166,70.2238173,1.1789745,6.410803301105118e8,OPTIMAL,510825,373778,78.7808421,4.7770836841517603e8,OPTIMAL,87,34,163.28525930089953,20.904881721758663
conicalb_cross,45,Xpress,33.9410037,3.4721934,18.1637883,119.6133634,2.4294906,5.30784584490036e8,OPTIMAL,740505,551978,84.0722842,4.6979688565955585e8,OPTIMAL,67,18,102.87158510848408,4.295513045557588
conicalb_cross,60,Xpress,31.4249702,5.2878622,39.6607859,165.3885655,3.2491043,5.087138961111679e8,OPTIMAL,970185,730178,80.2660185,4.6747708614266366e8,OPTIMAL,19,0,31.3363021891529,4.440892098500626e-16
conicalb_cross,90,Xpress,42.75031,10.2564514,47.1834365,210.8554608,4.6669852,5.105316940868454e8,OPTIMAL,1429545,1086578,82.4669404,4.663678648607214e8,OPTIMAL,24,9,44.288478387711535,3.294500163496573
conicalb_cross,120,Xpress,63.3153805,13.3417841,64.4040685,249.0636714,5.5625168,4.8610345938687897e8,OPTIMAL,1888905,1442978,86.6835934,4.597571424414237e8,OPTIMAL,38,12,100.46511801816078,2.3437922056341867
conicalb_cross,180,Xpress,97.0143848,19.1365289,96.0916528,317.2351829,8.3878566,4.6184044786733246e8,OPTIMAL,2807625,2155778,84.6147161,4.60958904227818e8,OPTIMAL,49,4,170.76556777172948,4.124077956474027
