base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.0196359,88.7697428,389.0754817,24.0541529,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
kmedoids_cross_convex,4,Xpress,3.3318731,0.5973495,2.6119436,5.4029476,0.26675,3.890053431873245e8,OPTIMAL,112713,64898,123.8473683,5.90005748429682e9,OPTIMAL,35358,19487,222106.34330424332,52930.08237238767
kmedoids_cross_convex,4,Xpress,2.6994233,0.4853848,2.460684,4.8012761,0.1926212,4.1153247905903625e8,OPTIMAL,112713,64898,97.3038101,3.0252008782062364e9,OPTIMAL,10124,5138,97815.9045644271,32994.85803577055
kmedoids_cross_convex,4,Xpress,1.9836148,0.5017475,2.5232475,5.4839013,0.1925089,3.9914145500361633e8,OPTIMAL,112713,64898,90.49832,3.11788075789462e9,OPTIMAL,14206,4879,116756.6986308753,19004.478525811337
kmedoids_cross_convex,4,Xpress,2.367491,0.508975,2.6101563,5.2880781,0.1990273,3.876108416361618e8,OPTIMAL,112713,64898,88.7084122,4.59383616598657e9,OPTIMAL,27444,8463,189217.7500238954,20530.00192525568
kmedoids_cross_convex,4,Xpress,2.57067,0.5245211,11.4480787,5.0112956,0.21275,3.7131349848389435e8,OPTIMAL,112713,64898,85.7987175,7.470810597984957e9,OPTIMAL,37132,11914,321757.1582715792,32717.09032465296
kmedoids_cross_convex,4,Xpress,1.5667253,0.5046664,2.3309954,5.261254,0.2094584,3.579771066696243e8,OPTIMAL,112713,64898,96.4830196,9.257429011249092e9,OPTIMAL,50770,16507,404369.70025603217,39848.51265308609
kmedoids_cross_convex,4,Xpress,2.7673087,0.5664976,2.895802,5.3187751,0.219573,3.664511109106674e8,OPTIMAL,112713,64898,86.7703602,8.509394032055771e9,OPTIMAL,45210,11882,381116.6587591643,25505.46779069803
kmedoids_cross_convex,4,Xpress,1.6281232,0.5158172,2.2924302,5.3529897,0.2462516,4.100430204585571e8,OPTIMAL,112713,64898,89.2525125,3.025048716534811e9,OPTIMAL,18356,3230,122268.68043310373,8358.982977075106
kmedoids_cross_convex,4,Xpress,2.1433776,0.5090701,2.7007102,4.8065286,0.2109197,3.8764581085894775e8,OPTIMAL,112713,64898,84.0391149,4.347372512508446e9,OPTIMAL,31085,6370,184837.04510783692,12564.164884894642
