base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,penalty_tot_loss_of_load,investment_cost,operational_cost,investment_cost_storage,investment_cost_renewable,investment_cost_non_renewable,investment_cost_electrolyzer,non_renewable_capacity
0_HourlyBenchmark,1,Xpress,0.0,36.5746118,110.2502229,379.9853772,17.7096726,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15,2.0735140160008066e6,4.332296452506538e8,2.0917564480729498e7,1.2321828290281203e7,1.712434486116668e8,4.065466382790575e7,2.0900970452079993e8,284.1394641771362
kmedoids_cross_dirac,4,Xpress,1.4599201,0.713176,2.2156361,2.3658172,0.2010411,5.712965963718414e8,OPTIMAL,112713,64898,93.0051398,6.186847552429707e8,OPTIMAL,270,606,1704.6328009319686,671.1108964510089,4.751487394765952e7,5.551850556529307e8,6.349969958992926e7,1.3275835372867763e7,2.188141459683532e8,1.1408536979090965e8,2.0900970452079993e8,438.72097295401426
kmedoids_cross_dirac,8,Xpress,0.606906,1.1231353,5.6565771,5.8711856,0.3962444,4.2677363071144867e8,OPTIMAL,173961,112418,114.0323701,8.484090606611391e8,OPTIMAL,2691,2563,13287.84003210938,7243.963367806036,4.106360679983065e8,3.9470435042148465e8,4.5370471023955363e8,6.678807280908415e6,1.5066807628026283e8,2.8347762339513324e7,2.0900970452079993e8,232.12088372087712
kmedoids_cross_dirac,12,Xpress,0.8593341,1.5331794,5.8886955,10.8492127,0.4701973,4.336157864698181e8,OPTIMAL,235209,159938,101.0374327,8.408694016110395e8,OPTIMAL,3208,1145,17985.862531090777,2450.397932499278,4.087252092717967e8,4.07415645960771e8,4.334537556503971e8,1.2651871536100438e7,1.612045662709973e8,2.4549503632873215e7,2.0900970452079993e8,192.13921312466547
kmedoids_cross_dirac,16,Xpress,1.6302696,1.7516517,7.8458108,13.3749909,0.6276452,4.361027249112625e8,OPTIMAL,296457,207458,96.1687647,8.255216965652093e8,OPTIMAL,3157,837,17805.36650793092,1901.163082775203,3.941305918141206e8,4.102696028212276e8,4.1525209374402136e8,1.1796508515057914e7,1.650135682556085e8,2.4449821529761173e7,2.0900970452079993e8,193.9717743752562
kmedoids_cross_dirac,20,Xpress,1.7441737,2.0444628,8.7881936,17.0103301,1.8268237,4.489225664124222e8,OPTIMAL,357705,254978,92.4402855,5.846439974899075e8,OPTIMAL,1723,580,5618.964293268444,1233.2399192553826,1.3704408425047687e8,4.3306632293656534e8,1.515776745533082e8,1.2357597785301149e7,1.8592669138018063e8,2.5772329250283368e7,2.0900970452079993e8,237.3124074546659
kmedoids_cross_dirac,30,Xpress,3.3801321,2.8608959,21.1921462,27.5873325,1.1364951,4.506633524601517e8,OPTIMAL,510825,373778,90.8549227,5.2321471683866227e8,OPTIMAL,779,160,3564.1160879231466,254.23233608074005,7.636696848007786e7,4.302953054537017e8,9.29194113848425e7,1.0445130930150025e7,1.822806248407626e8,2.855984516198896e7,2.0900970452079993e8,250.64539232141064
kmedoids_cross_dirac,45,Xpress,2.3656849,3.5892022,18.8963797,33.635303,1.701381,4.49493681304863e8,OPTIMAL,740505,551978,93.4791539,5.2746013703904295e8,OPTIMAL,879,154,3818.083474818847,209.8924694371454,8.055951888512e7,4.305497202453622e8,9.691041679366282e7,1.1311232783475813e7,1.8228089039171836e8,2.7947892549367964e7,2.0900970452079993e8,246.87953873040752
kmedoids_cross_dirac,60,Xpress,3.0353664,6.3484085,23.8729071,38.9265189,3.5383189,4.35364018405838e8,OPTIMAL,970185,730178,104.5190553,5.603738281004139e8,OPTIMAL,1233,285,6089.644346513221,511.7867586329201,1.3202862210292289e8,4.0502392541918653e8,1.5534990268125176e8,9.71003523679201e6,1.6291852615187526e8,2.338565950971923e7,2.0900970452079993e8,237.90254476588206
kmedoids_cross_dirac,90,Xpress,7.1130131,19.7788527,36.9119363,59.666495,4.6942125,4.4735878294148254e8,OPTIMAL,1429545,1086578,88.655408,5.1508934445739686e8,OPTIMAL,730,114,3470.9837560799724,148.63315329051045,7.239233818740971e7,4.254145742122591e8,8.967477024512047e7,1.0148973918490272e7,1.7985264391846555e8,2.6403251854503214e7,2.0900970452079993e8,257.4882300474023
kmedoids_cross_dirac,120,Xpress,20.5471896,9.3878067,51.1643889,85.2364792,6.6656817,4.4404376204333496e8,OPTIMAL,1888905,1442978,92.6551406,5.151946038851805e8,OPTIMAL,717,100,3509.8965529004126,117.25809254783924,7.254309290896508e7,4.2508712316443306e8,9.010748072071311e7,1.0393808612887599e7,1.7937530566736963e8,2.630830436337578e7,2.0900970452079993e8,256.4887827723766
kmedoids_cross_dirac,180,Xpress,10.3161376,15.3071062,89.4389418,123.5013141,9.7806062,4.502349777379837e8,OPTIMAL,2807625,2155778,91.0851665,4.746090840599185e8,OPTIMAL,334,82,1327.8655004268905,93.13667881711697,2.8420043584880147e7,4.253478022762396e8,4.926128178364994e7,1.2550205665060133e7,1.6802386970357373e8,3.576402238680563e7,2.0900970452079993e8,292.2555350583785
