base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.3797673,88.3634437,395.4139321,23.9072213,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
kmedoids_cross_convex,4,Xpress,6.0522058,0.5370688,3.4992908,5.2837986,0.2836542,4.630526466720009e9,OPTIMAL,112713,64898,96.1209489,6.898019049244007e8,OPTIMAL,208,305,538.111774701428,424.32638628472193
kmedoids_cross_convex,4,Xpress,2.124868,0.4657553,2.2828404,4.8870123,0.1953122,3.523618385543434e9,OPTIMAL,112713,64898,52.6065193,6.970503450120847e8,OPTIMAL,469,220,1097.6587124377086,199.070926150706
kmedoids_cross_convex,4,Xpress,2.0007266,0.6363368,2.6811331,3.9893003,0.2000659,3.0977930729417496e9,OPTIMAL,112713,64898,55.163981,6.90720722630898e8,OPTIMAL,363,64,1091.9454018701604,51.65273450751885
kmedoids_cross_convex,4,Xpress,2.182378,0.615812,2.721853,4.5742387,0.1997434,4.096621142765564e9,OPTIMAL,112713,64898,51.6372943,6.902752872846884e8,OPTIMAL,427,74,891.3535250407076,84.45302427629042
kmedoids_cross_convex,4,Xpress,10.6054444,0.452408,2.3941392,4.7295882,0.20303,3.158887103553955e9,OPTIMAL,112713,64898,52.1173161,6.92900618838813e8,OPTIMAL,544,74,1045.7930952583902,33.76121782015041
kmedoids_cross_convex,4,Xpress,2.3376068,0.5298566,2.5246013,4.5765849,0.535413,4.096621142765564e9,OPTIMAL,112713,64898,53.1098116,6.902752872846876e8,OPTIMAL,443,57,907.7109972106495,68.09555210634862
kmedoids_cross_convex,4,Xpress,2.8647138,0.53044,3.0756919,4.6562544,0.2061496,3.535575007181198e9,OPTIMAL,112713,64898,54.6456579,6.858785987052858e8,OPTIMAL,311,30,696.1207173147754,20.012258569711474
kmedoids_cross_convex,4,Xpress,1.7549,0.558672,2.4286627,4.9820256,0.1898455,2.808159608308487e9,OPTIMAL,112713,64898,54.7395398,6.784269317928822e8,OPTIMAL,478,50,514.2745376893091,87.0951871418088
kmedoids_cross_convex,4,Xpress,2.3401202,0.5589919,2.6011052,4.4479378,0.1982624,3.101710969318344e9,OPTIMAL,112713,64898,53.7256249,6.87530070291288e8,OPTIMAL,607,61,962.3419845828582,87.64844985292888
