base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,35.188111,105.3891357,380.3024813,25.0448688,4.541472096236191e8,OPTIMAL,6824040,4748143,0.0,0.0,,38,0,103.67570080004035,-3.6637359812630166e-15
convex_cross,4,Xpress,23.2965403,0.9564504,4.8269343,3.9504151,0.3290004,6.240490759274368e8,OPTIMAL,112713,64898,106.0117452,5.633846130099775e8,OPTIMAL,0,1,0.0,0.04625113482291787
convex_cross,8,Xpress,19.9672567,1.2000509,6.1952429,10.8199463,0.3809475,5.2935981033073425e8,OPTIMAL,173961,112418,70.0127906,4.9365093337052625e8,OPTIMAL,20,18,35.500320827948045,23.099457328310827
convex_cross,12,Xpress,20.8108899,1.411101,6.1787567,21.1653276,0.5372321,5.221486803254776e8,OPTIMAL,235209,159938,77.3381173,4.807960881057827e8,OPTIMAL,81,77,176.22466257165811,56.526329676698076
convex_cross,16,Xpress,21.7352257,2.3650033,8.6556684,32.4954915,0.6699827,4.9913392845280457e8,OPTIMAL,296457,207458,79.2516165,4.7157954152464175e8,OPTIMAL,117,88,187.01433526390093,128.92797193860923
convex_cross,20,Xpress,22.7776909,2.1162668,10.702779,47.4841328,0.7735849,4.9274371937944794e8,OPTIMAL,357705,254978,82.7386269,4.8346732558487505e8,OPTIMAL,243,38,823.9860003240478,50.4948350108807
convex_cross,30,Xpress,24.0573149,3.1555812,14.440199,65.5029156,10.9186542,4.856075416039047e8,OPTIMAL,510825,373778,80.0708431,4.6933102240792227e8,OPTIMAL,53,17,145.7409773306379,10.603277336038147
convex_cross,45,Xpress,27.6682269,3.7798308,21.3308472,125.6058,2.6411644,4.789679754577713e8,OPTIMAL,740505,551978,79.6534474,4.687093251347712e8,OPTIMAL,73,5,249.28423045714578,4.275246436052576
convex_cross,60,Xpress,26.367745,4.6519582,26.358149,159.116599,3.160733,4.7314880980057526e8,OPTIMAL,970185,730178,85.8168686,4.6544176261116856e8,OPTIMAL,77,9,207.4412111437589,3.985191174246439
convex_cross,90,Xpress,31.4707319,7.4682602,37.1690394,252.2816009,14.3833046,4.862414107557602e8,OPTIMAL,1429545,1086578,82.4873456,4.62812035448986e8,OPTIMAL,28,7,38.63671327889976,2.4825657181666383
convex_cross,120,Xpress,45.0684024,12.1022977,59.4328085,249.5419637,5.4751111,4.7598941929273987e8,OPTIMAL,1888905,1442978,88.5965289,4.611041421596906e8,OPTIMAL,30,7,50.59401258770221,1.472602739999993
convex_cross,180,Xpress,58.1573079,20.5917146,95.3049954,289.1652117,9.6041889,4.6592999320336914e8,OPTIMAL,2807625,2155778,81.6877031,4.6335648557192165e8,OPTIMAL,70,5,255.832398325781,15.181496856298178
conicalb_cross,4,Xpress,44.8462395,1.152123,5.7265602,4.3018585,0.2930845,6.231301830830154e8,OPTIMAL,112713,64898,68.3801965,5.735048966170791e8,OPTIMAL,3,15,1.6379424324408134,3.5198601708147246
conicalb_cross,8,Xpress,27.6993804,1.7898663,8.8323287,10.1114867,0.4677991,5.310730898710251e8,OPTIMAL,173961,112418,63.8212247,4.9384773258525074e8,OPTIMAL,31,5,56.529870104798775,1.5410958899999927
conicalb_cross,12,Xpress,27.9388068,2.3443655,10.0141238,17.7960497,0.577415,5.2157340138819885e8,OPTIMAL,235209,159938,77.2714746,4.802471213522917e8,OPTIMAL,106,19,212.56442630971446,15.945586036676026
conicalb_cross,16,Xpress,36.4539133,1.4944013,8.4961286,36.3405622,0.7163843,4.97329834480011e8,OPTIMAL,296457,207458,79.0412812,4.76932110751069e8,OPTIMAL,181,28,515.228465775462,30.341321697257523
conicalb_cross,20,Xpress,22.5088225,1.7914906,10.2666158,42.8033824,0.8363461,4.909760492284012e8,OPTIMAL,357705,254978,80.0838699,4.829920599177786e8,OPTIMAL,255,20,857.4421388705816,8.321101192915133
conicalb_cross,30,Xpress,33.8790525,2.2642931,12.9072494,64.0963845,1.9523887,4.845171995549927e8,OPTIMAL,510825,373778,85.1288464,4.68929082010807e8,OPTIMAL,57,1,146.28840340354088,0.3082191780000053
conicalb_cross,45,Xpress,27.7227332,4.2427063,22.7123521,118.9495883,1.8160903,4.778483191210861e8,OPTIMAL,740505,551978,82.4271511,4.6823291903836757e8,OPTIMAL,78,0,256.4689375399778,-1.0658141036401503e-14
conicalb_cross,60,Xpress,31.0929303,5.5558099,29.21718,150.886783,2.9631129,4.7227670840937805e8,OPTIMAL,970185,730178,86.9526208,4.648829494955593e8,OPTIMAL,80,5,201.09136285699375,1.3152572840312642
conicalb_cross,90,Xpress,29.1185079,6.3212018,39.7084774,269.2196102,14.4083079,4.853585102884064e8,OPTIMAL,1429545,1086578,90.7434271,4.6269111353607327e8,OPTIMAL,29,6,39.49094283150191,1.8493150680000052
conicalb_cross,120,Xpress,42.1627851,12.9461979,65.2673994,266.8610411,5.63284,4.769217799952545e8,OPTIMAL,1888905,1442978,91.7457123,4.61115512357973e8,OPTIMAL,28,7,43.748499060438476,1.4726027400000055
conicalb_cross,180,Xpress,59.5388051,21.3049452,97.7623787,293.2146812,9.3447662,4.6464356835961914e8,OPTIMAL,2807625,2155778,77.4062952,4.6342863434736836e8,OPTIMAL,74,3,271.9288641131568,6.9860522301851065
