base_name,rp,weight_first_period,weight_others
convex_cross_dirac,4,111.0,254.0
convex_cross_dirac,8,59.0,306.0
convex_cross_dirac,12,32.0,333.0
convex_cross_dirac,16,23.0,342.0
convex_cross_dirac,20,4.0,361.0
convex_cross_dirac,30,4.0,361.0
convex_cross_dirac,45,2.0,363.0
convex_cross_dirac,60,2.0,363.0
convex_cross_dirac,90,2.0,363.0
convex_cross_dirac,120,0.0,365.0
convex_cross_dirac,180,0.0,365.0
conicalb_cross_dirac,4,111.0,254.0
conicalb_cross_dirac,8,59.0,306.0
conicalb_cross_dirac,12,30.0,335.0
conicalb_cross_dirac,16,7.0,358.0
conicalb_cross_dirac,20,6.0,359.0
conicalb_cross_dirac,30,4.0,361.0
conicalb_cross_dirac,45,4.0,361.0
conicalb_cross_dirac,60,4.0,361.0
conicalb_cross_dirac,90,2.0,363.0
conicalb_cross_dirac,120,1.0,364.0
conicalb_cross_dirac,180,0.0,365.0
