base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,42.9967913,113.0806182,389.9671188,26.9815941,4.618432197596741e8,OPTIMAL,6824040,4748143,0.0,0.0,,35,0
convex_cross,4,Xpress,4.4602155,1.6177414,10.3103372,5.7758243,0.3869263,4.106765070609741e8,OPTIMAL,112713,64898,156.895519,3.6118421987089086e9,OPTIMAL,7636,6379
convex_cross,8,Xpress,11.4685341,2.2287188,10.3366007,14.3547915,0.5350789,4.0703892973387146e8,OPTIMAL,173961,112418,126.3546247,2.833665736582039e9,OPTIMAL,7169,2202
convex_cross,12,Xpress,14.878308,2.6416217,14.3290974,27.1863717,0.6267039,4.368578412834015e8,OPTIMAL,235209,159938,116.6069739,1.0397600410182514e9,OPTIMAL,3556,1400
convex_cross,16,Xpress,24.1231943,3.1228697,13.5518111,40.579409,0.794487,4.335065820251465e8,OPTIMAL,296457,207458,114.4052234,1.0130220763989244e9,OPTIMAL,3809,1455
convex_cross,20,Xpress,20.2420865,3.0198759,15.1901173,54.6709744,0.9510433,4.317814335786438e8,OPTIMAL,357705,254978,108.0781473,9.610458283079715e8,OPTIMAL,2936,1308
convex_cross,30,Xpress,48.3671279,4.672894,23.0597135,73.9419617,1.5422766,4.319710723023987e8,OPTIMAL,510825,373778,112.8210974,9.264833706227498e8,OPTIMAL,2830,572
convex_cross,45,Xpress,58.0200571,9.7389088,41.6213811,116.2118301,2.847487,4.4981687130207825e8,OPTIMAL,740505,551978,101.2486167,6.487354024248652e8,OPTIMAL,1164,1132
convex_cross,60,Xpress,85.6577439,12.7546795,36.7296612,169.4310733,14.1969611,4.5007058982003784e8,OPTIMAL,970185,730178,109.7694102,6.240976540020342e8,OPTIMAL,1005,1048
convex_cross,90,Xpress,127.1678678,15.8780797,51.6847306,261.9623194,3.5802338,4.486590123796997e8,OPTIMAL,1429545,1086578,107.2711143,6.102423071605291e8,OPTIMAL,784,1026
convex_cross,120,Xpress,171.8510519,17.5760627,70.0167466,264.0396908,5.959912,4.544093083451996e8,OPTIMAL,1888905,1442978,107.5874851,6.068644583294969e8,OPTIMAL,745,1025
convex_cross,180,Xpress,248.0160865,27.1218632,102.170496,298.1077403,10.2473339,4.55027955649765e8,OPTIMAL,2807625,2155778,96.4433297,5.492037845711174e8,OPTIMAL,516,974
conicalb_cross,4,Xpress,14.0656245,1.7647267,4.8940021,21.0078796,0.3413522,4.057667293845825e8,OPTIMAL,112713,64898,97.1941063,8.560040340703897e9,OPTIMAL,21043,11456
conicalb_cross,8,Xpress,16.313865,2.5436103,8.8329321,12.0936007,0.5427613,4.1428243220181274e8,OPTIMAL,173961,112418,147.389331,1.7682587898894577e9,OPTIMAL,5692,4886
conicalb_cross,12,Xpress,23.0437216,3.553603,15.0084638,27.7811523,0.6962713,4.345568319504242e8,OPTIMAL,235209,159938,124.8932446,1.2714379455346174e9,OPTIMAL,4690,4535
conicalb_cross,16,Xpress,40.4825165,1.9000033,11.2948992,42.4287601,0.6820852,4.3819198124375916e8,OPTIMAL,296457,207458,111.3571244,8.817575920618057e8,OPTIMAL,2814,4120
conicalb_cross,20,Xpress,18.7266623,2.8744345,14.9170659,49.7792014,0.904796,4.350035433410034e8,OPTIMAL,357705,254978,114.0162728,8.343884404970074e8,OPTIMAL,2398,380
conicalb_cross,30,Xpress,30.8986286,4.1191538,20.6416143,84.0308083,1.2752724,4.5191810523513794e8,OPTIMAL,510825,373778,121.8509104,6.596963136647196e8,OPTIMAL,1337,3964
conicalb_cross,45,Xpress,57.1144823,5.3595388,29.0445555,123.4007686,2.0784509,4.5090851020614624e8,OPTIMAL,740505,551978,114.2034368,6.400067049049511e8,OPTIMAL,1095,3927
conicalb_cross,60,Xpress,76.2712712,6.6375048,41.2735324,166.0377505,3.5745495,4.504595592855072e8,OPTIMAL,970185,730178,104.0863811,6.163817020599012e8,OPTIMAL,1019,3932
conicalb_cross,90,Xpress,93.1691042,12.7309297,60.2525668,247.8861112,4.5772626,4.4576095918948364e8,OPTIMAL,1429545,1086578,102.6850587,6.107147575965481e8,OPTIMAL,852,3932
conicalb_cross,120,Xpress,116.2488793,16.7527432,86.8581782,240.6497059,6.5372279,4.529776407668762e8,OPTIMAL,1888905,1442978,100.8902305,6.053971194594984e8,OPTIMAL,761,3939
conicalb_cross,180,Xpress,247.6171919,26.514824,115.2372201,302.5246951,10.1346079,4.539043968078766e8,OPTIMAL,2807625,2155778,94.7645334,5.490339090138197e8,OPTIMAL,517,3869
