base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,19.8613952,84.41714,386.0874205,25.7685233,4.618432197596741e8,OPTIMAL,6824040,4748143,0.0,0.0,,35,0
convex_cross,4,Xpress,8.3180546,1.1684198,4.9353542,4.5492767,0.3144072,1.4300541670242981e10,OPTIMAL,112713,64898,97.4704315,7.097119794092121e8,OPTIMAL,16,64
convex_cross,8,Xpress,4.0275489,0.6718924,4.031684,11.3060844,0.8006408,7.351537149918304e9,OPTIMAL,173961,112418,54.8995059,6.906736757066818e8,OPTIMAL,73,24
convex_cross,12,Xpress,3.6837635,0.8804933,4.8734904,21.2563501,0.4778879,5.856401501235794e9,OPTIMAL,235209,159938,50.7807057,6.877634320783834e8,OPTIMAL,75,11
convex_cross,16,Xpress,6.7520362,1.0548843,6.756088,37.6714961,0.6232146,5.810639692751801e9,OPTIMAL,296457,207458,49.5293602,6.873066146805091e8,OPTIMAL,84,8
convex_cross,20,Xpress,4.654629,1.2351763,6.9975901,45.7721594,0.7611851,5.208516704715881e9,OPTIMAL,357705,254978,52.1362808,6.76370404372069e8,OPTIMAL,88,10
convex_cross,30,Xpress,17.8982102,1.7790081,8.59742,74.4553908,1.1740707,4.372630213771576e9,OPTIMAL,510825,373778,52.1093181,6.808557045574732e8,OPTIMAL,80,7
convex_cross,45,Xpress,18.067895,2.6539029,22.3860802,121.0615319,1.7116064,2.960625022524582e9,OPTIMAL,740505,551978,52.7480025,6.740001733742478e8,OPTIMAL,67,15
convex_cross,60,Xpress,15.1389505,4.5499159,16.9632384,170.0074187,3.4054085,2.7609478133213806e9,OPTIMAL,970185,730178,55.5950752,6.722141749837701e8,OPTIMAL,53,9
convex_cross,90,Xpress,24.9793144,6.1696678,23.4879873,252.6842953,13.2079193,2.1135517627553558e9,OPTIMAL,1429545,1086578,54.2211002,6.699265709445646e8,OPTIMAL,76,23
convex_cross,120,Xpress,45.0832354,8.5028626,42.7614011,255.3322199,5.4011993,2.0278107929896393e9,OPTIMAL,1888905,1442978,53.9512418,6.694173480931926e8,OPTIMAL,79,7
convex_cross,180,Xpress,79.3731365,14.0976471,66.516352,314.1930847,7.260055,1.3709475777524872e9,OPTIMAL,2807625,2155778,65.4799527,6.17388657804899e8,OPTIMAL,59,4
conicalb_cross,4,Xpress,3.7910852,0.8041132,4.0527295,5.042282,0.2362255,1.0258572100012253e10,OPTIMAL,112713,64898,60.0100391,7.161433337114445e8,OPTIMAL,85,20
conicalb_cross,8,Xpress,2.8979903,0.811302,4.2538836,11.2989195,0.3173974,8.01559369343248e9,OPTIMAL,173961,112418,52.2381337,7.100950166516001e8,OPTIMAL,113,28
conicalb_cross,12,Xpress,3.8463686,0.9928758,5.6142238,23.1524806,0.4541838,6.395383305111664e9,OPTIMAL,235209,159938,52.5133851,7.197659428796966e8,OPTIMAL,185,69
conicalb_cross,16,Xpress,4.4565515,1.1061418,6.8279259,33.6964767,0.6676577,4.936323602268707e9,OPTIMAL,296457,207458,53.9664085,6.76084939758803e8,OPTIMAL,78,7
conicalb_cross,20,Xpress,15.2059633,2.0521924,6.7181413,43.8029295,0.7361957,3.920874019800064e9,OPTIMAL,357705,254978,52.3453733,6.785036222948159e8,OPTIMAL,78,10
conicalb_cross,30,Xpress,8.6066274,2.0831314,9.3399623,71.5597371,1.1567218,3.578376546688629e9,OPTIMAL,510825,373778,51.2813806,6.794076907544031e8,OPTIMAL,72,7
conicalb_cross,45,Xpress,15.460817,2.8075349,14.0766784,110.4903236,2.1651362,2.809329804113693e9,OPTIMAL,740505,551978,55.2822953,6.835547435572389e8,OPTIMAL,90,62
conicalb_cross,60,Xpress,16.2492506,3.7060021,18.7459397,178.6545843,2.7828023,2.535263669837311e9,OPTIMAL,970185,730178,55.7231412,6.770197674918396e8,OPTIMAL,87,38
conicalb_cross,90,Xpress,31.2585877,6.5843886,25.889214,240.148277,3.2959885,2.0538226033620758e9,OPTIMAL,1429545,1086578,58.3297916,6.917496895448445e8,OPTIMAL,164,95
conicalb_cross,120,Xpress,50.8850971,9.3766437,48.8753566,289.4380063,5.6485574,1.6229798809095154e9,OPTIMAL,1888905,1442978,58.0820658,6.38957054359237e8,OPTIMAL,82,7
conicalb_cross,180,Xpress,98.3645762,16.5498618,75.4366694,297.4586194,7.7199831,1.3464983520635529e9,OPTIMAL,2807625,2155778,62.8487992,6.163590683752053e8,OPTIMAL,63,4
