base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,20.0503717,81.1203614,402.0171766,23.7028872,4.58291102554451e8,OPTIMAL,6824040,4748143,0.0,0.0,,64,130
convex_cross,4,Xpress,4.3384174,0.5231467,2.787911,5.001527,0.2681376,4.1067650705937195e8,OPTIMAL,112713,64898,157.3304294,1.6972727152460113e9,OPTIMAL,12633,0
convex_cross,8,Xpress,2.7602688,0.6646679,3.6906319,13.1929793,0.3053806,4.0703892973246765e8,OPTIMAL,173961,112418,133.6361673,1.384245702982104e9,OPTIMAL,7927,0
convex_cross,12,Xpress,3.0518622,0.8840376,4.6539873,26.1669625,0.4267418,4.3685784128515625e8,OPTIMAL,235209,159938,114.4665118,6.82426973266032e8,OPTIMAL,4492,0
convex_cross,16,Xpress,6.2871872,1.0824174,5.8073835,37.2241059,1.5125939,4.3350658202472687e8,OPTIMAL,296457,207458,116.1220001,6.699768999908623e8,OPTIMAL,4018,0
convex_cross,20,Xpress,3.8596766,1.2061908,6.8971587,54.2158003,1.0376407,4.3178143358444214e8,OPTIMAL,357705,254978,114.5172413,6.49202632312769e8,OPTIMAL,2998,0
convex_cross,30,Xpress,16.6884835,1.691608,8.271498,81.6605262,1.0641952,4.319593372196274e8,OPTIMAL,510825,373778,115.1181227,6.359898655550284e8,OPTIMAL,2892,0
convex_cross,60,Xpress,22.5565172,3.6711178,25.3533796,174.7829085,2.1638982,4.480259175329666e8,OPTIMAL,970185,730178,108.5515522,5.2117399500599533e8,OPTIMAL,1052,0
convex_cross,90,Xpress,21.9063355,5.9053243,33.4255996,232.4344505,3.0727051,4.4738546273513794e8,OPTIMAL,1429545,1086578,104.4900926,5.136375363345231e8,OPTIMAL,761,0
convex_cross,120,Xpress,37.0253396,7.9761751,43.2584024,252.9628491,5.1332641,4.498066192429199e8,OPTIMAL,1888905,1442978,100.724626,5.1219303810568684e8,OPTIMAL,754,0
convex_cross,180,Xpress,77.3842851,14.1206774,67.768739,277.5676032,7.6891729,4.508788498884506e8,OPTIMAL,2807625,2155778,103.2456478,4.914301120508902e8,OPTIMAL,566,0
convex_cross,240,Xpress,126.4341077,19.1159085,92.7320722,368.4002747,12.1225859,4.4909812414133453e8,OPTIMAL,3726345,2868578,95.3431373,4.919718446259462e8,OPTIMAL,597,0
convex_cross,360,Xpress,261.615767,41.3217066,172.4218814,386.4044083,33.9799336,4.613359408985901e8,OPTIMAL,5563785,4294178,100.7288919,4.6610841615662014e8,OPTIMAL,148,0
conicalb_cross,4,Xpress,4.4546889,1.229097,4.281152,4.6489389,0.2871826,4.057667293860092e8,OPTIMAL,112713,64898,100.6673227,3.6796049629696174e9,OPTIMAL,28585,0
conicalb_cross,8,Xpress,9.6282309,2.7692011,17.5257623,11.7953498,0.5910071,4.142824322025223e8,OPTIMAL,173961,112418,153.8174126,9.659686965551593e8,OPTIMAL,6141,0
conicalb_cross,12,Xpress,16.095728,2.8075198,12.2530481,24.867732,0.6579005,4.345568319491272e8,OPTIMAL,235209,159938,123.446476,7.784957808371052e8,OPTIMAL,4926,0
conicalb_cross,16,Xpress,36.5986749,3.714345,10.9168912,39.3306654,0.7828295,4.3819198124599457e8,OPTIMAL,296457,207458,112.2477779,6.189258843771611e8,OPTIMAL,2833,0
conicalb_cross,20,Xpress,6.491397,1.880191,7.6609481,49.6205222,0.7022424,4.35003543343956e8,OPTIMAL,357705,254978,115.4349743,5.987738095804154e8,OPTIMAL,2401,0
conicalb_cross,30,Xpress,14.0522564,2.3179431,9.7598813,81.4594856,1.0420739,4.4870494225214386e8,OPTIMAL,510825,373778,121.7714044,5.353560906879336e8,OPTIMAL,1279,0
conicalb_cross,60,Xpress,14.7400337,3.5722588,22.2280688,159.9612822,10.8428481,4.4802450216703033e8,OPTIMAL,970185,730178,107.1063065,5.2076142181510943e8,OPTIMAL,1023,0
conicalb_cross,90,Xpress,30.1617267,7.7809624,33.5683582,269.2200189,3.2177295,4.4382814193318176e8,OPTIMAL,1429545,1086578,106.7549448,5.1503086587926674e8,OPTIMAL,861,0
conicalb_cross,120,Xpress,61.6486213,10.37894,54.3672312,259.7494697,5.3867851,4.4805484022745514e8,OPTIMAL,1888905,1442978,102.4066293,5.125240947251273e8,OPTIMAL,759,0
conicalb_cross,180,Xpress,90.580917,15.8266728,81.1731597,302.3663825,7.6643012,4.4982508692935944e8,OPTIMAL,2807625,2155778,97.9412299,4.9246374422738427e8,OPTIMAL,581,0
conicalb_cross,240,Xpress,141.404563,20.7902196,119.2747426,353.6225664,11.4609764,4.4849481254553986e8,OPTIMAL,3726345,2868578,101.756094,4.920521338335003e8,OPTIMAL,592,0
conicalb_cross,360,Xpress,347.2544839,47.9370033,204.6960698,295.5662354,35.966765,4.6133357443375397e8,OPTIMAL,5563785,4294178,97.2471383,4.661160223392503e8,OPTIMAL,144,0
