base_name,rp,solver,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand,time_to_cluster
convex_cross_dirac,4,Xpress,0.6345609,2.9176531,2.9932345,0.3047536,4.135319243125763e8,OPTIMAL,0,0,0.0,6.661338147750939e-16,112713,64898,152.6205067,1.386331788656065e9,OPTIMAL,5385,4842,30591.55967032838,17199.04281971553,0.9049874
convex_cross_dirac,8,Xpress,0.6413655,2.7311107,6.55406,0.3102115,4.1399717137545776e8,OPTIMAL,0,0,0.0,2.1094237467877974e-15,173961,112418,90.3914261,9.8704711194933e8,OPTIMAL,4442,1711,24124.063385490834,3830.7177456661284,1.1429005
convex_cross_dirac,12,Xpress,1.1662946,4.3909218,11.2173301,0.505546,4.4161878249393463e8,OPTIMAL,1,0,0.8868437300969596,2.1094237467877974e-15,235209,159938,97.3712833,7.022759073968397e8,OPTIMAL,3760,1625,10292.519617002717,2173.4116585409993,1.3965289
convex_cross_dirac,16,Xpress,1.519142,6.0083348,17.4496997,0.6506501,4.393707166477127e8,OPTIMAL,2,0,1.7254656364382477,1.5543122344752192e-15,296457,207458,89.171864,6.937087197534968e8,OPTIMAL,4183,892,11216.99497251568,949.2765415441859,1.5217266
convex_cross_dirac,20,Xpress,1.2697479,5.7402168,16.4774727,0.7630064,4.382147622621002e8,OPTIMAL,2,0,2.0375512199466286,4.9960036108132044e-15,357705,254978,95.6312303,6.632348822649689e8,OPTIMAL,3243,576,9960.377868982458,666.1294536484132,1.6699381
convex_cross_dirac,30,Xpress,2.0939906,9.8316764,30.1274452,1.0651085,4.3541256949822235e8,OPTIMAL,15,0,78.50092448868999,5.218048215738236e-15,510825,373778,98.4626491,6.499534764613233e8,OPTIMAL,2883,531,9546.820969312968,719.8767405907256,2.0834172
convex_cross_dirac,45,Xpress,2.655266,13.0041475,47.5954583,2.3454479,4.504843049170761e8,OPTIMAL,5,0,8.099014164818715,1.2656542480726785e-14,740505,551978,95.4099142,5.425768829683044e8,OPTIMAL,1329,230,4095.9197522597256,230.21759206148948,2.9910836
convex_cross_dirac,60,Xpress,3.668712,17.227131,44.3051833,2.292682,4.513020966923981e8,OPTIMAL,7,0,15.240158118456606,1.7985612998927536e-14,970185,730178,92.8433495,5.3382111990333915e8,OPTIMAL,1166,160,3727.1462837051554,183.49291930912875,4.713749
convex_cross_dirac,90,Xpress,6.0372601,26.1494308,60.7052765,4.0300897,4.518506937597351e8,OPTIMAL,11,1,24.58265689819153,0.06375281607206629,1429545,1086578,90.4755896,5.265238243976569e8,OPTIMAL,880,152,3390.752211231562,163.03465938479988,7.5949716
convex_cross_dirac,120,Xpress,8.3816383,36.9079207,94.5646594,4.5844785,4.530269334244385e8,OPTIMAL,21,2,29.70297758062532,0.28843566733590975,1888905,1442978,91.6369472,5.1402735737390375e8,OPTIMAL,754,138,2725.1799834580274,166.89387329749783,13.377268
convex_cross_dirac,180,Xpress,14.8369089,74.9962065,138.1282408,8.2718861,4.5835700702043915e8,OPTIMAL,26,2,36.537282569949,0.0736278318484467,2807625,2155778,84.7444404,5.0094466338371134e8,OPTIMAL,625,121,2000.9835622613377,147.09873745141425,46.8580386
conicalb_cross_dirac,4,Xpress,0.6279304,2.9271054,2.8753223,0.3079997,4.248570763562851e8,OPTIMAL,0,0,0.0,0.0,112713,64898,97.5259163,3.040203306165716e9,OPTIMAL,15366,12764,89789.3564574887,40935.45364020378,1.1319544
conicalb_cross_dirac,8,Xpress,0.6379508,3.0095849,7.0501305,0.343231,4.2092920790426636e8,OPTIMAL,0,0,0.0,0.0,173961,112418,106.4289716,9.183432538081975e8,OPTIMAL,4062,1512,20441.561895831208,3839.069306975821,1.2811671
conicalb_cross_dirac,12,Xpress,0.812794,3.3935139,10.5933025,0.4315422,4.4213763380779266e8,OPTIMAL,0,0,0.0,2.1094237467877974e-15,235209,159938,106.3058418,7.303279544429417e8,OPTIMAL,3111,1358,11628.758323736354,2122.870689579604,1.3800704
conicalb_cross_dirac,16,Xpress,1.0535334,4.7815994,14.698577,0.5788261,4.474422094468689e8,OPTIMAL,1,0,0.6513200386656344,4.218847493575595e-15,296457,207458,97.467527,6.639727949998255e8,OPTIMAL,3305,690,9802.751597729075,811.54526461396,1.5890462
conicalb_cross_dirac,20,Xpress,1.2884688,4.9486626,17.7997862,1.494124,4.432493692341156e8,OPTIMAL,5,0,15.443372776632366,2.7755575615628914e-15,357705,254978,88.8403696,6.554477737008278e8,OPTIMAL,3033,660,9580.910148239835,765.2371435744117,1.7433791
conicalb_cross_dirac,30,Xpress,1.8349391,8.6973196,28.3236507,1.0907403,4.573386213046112e8,OPTIMAL,3,0,6.903287349446676,-3.6637359812630166e-15,510825,373778,87.0708442,5.568397113898828e8,OPTIMAL,1719,302,4604.709105664987,362.1127218592945,2.1059718
conicalb_cross_dirac,45,Xpress,2.7390621,12.1197828,37.717377,2.3445678,4.5399443756938934e8,OPTIMAL,5,0,7.662039252550901,1.0547118733938987e-14,740505,551978,89.8402998,5.3829042241928e8,OPTIMAL,1181,174,3904.9587211731505,186.08216529523813,3.0116343
conicalb_cross_dirac,60,Xpress,3.4635674,16.3725263,41.888897,2.892966,4.540168926152954e8,OPTIMAL,5,0,8.48762020896405,1.8984813721090177e-14,970185,730178,88.5175152,5.396448757567594e8,OPTIMAL,1201,175,3988.8836416866425,189.67362692196113,4.7966661
conicalb_cross_dirac,90,Xpress,5.0979894,24.8840629,61.2434621,3.7553007,4.5072578597628784e8,OPTIMAL,9,0,16.68572188043501,3.7969627442180354e-14,1429545,1086578,83.0552931,5.313330589920788e8,OPTIMAL,975,162,3585.478198172162,208.63483129147568,9.3471806
conicalb_cross_dirac,120,Xpress,8.1947671,33.9030865,85.3473314,17.0823967,4.5527210899658203e8,OPTIMAL,15,2,20.29182886168949,0.23520013085266056,1888905,1442978,89.0347529,5.136861756347058e8,OPTIMAL,764,129,2711.0908753780477,158.37610684166674,14.3685422
conicalb_cross_dirac,180,Xpress,13.0010377,74.4299259,130.7966974,8.5388858,4.5852427004917145e8,OPTIMAL,18,1,30.097069314428047,0.19832252644672765,2807625,2155778,82.9595444,5.050827393827398e8,OPTIMAL,655,110,2218.338462159745,126.77191411031703,44.5812724
0_HourlyBenchmark,1,Xpress,20.1805938,90.3962218,506.8406694,25.224552,4.685700547504196e8,OPTIMAL,0,0,0.0,0.0,6824040,4748143,0.0,0.0,,25,9,36.46423909168288,5.139846435702909,
