,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,AT00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.000105547,3.6809000000000006e-05,0.0,0.0,0.0,8.607e-05,0.00011964000000000001,5.9568e-05,9.7975e-05,4.980800000000001e-05,7.0926e-05,4.333000000000001e-06,0.0,0.0,1.7332000000000003e-05,0.0,0.0,0.0,4.333000000000001e-06,8.666000000000001e-06,0.000127212,4.5475e-05,0.0,6.714e-05,0.000140211,2.1665000000000003e-05,0.0,0.0,0.0,0.0,1.7332000000000003e-05,5.847400000000001e-05,0.0,0.0,7.361800000000001e-05,1.2999e-05
01.01.,9,0.095251532,0.058231240000000004,0.024348703000000003,0.009415593,0.015907583,0.054058864,0.105972838,0.037384785,0.059049204,0.062756967,0.030043773000000003,0.02036259,0.029869468,0.015004298000000001,0.028692263,0.004149429,0.014049410000000002,0.016162578,0.04799025999999999,0.02861717,0.075985467,0.044652628,0.00982243,0.043728630000000004,0.063845028,0.05327765,0.005278738,0.005688943,0.012821833000000001,0.035668035,0.03761553,0.032139728,0.064559716,0.039734195,0.051093573,0.016411104000000003
01.01.,10,0.293009958,0.233312895,0.09625337799999999,0.04708311,0.08352238000000001,0.22048146000000002,0.312802598,0.153959605,0.197241995,0.243432806,0.098541453,0.07360333599999999,0.10922027000000001,0.078936972,0.10360446400000001,0.023404213,0.049835384999999996,0.081060399,0.20686430100000003,0.13011732,0.248226723,0.15145020199999998,0.054294577999999996,0.180830597,0.21167698499999998,0.184767163,0.01901145,0.024314835,0.062967235,0.153663753,0.158320752,0.10646528799999999,0.24507139199999997,0.150469464,0.206921085,0.073885158
