,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,AT00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.00012178499999999999,4.1142e-05,0.0,0.0,0.0,8.607e-05,0.000132639,5.9568e-05,0.000106641,5.847400000000001e-05,7.4712e-05,8.666000000000001e-06,0.0,0.0,1.7332000000000003e-05,0.0,0.0,0.0,4.333000000000001e-06,8.666000000000001e-06,0.000127212,4.980800000000001e-05,0.0,6.714e-05,0.000140211,2.1665000000000003e-05,0.0,0.0,0.0,0.0,1.2999e-05,6.714e-05,0.0,0.0,8.2284e-05,1.2999e-05
01.01.,9,0.08935452499999999,0.056452325,0.025848728,0.009644273,0.015769339,0.054639485,0.09909040599999999,0.035551705,0.055232455,0.060257123,0.029059837,0.020123532,0.030869133,0.015298741000000001,0.027957129999999997,0.004276948,0.014250547,0.016334881,0.04823625,0.028701989999999997,0.073781662,0.044312113,0.010001686,0.042086372000000004,0.061667035,0.048393517999999996,0.005314021,0.0058185830000000004,0.013000777,0.034427002,0.035618627,0.030917439,0.063140298,0.036890715000000004,0.051501334999999995,0.016391114
01.01.,10,0.282220215,0.22679774399999997,0.09957859699999998,0.04837145,0.081374607,0.218551257,0.30092889,0.14613379599999998,0.190231847,0.236159044,0.0975561,0.073144919,0.11163451600000002,0.079240434,0.10094271900000001,0.023798982,0.050179449,0.081096731,0.203482943,0.12916664,0.24266475199999998,0.150484905,0.054601607999999996,0.175679056,0.207601478,0.17357583099999999,0.019167365999999998,0.02476648,0.063525606,0.15017963099999998,0.153905672,0.10507591799999999,0.239747342,0.143051036,0.206607062,0.07405071599999999
