,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,LT00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.1561,0.083,0.1111,0.2956,0.8832,0.7355,0.1022,0.1663,0.64,0.0137,0.5995,0.1795,0.0128,0.5707,0.1446,0.0209,0.2939,0.1658,0.4866,0.1813,0.527,0.9122,0.2972,0.5126,0.4118,0.4112,0.9231,0.059,0.2738,0.1235,0.0769,0.9475,0.1946,0.7358,0.3364,0.0998
01.01.,2,0.1364,0.0766,0.0958,0.2809,0.8835,0.6221,0.1126,0.1558,0.6476,0.0127,0.5486,0.1883,0.0157,0.5859,0.1389,0.0205,0.3067,0.1829,0.4481,0.1531,0.4334,0.9173,0.3421,0.5067,0.3645,0.3799,0.915,0.0522,0.2635,0.1391,0.0831,0.9466,0.1852,0.7833,0.2975,0.1061
01.01.,3,0.1335,0.0765,0.0886,0.2738,0.89,0.5031,0.1272,0.1322,0.6601,0.0163,0.5107,0.1981,0.0216,0.5597,0.1433,0.0226,0.3291,0.1947,0.4225,0.1371,0.3434,0.9242,0.4043,0.503,0.3182,0.3634,0.9037,0.0476,0.2546,0.1591,0.0933,0.9444,0.1811,0.8172,0.2447,0.1159
01.01.,4,0.1399,0.0828,0.0863,0.2679,0.8903,0.3974,0.1408,0.1079,0.6712,0.0224,0.4765,0.1969,0.0265,0.5416,0.1472,0.0265,0.3612,0.1998,0.3804,0.1336,0.2563,0.9337,0.4555,0.4928,0.2784,0.3566,0.8795,0.0429,0.2414,0.1832,0.1028,0.9409,0.1777,0.8328,0.1805,0.1218
01.01.,5,0.153,0.0964,0.093,0.2589,0.8872,0.2987,0.1521,0.0875,0.6928,0.0322,0.4407,0.1934,0.0314,0.5622,0.1591,0.0348,0.3986,0.2101,0.3439,0.1453,0.1782,0.9425,0.5112,0.4919,0.2535,0.358,0.8415,0.0396,0.2246,0.218,0.1178,0.9363,0.1778,0.8464,0.1223,0.1274
01.01.,6,0.1726,0.1229,0.1069,0.2315,0.8824,0.223,0.1661,0.081,0.7111,0.0407,0.3998,0.1923,0.0334,0.5882,0.1774,0.0462,0.4436,0.231,0.3073,0.1607,0.1302,0.947,0.5658,0.4721,0.25,0.3655,0.7866,0.0384,0.2099,0.2676,0.1356,0.9329,0.1795,0.8503,0.0813,0.1337
01.01.,7,0.2001,0.1593,0.1201,0.2039,0.88,0.16,0.1852,0.0854,0.7292,0.0463,0.3642,0.1916,0.0342,0.6041,0.1983,0.0692,0.5048,0.2607,0.295,0.1563,0.1081,0.945,0.6301,0.4427,0.2525,0.3824,0.7091,0.0365,0.193,0.3252,0.1566,0.9267,0.1823,0.8407,0.0527,0.1416
01.01.,8,0.2352,0.207,0.1361,0.1626,0.8884,0.1043,0.2094,0.1023,0.7274,0.0378,0.3333,0.1873,0.0335,0.5962,0.2224,0.1159,0.5777,0.3056,0.3278,0.112,0.1301,0.9456,0.7113,0.3845,0.2638,0.4241,0.6005,0.036,0.1739,0.3818,0.1797,0.9168,0.1882,0.8282,0.0335,0.1466
01.01.,9,0.2767,0.27,0.1417,0.1245,0.9002,0.0667,0.2345,0.1288,0.6934,0.0297,0.3024,0.1813,0.0402,0.5444,0.2415,0.1939,0.6154,0.3464,0.3651,0.0763,0.2292,0.9458,0.7501,0.2974,0.265,0.4825,0.4903,0.0374,0.16,0.4136,0.2011,0.896,0.1962,0.7921,0.0226,0.154
01.01.,10,0.2919,0.3245,0.13,0.0954,0.9155,0.0438,0.2522,0.1424,0.6301,0.0203,0.2895,0.1659,0.052,0.4956,0.2296,0.254,0.6112,0.3711,0.3577,0.0504,0.3331,0.9485,0.7717,0.2435,0.2637,0.5594,0.4325,0.0362,0.1378,0.4212,0.2123,0.8698,0.1945,0.7374,0.0132,0.1508
01.01.,11,0.2783,0.3739,0.1033,0.0736,0.9261,0.0386,0.2646,0.1494,0.5669,0.0152,0.2927,0.1387,0.0646,0.4552,0.1814,0.2666,0.5881,0.3692,0.301,0.0393,0.413,0.95,0.7821,0.212,0.2603,0.6348,0.4171,0.0384,0.1195,0.3962,0.2192,0.8298,0.1955,0.6886,0.007,0.1515
01.01.,12,0.2457,0.4206,0.0733,0.0577,0.9283,0.0419,0.2609,0.1474,0.5008,0.0098,0.31,0.1107,0.0812,0.4201,0.133,0.2446,0.5535,0.336,0.2279,0.0314,0.4559,0.9499,0.7816,0.1916,0.2428,0.6992,0.4211,0.0414,0.1003,0.3577,0.2231,0.7951,0.1871,0.6406,0.0039,0.1519
01.01.,13,0.2312,0.5432,0.0528,0.06,0.9185,0.0522,0.256,0.1524,0.4601,0.0124,0.353,0.1076,0.1124,0.3933,0.1003,0.2044,0.5314,0.2906,0.1732,0.0332,0.5258,0.9497,0.8044,0.1827,0.2261,0.7706,0.4382,0.0479,0.0892,0.3405,0.2399,0.7774,0.1841,0.6114,0.0043,0.1628
01.01.,14,0.2337,0.7236,0.0464,0.078,0.8786,0.0638,0.2405,0.1516,0.4417,0.0285,0.4289,0.1275,0.1655,0.3619,0.0624,0.1674,0.5359,0.2417,0.1346,0.0367,0.65,0.9487,0.8478,0.1859,0.2036,0.8371,0.4279,0.0529,0.0892,0.3619,0.2736,0.7899,0.1927,0.624,0.0066,0.1832
01.01.,15,0.258,0.8747,0.053,0.1168,0.7973,0.0909,0.2315,0.1596,0.4426,0.0819,0.535,0.182,0.2604,0.3207,0.0649,0.1072,0.5765,0.1744,0.1073,0.059,0.7973,0.9479,0.8846,0.2243,0.1764,0.8855,0.3938,0.0547,0.0991,0.4085,0.336,0.8243,0.21,0.6702,0.0127,0.2216
01.01.,16,0.2653,0.9267,0.069,0.1778,0.6828,0.1468,0.2418,0.1784,0.4569,0.1678,0.6266,0.2398,0.3567,0.2685,0.1478,0.0843,0.5849,0.1253,0.1363,0.1307,0.8808,0.9416,0.8841,0.3013,0.1433,0.9077,0.353,0.0642,0.1167,0.4545,0.392,0.8118,0.2264,0.6899,0.0303,0.2797
01.01.,17,0.224,0.9437,0.0758,0.1849,0.6,0.2026,0.2542,0.2005,0.4927,0.2748,0.6637,0.2303,0.4335,0.2044,0.2023,0.0793,0.6135,0.1097,0.1678,0.166,0.9121,0.9247,0.8748,0.3334,0.1015,0.9073,0.3274,0.0741,0.1327,0.4739,0.4278,0.7691,0.2274,0.7027,0.0537,0.3296
01.01.,18,0.1572,0.944,0.082,0.1614,0.563,0.2688,0.263,0.2243,0.5577,0.3916,0.6608,0.1745,0.4745,0.1463,0.2249,0.0782,0.6706,0.1088,0.1832,0.1491,0.9217,0.8746,0.8446,0.3346,0.0704,0.8926,0.3128,0.0793,0.1422,0.4745,0.4408,0.7112,0.2189,0.7174,0.0849,0.3774
01.01.,19,0.1196,0.9383,0.095,0.1389,0.5212,0.3495,0.2606,0.2363,0.6198,0.4824,0.6285,0.1255,0.4691,0.113,0.2299,0.0778,0.7154,0.1103,0.1938,0.1259,0.9219,0.7774,0.7872,0.3272,0.0463,0.8662,0.3013,0.084,0.1402,0.4475,0.4296,0.6381,0.1999,0.7201,0.1185,0.4118
01.01.,20,0.0975,0.9258,0.1215,0.1273,0.4428,0.4341,0.2534,0.2425,0.6735,0.5432,0.5792,0.099,0.4316,0.0906,0.2349,0.0713,0.7232,0.1097,0.2002,0.1172,0.9217,0.6753,0.7279,0.3174,0.0302,0.824,0.2929,0.0873,0.1351,0.4293,0.4224,0.5543,0.1866,0.7215,0.1506,0.4258
