,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,LV00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.1114,0.0472,0.0461,0.1132,0.8914,0.8084,0.121,0.0785,0.4294,0.1032,0.3257,0.0597,0.2198,0.4157,0.3831,0.0181,0.2648,0.1019,0.7639,0.1402,0.2534,0.9267,0.2505,0.5446,0.4523,0.5114,0.8887,0.0896,0.1305,0.0624,0.0342,0.9411,0.1035,0.6428,0.3266,0.0957
01.01.,2,0.1172,0.0405,0.0406,0.116,0.8761,0.745,0.1242,0.0731,0.4437,0.0857,0.2886,0.0658,0.2419,0.4673,0.3601,0.016,0.2841,0.0998,0.7395,0.109,0.2165,0.9359,0.2669,0.5379,0.4777,0.4854,0.8826,0.0832,0.1192,0.067,0.0383,0.9384,0.0981,0.685,0.2924,0.0967
01.01.,3,0.1281,0.0369,0.0347,0.1222,0.888,0.6641,0.1359,0.0663,0.4592,0.0727,0.2575,0.0696,0.2687,0.495,0.3465,0.0161,0.3155,0.095,0.7139,0.0876,0.1813,0.9416,0.2858,0.5194,0.4899,0.4461,0.8735,0.0735,0.11,0.0735,0.0432,0.9313,0.093,0.7336,0.2504,0.101
01.01.,4,0.1512,0.0367,0.0331,0.1284,0.8844,0.5689,0.1526,0.061,0.4729,0.0636,0.2313,0.0748,0.3008,0.5352,0.3104,0.019,0.3505,0.0896,0.6788,0.0727,0.1587,0.9445,0.3013,0.5158,0.4884,0.417,0.8499,0.0648,0.1015,0.0835,0.0477,0.9236,0.0871,0.79,0.2008,0.1002
01.01.,5,0.1978,0.0467,0.0378,0.1359,0.8717,0.478,0.1761,0.0591,0.4893,0.0562,0.2222,0.0769,0.3394,0.5664,0.2547,0.0238,0.3687,0.0853,0.6404,0.066,0.1363,0.9462,0.3293,0.5266,0.4777,0.3898,0.8084,0.0595,0.0954,0.1047,0.0538,0.9158,0.0843,0.8412,0.1571,0.101
01.01.,6,0.2506,0.064,0.0453,0.1427,0.8971,0.3981,0.2101,0.0695,0.4967,0.0483,0.219,0.0749,0.3793,0.6064,0.206,0.029,0.3931,0.0844,0.5973,0.0638,0.1176,0.9479,0.3616,0.5305,0.4665,0.3595,0.747,0.0552,0.0899,0.136,0.0606,0.904,0.0847,0.8831,0.1135,0.1009
01.01.,7,0.2925,0.0907,0.0525,0.1409,0.9113,0.3289,0.2437,0.0875,0.4985,0.0435,0.2078,0.0679,0.4229,0.6338,0.1823,0.0395,0.437,0.0865,0.5394,0.0569,0.1035,0.949,0.3949,0.5192,0.4484,0.3239,0.6702,0.054,0.0849,0.176,0.069,0.8826,0.0827,0.8982,0.0753,0.1014
01.01.,8,0.3022,0.1213,0.0546,0.1331,0.9331,0.2545,0.2644,0.1052,0.4977,0.0356,0.1916,0.0566,0.4645,0.643,0.1601,0.065,0.5272,0.0962,0.4844,0.0423,0.1077,0.9495,0.4184,0.4791,0.434,0.2937,0.5746,0.0595,0.0798,0.2167,0.0811,0.8629,0.0776,0.8969,0.0487,0.1067
01.01.,9,0.2814,0.1678,0.053,0.1208,0.9378,0.183,0.274,0.1229,0.4666,0.0255,0.1771,0.0463,0.4758,0.6042,0.14,0.1169,0.5811,0.1166,0.4064,0.0331,0.1416,0.9475,0.4374,0.3799,0.4073,0.266,0.4696,0.0723,0.0757,0.2527,0.0938,0.8288,0.0716,0.8756,0.0323,0.1124
01.01.,10,0.25,0.2167,0.0458,0.0999,0.9427,0.1289,0.2701,0.1272,0.4295,0.0144,0.1693,0.0343,0.472,0.5472,0.1084,0.1692,0.6004,0.1367,0.3307,0.0266,0.2025,0.9477,0.4514,0.3205,0.3856,0.2392,0.3955,0.0868,0.0669,0.284,0.1009,0.7943,0.0661,0.8383,0.0194,0.1132
