,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,SE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.4319,0.2409,0.3869,0.4721,0.0627,0.3711,0.6938,0.4682,0.2496,0.2292,0.6908,0.2441,0.3392,0.8703,0.5209,0.1106,0.664,0.0419,0.3942,0.0638,0.0344,0.4317,0.2412,0.2726,0.1605,0.292,0.0647,0.7154,0.4794,0.4134,0.1571,0.4188,0.1453,0.7509,0.3174,0.161
01.01.,2,0.4542,0.2338,0.3703,0.503,0.0531,0.3624,0.6961,0.395,0.2156,0.2219,0.675,0.2586,0.3294,0.8802,0.5243,0.0887,0.6755,0.0401,0.3769,0.0687,0.0292,0.5696,0.2318,0.2942,0.1793,0.2535,0.0747,0.6667,0.4523,0.3908,0.1644,0.4548,0.1577,0.7052,0.3161,0.1475
01.01.,3,0.4672,0.2318,0.354,0.4993,0.0394,0.3371,0.7032,0.3266,0.1776,0.2136,0.6587,0.282,0.3239,0.8863,0.5304,0.0717,0.6905,0.0385,0.3637,0.0801,0.0377,0.7226,0.2317,0.3336,0.1977,0.2273,0.0872,0.5855,0.431,0.3721,0.1722,0.4974,0.1709,0.6465,0.3226,0.141
01.01.,4,0.4742,0.2405,0.3334,0.4807,0.0324,0.3021,0.7042,0.2809,0.1604,0.2049,0.6287,0.3065,0.3246,0.886,0.5354,0.062,0.693,0.0379,0.3526,0.0972,0.0542,0.8203,0.2384,0.3728,0.2133,0.1976,0.0968,0.5105,0.4041,0.3516,0.1715,0.5281,0.1851,0.5874,0.3293,0.1337
01.01.,5,0.5087,0.2654,0.3242,0.4611,0.0357,0.2732,0.7177,0.2626,0.1616,0.2065,0.5959,0.3219,0.3349,0.8855,0.5339,0.0644,0.7029,0.0409,0.3363,0.1273,0.0726,0.839,0.2579,0.4092,0.2253,0.1823,0.1015,0.4766,0.3627,0.336,0.167,0.5552,0.206,0.5292,0.3368,0.1302
01.01.,6,0.465,0.2989,0.3244,0.4121,0.0553,0.248,0.7335,0.2633,0.1637,0.2116,0.5652,0.3276,0.3587,0.8828,0.522,0.0861,0.7065,0.0461,0.3267,0.1665,0.0956,0.8313,0.2795,0.438,0.2334,0.1731,0.1023,0.481,0.3274,0.317,0.1595,0.5793,0.2287,0.4853,0.3541,0.1239
01.01.,7,0.304,0.3312,0.3255,0.3436,0.0993,0.2348,0.7578,0.2687,0.1645,0.2138,0.5408,0.3198,0.3802,0.8817,0.5163,0.1216,0.7058,0.0514,0.315,0.1962,0.1169,0.8071,0.3038,0.4565,0.2429,0.1727,0.1026,0.5321,0.3041,0.3149,0.1546,0.604,0.2555,0.4441,0.3775,0.1195
01.01.,8,0.2697,0.3381,0.3324,0.2666,0.1538,0.2384,0.7835,0.2602,0.1525,0.2062,0.5148,0.3119,0.3991,0.8672,0.5236,0.1629,0.7025,0.0554,0.3001,0.2147,0.1378,0.7743,0.3141,0.456,0.2414,0.1779,0.1045,0.6291,0.2871,0.3068,0.1478,0.6172,0.2879,0.4012,0.4116,0.1169
01.01.,9,0.2889,0.3242,0.3416,0.1985,0.2216,0.2541,0.8096,0.2489,0.1379,0.1871,0.4828,0.3004,0.4246,0.8405,0.5402,0.2078,0.6925,0.0582,0.2849,0.2309,0.1658,0.7334,0.321,0.451,0.2371,0.1855,0.107,0.7376,0.2759,0.3034,0.139,0.623,0.3209,0.367,0.4485,0.1162
01.01.,10,0.3526,0.3021,0.3604,0.144,0.2856,0.269,0.8298,0.2378,0.13,0.1681,0.4391,0.2953,0.4473,0.7957,0.5568,0.244,0.6749,0.0606,0.2724,0.2431,0.1992,0.6895,0.3242,0.4461,0.241,0.1909,0.1042,0.8061,0.2639,0.3069,0.1299,0.6078,0.3583,0.3318,0.4807,0.1151
01.01.,11,0.4103,0.286,0.3897,0.1308,0.3544,0.2848,0.8523,0.226,0.1278,0.1556,0.3829,0.2953,0.4931,0.7494,0.5801,0.2746,0.6558,0.0668,0.2773,0.2506,0.2335,0.6666,0.3306,0.4585,0.2562,0.2037,0.1002,0.8476,0.2443,0.3146,0.1238,0.5744,0.4064,0.3019,0.5119,0.114
01.01.,12,0.4735,0.2745,0.4211,0.1481,0.4152,0.303,0.8701,0.2269,0.1229,0.1451,0.3467,0.309,0.5384,0.6988,0.5967,0.3061,0.6383,0.0723,0.2844,0.2474,0.2557,0.6542,0.3383,0.4741,0.2713,0.21,0.0918,0.8832,0.2196,0.3213,0.1171,0.5248,0.456,0.271,0.5289,0.1101
01.01.,13,0.5472,0.2677,0.4459,0.1797,0.4614,0.3161,0.8606,0.2362,0.1132,0.138,0.3265,0.3175,0.5605,0.6419,0.5926,0.3408,0.612,0.076,0.2881,0.237,0.2716,0.6381,0.336,0.4859,0.2723,0.2064,0.0824,0.8979,0.1862,0.3157,0.1125,0.4443,0.4978,0.2368,0.5235,0.1081
01.01.,14,0.5923,0.2732,0.4533,0.1971,0.4906,0.3234,0.8128,0.241,0.1116,0.1332,0.3389,0.3201,0.5555,0.5737,0.5814,0.3994,0.5838,0.0782,0.2886,0.2263,0.2819,0.6232,0.3289,0.4911,0.2683,0.1989,0.0796,0.8919,0.1624,0.3156,0.1121,0.334,0.5365,0.1942,0.5017,0.1098
01.01.,15,0.6328,0.2826,0.4452,0.207,0.5019,0.3257,0.7347,0.2524,0.1111,0.1461,0.3728,0.3215,0.5432,0.5155,0.5694,0.4724,0.5659,0.082,0.2891,0.2381,0.2923,0.5997,0.3192,0.4937,0.2599,0.1933,0.083,0.8722,0.1476,0.3174,0.1167,0.2397,0.5702,0.1633,0.478,0.1112
01.01.,16,0.6799,0.2878,0.4186,0.2104,0.4996,0.3127,0.6481,0.2593,0.1102,0.1831,0.3848,0.32,0.5108,0.4788,0.559,0.5332,0.5568,0.0853,0.2873,0.2632,0.3031,0.5706,0.3084,0.508,0.2446,0.1945,0.0834,0.8436,0.1384,0.3137,0.1222,0.1668,0.5964,0.1413,0.4694,0.1126
