,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,SI00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.7429,0.172,0.588,0.2477,0.2744,0.0929,0.1844,0.1132,0.6497,0.156,0.3491,0.2841,0.0913,0.6141,0.2924,0.082,0.52,0.6437,0.5009,0.9268,0.0781,0.5163,0.7836,0.7569,0.3819,0.0445,0.099,0.66,0.183,0.231,0.8413,0.6506,0.2926,0.3025,0.0493,0.0572
01.01.,2,0.7259,0.1724,0.6813,0.196,0.1963,0.1035,0.2248,0.121,0.6599,0.1202,0.3462,0.3078,0.1285,0.6189,0.2395,0.0907,0.6636,0.6339,0.4215,0.9405,0.1107,0.5006,0.7743,0.762,0.3587,0.0329,0.0964,0.662,0.1726,0.236,0.8424,0.6445,0.3137,0.32,0.0407,0.0583
01.01.,3,0.6731,0.1762,0.7783,0.1253,0.1345,0.102,0.2397,0.1331,0.6275,0.0957,0.3084,0.3278,0.1712,0.6111,0.1721,0.1078,0.7528,0.5836,0.3694,0.9468,0.1383,0.4845,0.7463,0.7671,0.3256,0.0232,0.0935,0.6585,0.1628,0.249,0.7883,0.6374,0.3419,0.3419,0.0353,0.0622
01.01.,4,0.6317,0.1741,0.8368,0.0724,0.0734,0.0859,0.2477,0.1413,0.5832,0.0674,0.2826,0.3527,0.1787,0.6028,0.1269,0.1118,0.7982,0.5481,0.3117,0.9473,0.1627,0.4701,0.6959,0.7741,0.2822,0.0179,0.0865,0.6703,0.1472,0.253,0.6621,0.6245,0.3466,0.3457,0.0279,0.0611
01.01.,5,0.6289,0.1821,0.8686,0.053,0.0479,0.0679,0.2402,0.153,0.5424,0.0467,0.276,0.3795,0.1561,0.6118,0.1282,0.1257,0.8127,0.538,0.2371,0.8011,0.1999,0.4692,0.606,0.7935,0.2556,0.0157,0.0836,0.7029,0.1433,0.2613,0.5454,0.603,0.3501,0.332,0.0256,0.0676
01.01.,6,0.6139,0.176,0.8779,0.0445,0.0309,0.0561,0.2546,0.1723,0.4745,0.036,0.3084,0.4145,0.1199,0.6201,0.1403,0.1421,0.8023,0.5388,0.1545,0.8016,0.237,0.4571,0.487,0.7959,0.2326,0.0198,0.0819,0.7126,0.1453,0.2749,0.4395,0.5822,0.3447,0.3009,0.0238,0.0842
01.01.,7,0.5196,0.1802,0.8907,0.0435,0.016,0.0466,0.2965,0.189,0.3888,0.0264,0.3974,0.4291,0.1208,0.6187,0.1443,0.1855,0.7049,0.5392,0.0863,0.8017,0.2848,0.4423,0.3657,0.8054,0.2239,0.0279,0.0802,0.7245,0.1568,0.289,0.3384,0.5685,0.3488,0.2547,0.0239,0.1087
01.01.,8,0.2886,0.2084,0.8774,0.0436,0.0068,0.0399,0.3553,0.1951,0.2939,0.0199,0.5305,0.4058,0.1621,0.5903,0.1297,0.2706,0.7295,0.5048,0.0395,0.9468,0.3121,0.4114,0.2545,0.7994,0.1984,0.0326,0.0678,0.7185,0.1576,0.291,0.2825,0.5513,0.3419,0.2213,0.0256,0.1426
01.01.,9,0.1102,0.2523,0.8323,0.0591,0.0024,0.0433,0.3431,0.1655,0.2354,0.0171,0.5839,0.3397,0.2129,0.5499,0.1111,0.3736,0.6667,0.4337,0.0124,0.927,0.3031,0.3751,0.1591,0.7571,0.1596,0.0287,0.0553,0.6758,0.1332,0.2474,0.2515,0.5153,0.2884,0.1856,0.0182,0.1853
01.01.,10,0.0765,0.2972,0.7645,0.065,0.0011,0.0407,0.2031,0.1269,0.223,0.0278,0.6133,0.2575,0.2412,0.5452,0.0956,0.4372,0.6087,0.3642,0.0036,0.9282,0.2953,0.344,0.094,0.7045,0.1078,0.0193,0.0461,0.6311,0.0888,0.2049,0.2102,0.4895,0.2455,0.1638,0.0055,0.2075
