,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,ITS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.0215,0.0157,0.0,0.0146,0.0181,0.023,0.0231,0.0156,0.0107,0.0226,0.0191,0.0215,0.0006,0.0076,0.0059,0.0185,0.0056,0.0155,0.0139,0.0155,0.0023,0.0221,0.0045,0.0131,0.0,0.0,0.018,0.0001,0.0134,0.0002,0.0197,0.0208,0.0019,0.0003,0.0198,0.0205
01.01.,9,0.1141,0.0847,0.0,0.0815,0.1,0.1179,0.1182,0.0763,0.0684,0.1168,0.1048,0.1134,0.0094,0.0445,0.0312,0.0974,0.0328,0.0779,0.0794,0.0783,0.017,0.1154,0.0222,0.0674,0.0004,0.0003,0.1031,0.0044,0.0743,0.002,0.1081,0.114,0.0103,0.0023,0.1116,0.1118
01.01.,10,0.2526,0.1889,0.0002,0.1871,0.2259,0.2564,0.2566,0.1522,0.1711,0.2553,0.2383,0.2503,0.0441,0.1041,0.0631,0.2107,0.0661,0.1494,0.1803,0.1551,0.048,0.2525,0.0452,0.1445,0.0011,0.0007,0.2313,0.0292,0.1665,0.0072,0.2366,0.2541,0.021,0.0062,0.2505,0.2492
01.01.,11,0.3823,0.2901,0.0009,0.2947,0.3478,0.3849,0.3849,0.2092,0.287,0.3843,0.3686,0.3788,0.1137,0.1665,0.0871,0.3127,0.0894,0.1945,0.2792,0.2101,0.0884,0.3796,0.0637,0.2136,0.002,0.0011,0.3523,0.0907,0.2551,0.0155,0.3526,0.3867,0.029,0.0109,0.3826,0.3799
