,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,MT00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
01.01.,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.,8,0.01429,0.00935,0.00504,0.0146,0.01881,0.01738,0.0039,0.0164,0.00621,0.0164,0.0164,0.01687,0.00894,0.01054,0.0091,0.01311,0.01054,0.01445,0.01414,0.01737,0.01234,0.01835,0.01933,0.0166,0.01542,0.0037,0.01429,0.0129,0.01624,0.01367,0.01527,0.01131,0.01332,0.00699,0.01444,0.01234
01.01.,9,0.11247,0.07489,0.0426,0.11523,0.13646,0.12881,0.03372,0.1233,0.05304,0.12521,0.12444,0.12793,0.07463,0.08461,0.07571,0.10311,0.08208,0.11477,0.10897,0.1304,0.09524,0.13528,0.1377,0.1233,0.11185,0.03598,0.11889,0.09858,0.11647,0.10135,0.12083,0.0937,0.11436,0.06296,0.12022,0.09895
01.01.,10,0.24524,0.16561,0.07946,0.23776,0.28279,0.27138,0.08527,0.26295,0.12807,0.26583,0.2649,0.26635,0.1492,0.18144,0.1696,0.22137,0.19125,0.23962,0.19898,0.25869,0.17964,0.27668,0.27899,0.25535,0.23077,0.09627,0.25612,0.19018,0.25123,0.23067,0.25597,0.21336,0.24588,0.15434,0.25761,0.2073
01.01.,11,0.35657,0.24472,0.09806,0.33151,0.39839,0.38631,0.13949,0.3769,0.20192,0.37994,0.37978,0.37517,0.20055,0.26188,0.25255,0.31775,0.29312,0.338,0.24575,0.3492,0.22939,0.38425,0.38641,0.35917,0.32056,0.16123,0.36842,0.24817,0.36112,0.34539,0.36518,0.31991,0.35392,0.24557,0.37073,0.29283
