Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,3452.891,3450.058,3742.135,3393.178,3221.876,3591.902,4042.862,3002.734,3601.076,3344.865,3739.333,3172.236,3535.196,3503.266,3332.135,3037.138,3350.9,3962.536,3291.917,5080.532,3505.754,3525.43,3604.203,3594.796,3208.791,3372.605,3651.802,3332.175,3846.213,3645.281,3864.27,3767.293,4061.888,3714.438,3639.293,3834.487
2018-01-01 01:00:00,1,1,1,3331.731,3336.449,3626.755,3276.917,3106.486,3477.431,3926.904,2890.31,3481.82,3381.911,3619.67,3056.694,3419.503,3383.3,3340.855,2925.491,3239.367,3849.316,3179.047,4888.102,3384.356,3406.799,3485.837,3476.09,3090.9,3416.657,3531.741,3378.263,3732.111,3522.851,3745.062,3646.474,3951.852,3602.668,3523.164,3721.996
2018-01-01 02:00:00,1,1,2,3279.786,3289.583,3579.832,3226.289,3054.466,3428.774,3881.317,2841.662,3432.235,3327.626,3569.904,3004.816,3371.718,3331.99,3294.596,2877.933,3193.325,3803.463,3130.741,4821.888,3333.568,3357.271,3435.484,3424.79,3039.353,3368.502,3480.725,3328.687,3686.79,3469.949,3695.6,3592.71,3911.381,3559.535,3475.483,3678.399
2018-01-01 03:00:00,1,1,3,3313.001,3325.347,3624.143,3257.666,3086.459,3467.466,3931.237,2877.445,3468.899,3354.967,3611.259,3037.463,3409.662,3364.693,3330.9,2914.683,3230.444,3851.223,3162.554,4764.286,3368.867,3393.944,3472.101,3459.019,3070.427,3404.2,3516.565,3362.064,3735.355,3504.68,3741.881,3628.237,3967.782,3606.934,3516.658,3727.987
2018-01-01 04:00:00,1,1,4,3366.543,3377.307,3689.064,3307.787,3133.728,3531.478,3999.579,2911.298,3527.993,3404.643,3673.205,3080.061,3467.278,3419.012,3382.803,2951.027,3284.82,3917.935,3207.995,4561.503,3427.014,3454.867,3532.769,3511.67,3113.887,3457.979,3577.024,3415.047,3805.412,3562.884,3812.469,3684.707,4031.889,3674.253,3581.305,3797.94
2018-01-01 05:00:00,1,1,5,3391.227,3398.068,3735.617,3319.945,3135.738,3582.901,4049.515,2882.712,3565.829,3271.101,3713.845,3071.136,3504.308,3447.941,3405.032,2925.796,3306.007,3962.763,3209.265,4629.495,3464.727,3496.332,3573.693,3548.586,3109.378,3326.509,3620.762,3439.257,3856.863,3599.165,3869.33,3730.312,4086.827,3726.946,3627.905,3849.647
2018-01-01 06:00:00,1,1,6,3425.615,3424.99,3778.049,3331.564,3139.047,3636.476,4090.507,2866.503,3603.306,3299.975,3750.64,3070.608,3546.295,3476.18,3314.703,2915.878,3335.781,3997.246,3210.007,4936.693,3513.062,3535.713,3612.43,3605.44,3111.759,3363.626,3668.131,3469.248,3903.285,3633.942,3922.423,3779.283,4139.512,3781.203,3675.15,3898.807
2018-01-01 07:00:00,1,1,7,3452.634,3372.635,3881.327,3316.969,3169.243,3720.832,4369.854,2930.648,3730.414,3360.946,3895.788,3217.14,3684.11,3596.475,3422.321,3054.763,3419.397,4116.736,3280.861,5451.193,3643.799,3607.23,3713.026,3816.318,3243.017,3504.208,3813.772,3455.571,4095.923,3820.222,4042.604,3895.333,4426.544,3881.686,3811.724,4053.147
2018-01-01 08:00:00,1,1,8,3686.984,3449.829,3962.908,3440.677,3149.581,3749.409,4534.495,3008.714,3848.853,3376.996,4031.359,3415.076,3807.372,3704.198,3526.851,3248.322,3312.677,4355.224,3340.345,5877.191,3777.588,3623.707,3779.267,4168.08,3385.229,3612.802,3918.795,3585.59,4308.792,4015.202,4114.577,3965.809,4504.856,3905.856,3911.298,4175.547
2018-01-01 09:00:00,1,1,9,3973.072,3566.68,4065.177,3650.328,3226.779,3836.082,4708.027,3171.595,3996.754,3472.329,4128.615,3561.025,3946.291,3836.57,3699.312,3350.944,3440.007,4494.238,3382.79,6167.403,3967.209,3669.419,3879.3,4401.343,3423.922,3754.602,4090.763,3760.344,4725.489,4224.351,4258.859,4108.641,4587.493,3970.774,4076.729,4480.612
2018-01-01 10:00:00,1,1,10,4066.658,3547.938,4072.634,3687.879,3220.753,3857.837,4750.902,3206.71,4025.758,3470.757,4094.296,3679.351,3938.853,3792.235,3737.099,3429.655,3441.429,4524.255,3404.621,6332.226,4059.602,3580.38,3850.978,4458.403,3479.162,3739.584,4160.653,3760.135,4776.21,4454.906,4313.777,4169.699,4593.51,3961.773,4149.139,4516.419
2018-01-01 11:00:00,1,1,11,4099.493,3510.627,4016.439,3732.045,3190.16,3819.569,4707.338,3215.677,4001.012,3463.302,3993.464,3747.575,3892.484,3725.959,3741.877,3487.267,3438.077,4478.408,3443.539,6218.464,4058.287,3468.746,3779.718,4442.762,3549.291,3686.629,4143.496,3761.18,4751.35,4451.754,4260.179,4147.189,4475.925,3872.69,4136.814,4450.702
2018-01-01 12:00:00,1,1,12,4104.222,3466.569,4001.186,3742.858,3176.005,3803.358,4677.786,3223.808,3976.131,3466.146,3934.113,3770.876,3861.843,3690.892,3731.996,3502.722,3438.865,4457.194,3455.744,6217.304,4036.846,3437.565,3756.003,4445.284,3565.324,3652.548,4133.235,3763.096,4729.568,4238.824,4213.581,4136.218,4406.094,3808.553,4124.346,4402.389
2018-01-01 13:00:00,1,1,13,4130.526,3465.5,4039.059,3757.091,3222.17,3839.223,4681.123,3266.087,3985.987,3524.439,3950.336,3801.577,3874.863,3714.061,3750.758,3519.049,3474.493,4476.288,3488.027,6313.275,4045.47,3496.303,3806.469,4474.914,3581.964,3661.419,4160.213,3788.111,4730.071,4232.051,4215.146,4167.345,4408.559,3814.619,4151.541,4402.429
2018-01-01 14:00:00,1,1,14,4221.414,3599.679,4362.89,3839.545,3422.429,4008.546,4775.298,3303.742,4102.76,3721.543,4110.989,3907.34,3996.166,3874.23,3873.15,3609.671,3626.4,4590.124,3623.789,6421.174,4311.25,3720.354,3989.304,4593.383,3668.53,3789.297,4432.826,3903.35,4805.959,4484.551,4338.429,4314.875,4550.356,3973.576,4504.667,4517.733
2018-01-01 15:00:00,1,1,15,4627.796,4007.272,4701.939,4091.053,3712.22,4627.426,5050.011,3732.048,4538.502,4160.651,4701.143,4328.38,4478.031,4369.872,4329.375,3890.306,3980.98,4872.067,3960.252,6877.726,4640.123,4328.332,4496.735,4887.473,3940.571,4125.542,4749.514,4194.758,5054.654,4718.673,4879.353,4853.855,4934.963,4553.662,4849.146,4859.645
