Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,6575.03,6237.63,7436.009,6063.747,6295.508,6022.882,7297.875,6729.708,6302.986,6081.513,6080.919,7082.076,5883.88,5663.446,6741.48,5868.318,6654.887,6172.206,6866.392,7352.67,6384.385,6251.846,5775.627,6865.113,6690.316,5983.433,6137.175,7569.336,6683.911,7354.108,6450.152,6398.714,7933.819,6311.607,6276.565,6144.768
2018-01-01 01:00:00,1,1,1,6589.085,6244.915,7525.206,6050.08,6297.563,5982.269,7367.456,6759.223,6297.7,6068.382,6048.31,7128.41,5841.977,5612.499,6775.288,5835.057,6669.718,6151.596,6896.49,7433.292,6386.84,6225.927,5730.903,6895.314,6703.755,5967.071,6110.537,7658.03,6712.319,7412.785,6429.269,6385.789,8043.385,6312.463,6269.657,6131.718
2018-01-01 02:00:00,1,1,2,6603.711,6264.394,7580.743,6048.961,6299.641,5964.32,7402.897,6780.369,6302.587,6075.016,6045.147,7145.788,5815.864,5588.647,6798.809,5815.647,6677.768,6156.529,6912.543,7483.176,6390.311,6205.512,5705.007,6913.263,6714.02,5961.967,6094.427,7700.653,6734.561,7436.317,6421.721,6382.672,8088.954,6314.678,6266.518,6130.77
2018-01-01 03:00:00,1,1,3,6648.812,6322.705,7598.84,6098.16,6340.974,5993.195,7426.601,6808.891,6345.073,6119.421,6077.003,7157.366,5832.74,5591.068,6836.877,5834.669,6702.476,6183.555,6933.472,7511.539,6419.175,6224.203,5731.862,6932.821,6740.909,5998.265,6115.63,7708.909,6770.424,7442.118,6439.773,6403.761,8084.604,6351.227,6295.268,6169.831
2018-01-01 04:00:00,1,1,4,6797.051,6482.773,7636.405,6257.121,6484.931,6134.378,7489.776,6906.366,6496.406,6261.962,6220.069,7216.979,5960.015,5690.609,6941.727,5961.853,6807.944,6310.374,7026.209,7574.702,6543.493,6352.255,5874.449,7020.443,6851.252,6140.932,6251.081,7743.665,6885.586,7491.397,6560.803,6525.67,8063.435,6486.723,6420.511,6318.229
2018-01-01 05:00:00,1,1,5,7384.0,7094.225,8115.215,6889.045,7135.946,6748.73,8025.756,7478.301,7096.452,6912.029,6833.497,7765.644,6620.975,6361.263,7539.741,6627.643,7364.464,6936.624,7600.416,8077.981,7157.309,6932.901,6514.812,7626.174,7399.357,6791.593,6849.391,8232.26,7478.792,7996.355,7146.371,7116.456,8539.037,7106.111,7069.208,6924.532
2018-01-01 06:00:00,1,1,6,7893.251,7597.675,8600.111,7421.052,7639.225,7256.006,8518.279,7953.789,7604.526,7412.876,7338.135,8260.143,7132.338,6893.418,8033.657,7135.946,7843.617,7432.253,8103.649,8586.056,7655.975,7411.757,7043.541,8127.124,7886.16,7306.998,7342.622,8730.024,7988.785,8486.994,7632.626,7600.986,9016.899,7612.05,7571.962,7429.683
2018-01-01 07:00:00,1,1,7,8152.906,7837.68,8859.035,7723.421,7882.381,7506.298,8752.027,8174.668,7858.54,7647.503,7585.013,8516.041,7382.596,7154.055,8280.946,7389.378,8065.319,7683.492,8373.043,8847.823,7906.758,7623.08,7304.463,8392.522,8123.447,7570.067,7574.691,8980.259,8258.818,8724.829,7865.54,7832.473,9250.293,7873.098,7842.727,7682.419
2018-01-01 08:00:00,1,1,8,8554.851,8178.733,9329.316,8248.668,8203.567,7905.183,9074.902,8519.912,8260.782,7975.631,7999.095,8970.006,7782.417,7543.155,8686.305,7799.852,8452.272,8118.732,8805.257,9295.565,8288.151,7959.909,7706.328,8800.027,8526.648,7934.173,7980.038,9433.482,8721.541,9167.467,8251.077,8221.253,9693.833,8257.425,8262.324,8092.322
2018-01-01 09:00:00,1,1,9,8768.491,8339.943,9671.283,8672.855,8338.846,8146.443,9200.123,8701.89,8543.912,8147.939,8322.473,9307.999,8077.856,7790.981,8949.431,8093.601,8724.464,8442.133,9074.354,9593.321,8527.699,8172.91,7991.833,9056.36,8818.502,8131.999,8290.8,9737.153,9071.603,9468.718,8521.031,8506.427,9978.197,8480.6,8560.228,8382.954
