Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,73545.5613,52380.085,83225.5003,64259.83,64470.2083,52769.2134,78064.3474,64526.8273,60578.3354,53064.557,53642.7894,80145.208,52209.452,50603.231,65764.6664,53088.2373,67084.7823,53261.035,75353.2163,92437.0103,62988.8504,51521.9713,52639.2973,74760.8033,70515.0363,54044.439,51511.9724,86637.3074,73788.1366,75651.119,55267.0093,57437.388,88098.90830000001,52998.8363,66268.8034,54698.293
2018-01-01 01:00:00,1,1,1,72500.1544,53944.571,80467.112,62133.0954,62337.388,54868.7113,74974.934,62044.933,59425.2924,54618.295,55319.4833,77058.4916,53249.831,51036.8523,62722.7214,54627.3763,64503.596,54939.027,71944.8493,93497.6434,60305.9293,53223.9153,53924.349,71254.675,66951.01030000001,55058.8493,53250.027,85415.83840000001,71600.5983,73971.95730000001,56277.9094,57509.0024,86823.404,54573.888,63176.3943,55710.1593
2018-01-01 02:00:00,1,1,2,72428.3544,54773.9672,80868.1679,63013.4724,62343.8144,55418.6345,74201.257,62087.2784,60548.7508,55329.6544,56083.1947,77249.8987,54657.2404,52973.4542,63125.7251,55396.3705,64842.8389,55926.5722,72302.9041,90696.5435,61390.0597,54232.0056,55061.368,71573.54980000001,69454.4682,55840.2626,53497.5281,84401.5887,71952.81180000001,72741.6685,57171.6871,57817.2981,85852.9617,55066.376,64113.2306,56512.5907
2018-01-01 03:00:00,1,1,3,67728.9415,56300.639,72013.4805,62526.1048,61967.4495,58076.0749,68911.7537,61387.0036,58946.9448,57085.8135,57965.2784,71276.7083,56247.8324,51076.8157,61452.1366,57104.666,63341.0524,57365.6843,68162.0848,78951.6493,60561.5761,53470.6443,54606.9936,66884.2545,64404.0857,57401.6941,53507.6548,74605.89069999999,68214.4452,68609.45330000001,58754.3523,58395.5101,74959.9862,56668.4187,62406.3686,58138.983
2018-01-01 04:00:00,1,1,4,65771.1931,55421.2008,70997.06049999999,61210.20389999999,61238.8078,56014.3978,67583.0361,60062.8901,58569.4846,56428.0417,57975.327000000005,69792.00869999999,53980.6102,52936.6297,60084.48,56144.9411,61311.2924,56444.5684,67434.6238,77050.736,59325.5972,53275.7173,54998.3423,65840.9876,62291.4813,56857.306,53029.354,73105.67020000001,66872.938,67040.1068,58708.0803,57736.483400000005,73617.3833,56377.9719,60977.2304,57753.3842
2018-01-01 05:00:00,1,1,5,64729.2919,55252.035800000005,69774.5596,62163.9241,61437.6485,56218.3066,66209.36940000001,61884.4059,59466.5762,55862.6142,56916.592,67793.766,54640.0543,53974.5329,60770.847,56126.9024,62606.2214,56615.685,65257.5624,76856.6944,61197.9733,54327.8301,55586.9028,64899.472400000006,63262.1963,56518.86689999999,54349.73,71569.7581,65573.7833,65802.67229999999,59444.6301,58388.6994,73153.9901,55930.6555,62463.4822,58362.747200000005
2018-01-01 06:00:00,1,1,6,64541.0877,57643.1711,70372.7225,62328.2152,61905.569,59902.3586,66499.0082,60920.3099,59322.6397,57544.3578,58924.500100000005,69041.2181,56732.1748,56130.1811,61263.0179,58539.2944,62601.2488,59262.532900000006,65804.94189999999,76971.3456,60207.8972,56014.2936,57823.4912,64451.478500000005,63131.2692,58021.5527,54899.3165,71874.93549999999,65705.1758,65743.7071,60107.1523,59419.7614,73751.5159,58152.3918,62898.572,58724.3446
2018-01-01 07:00:00,1,1,7,65801.7156,58699.9046,72833.2732,65678.1033,63509.7144,59696.41,68148.3132,62671.324,61456.4195,58294.4396,59220.7603,71842.7554,57227.5904,57378.0014,63193.3159,58560.0056,64942.8974,61386.0083,67770.7513,79025.1224,62417.107,57562.1081,58857.0871,66556.3368,64911.757000000005,60060.5837,55821.6305,73941.43560000001,67217.126,67159.459,61039.8705,60219.8139,75073.2307,59111.1513,64867.4784,61092.13
2018-01-01 08:00:00,1,1,8,68325.784,61503.9565,75005.41930000001,68465.1858,66549.39570000001,61992.8739,72159.3217,65980.0398,64364.0246,62336.5352,63562.602,73820.9182,60656.0201,60437.2262,65902.724,62374.0391,67208.4145,63757.2754,69319.8936,81976.9686,65729.3311,60897.5332,61075.9532,70993.6838,68237.8499,62495.5149,60017.5228,76842.0233,71126.187,71098.4261,63751.3261,64630.1958,77997.90060000001,63517.9219,69950.8062,63142.5546
2018-01-01 09:00:00,1,1,9,71784.0042,65374.2799,78521.8706,70975.74130000001,68119.0792,66356.9547,74513.49560000001,69688.1774,68036.8631,65932.9437,66352.7248,78631.97529999999,65294.9871,65023.6924,70233.3527,66122.84,71312.6151,69552.6826,74111.7726,85158.08959999999,68840.03469999999,64388.9543,66190.1334,74198.8076,72365.1483,66611.855,63442.4302,78868.5259,74636.7815,75454.2269,68258.3832,67535.0704,81566.7886,66968.06390000001,72788.8049,66846.9226
