Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,2850.334,3018.587,2813.041,2944.027,2547.027,2456.307,2733.376,2581.229,2612.236,2489.995,2613.248,3241.961,2383.495,2503.248,2746.09,2515.823,2474.58,2701.098,2868.235,3084.133,2468.797,2448.446,2486.796,2569.814,2877.7,2550.238,2493.378,2842.2,2736.033,2911.952,2650.613,2604.162,2680.49,2467.836,2592.876,2463.619
2018-01-01 01:00:00,1,1,1,2696.342,2854.928,2638.649,2796.144,2379.115,2294.952,2588.619,2427.463,2454.639,2334.236,2432.508,3066.127,2225.689,2349.334,2593.809,2350.837,2314.327,2542.371,2728.725,2918.253,2317.055,2278.558,2328.587,2408.732,2722.396,2388.367,2326.322,2676.268,2579.604,2757.637,2490.898,2438.769,2521.484,2306.024,2434.038,2302.058
2018-01-01 02:00:00,1,1,2,2596.021,2729.636,2497.044,2693.753,2253.799,2161.452,2471.274,2322.524,2338.948,2221.615,2299.875,2937.776,2102.678,2241.529,2473.548,2224.9,2191.154,2418.203,2618.827,2801.846,2203.785,2145.89,2207.018,2285.423,2609.07,2265.734,2196.03,2552.652,2455.26,2643.995,2373.302,2313.536,2402.433,2182.596,2310.913,2180.796
2018-01-01 03:00:00,1,1,3,2518.154,2612.81,2391.864,2624.884,2149.152,2059.49,2378.359,2241.21,2247.359,2132.982,2201.435,2833.702,2009.112,2155.183,2378.461,2124.869,2096.114,2314.143,2538.474,2708.476,2112.288,2039.146,2110.836,2184.937,2521.378,2167.381,2097.889,2461.421,2363.419,2554.232,2281.568,2211.629,2304.403,2078.269,2214.195,2082.606
2018-01-01 04:00:00,1,1,4,2460.879,2518.928,2357.745,2565.356,2082.284,2003.404,2319.296,2185.215,2181.965,2074.348,2144.644,2769.337,1952.568,2097.339,2318.291,2062.158,2040.796,2247.858,2466.782,2640.749,2051.153,1983.299,2051.289,2119.983,2459.065,2108.052,2045.88,2406.369,2308.757,2486.646,2228.017,2148.475,2239.243,2012.545,2157.165,2026.387
2018-01-01 05:00:00,1,1,5,2531.023,2550.181,2447.341,2634.225,2136.387,2065.278,2384.02,2251.299,2241.208,2135.081,2214.515,2824.343,2021.319,2159.727,2381.812,2124.985,2115.944,2312.266,2509.887,2708.764,2109.683,2038.056,2108.784,2179.616,2515.623,2177.273,2120.633,2472.009,2381.183,2550.224,2299.989,2210.743,2304.746,2073.119,2226.235,2093.667
2018-01-01 06:00:00,1,1,6,2697.762,2703.601,2638.31,2815.629,2285.606,2214.134,2551.92,2408.248,2404.172,2295.096,2373.684,3046.273,2176.764,2318.057,2550.152,2283.697,2281.665,2482.283,2682.129,2913.762,2256.678,2181.225,2255.687,2338.298,2691.251,2342.893,2285.387,2650.631,2560.098,2720.016,2472.019,2368.733,2473.342,2225.081,2391.336,2252.448
2018-01-01 07:00:00,1,1,7,2823.405,2842.061,2800.077,2981.737,2443.636,2374.6,2708.542,2565.056,2560.792,2473.913,2535.162,3235.918,2345.454,2483.731,2709.44,2447.716,2445.87,2648.146,2826.266,3081.037,2411.416,2349.688,2415.314,2492.873,2858.123,2500.765,2446.328,2823.172,2728.912,2884.127,2643.323,2526.384,2640.186,2386.449,2553.935,2415.671
2018-01-01 08:00:00,1,1,8,2897.403,2936.916,2891.764,3081.822,2553.032,2486.811,2802.436,2662.894,2674.281,2607.29,2648.042,3375.241,2462.968,2568.006,2824.306,2558.132,2559.545,2772.541,2941.451,3197.349,2518.426,2465.202,2528.737,2595.654,2981.543,2608.063,2546.924,2943.11,2851.374,3000.66,2766.501,2631.362,2756.619,2500.06,2668.31,2527.64
2018-01-01 09:00:00,1,1,9,2951.578,3024.627,2955.656,3195.274,2653.699,2604.673,2873.092,2755.131,2757.324,2740.671,2731.653,3499.556,2569.751,2656.148,2927.13,2648.733,2670.279,2867.145,3044.707,3274.008,2622.879,2548.47,2620.058,2682.834,3084.779,2706.868,2646.437,3025.7,2953.14,3086.126,2882.999,2705.331,2849.738,2609.352,2777.384,2646.391
2018-01-01 10:00:00,1,1,10,2918.657,3012.041,2934.127,3172.205,2675.972,2633.542,2858.339,2766.9,2751.089,2773.806,2727.339,3457.177,2592.533,2675.992,2937.162,2653.694,2694.07,2863.971,3050.762,3223.832,2636.276,2556.349,2630.196,2683.685,3076.559,2715.924,2666.637,2990.162,2961.918,3062.258,2907.482,2694.706,2869.556,2632.577,2794.782,2683.827
2018-01-01 11:00:00,1,1,11,2873.401,2969.647,2894.752,3140.498,2653.012,2601.245,2820.724,2736.239,2704.233,2741.627,2692.473,3454.794,2568.699,2659.853,2900.526,2622.931,2663.29,2825.844,3033.943,3161.091,2601.653,2524.416,2604.828,2644.739,3052.042,2680.543,2637.942,2952.093,2939.984,3019.255,2885.694,2642.301,2861.836,2606.817,2768.766,2670.168
