Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,57814,58726,74665,66085,63918,64523,69496,66229,65257,58129,64916,73541,56583,55167,60796,60340,65779,57950,66599,79297,65550,57498,57613,69140,70887,59577,61415,79138,70771,67432,62156,67296,65977,60195,65347,67658
2018-01-01 01:00:00,1,1,1,60465,60925,77264,68122,65913,66757,71754,68232,67246,59969,66979,76254,59128,57058,62682,62454,68200,60002,68861,82505,67963,59519,59611,71553,73516,61444,63518,81643,72809,69550,64234,69444,68260,62349,67323,69647
2018-01-01 02:00:00,1,1,2,59974,60155,76852,67177,64981,66052,71005,67309,66256,58927,66080,75932,58647,56008,61641,61642,67676,59089,68154,82644,67408,58601,58662,70926,73078,60424,62634,81058,71825,68654,63359,68624,67532,61472,66386,68624
2018-01-01 03:00:00,1,1,3,59871,59903,76666,66602,64516,65812,70574,66763,65628,58417,65600,75931,58666,55489,61042,61319,67520,58707,67798,82924,67227,58200,58210,70598,72905,59914,62227,80634,71129,68119,62912,68193,67187,61075,65876,67922
2018-01-01 04:00:00,1,1,4,58741,58740,75474,65083,63198,64652,69165,65310,64047,57086,64156,74852,57798,54072,59605,60133,66454,57407,66515,82007,66120,56939,56910,69309,71717,58553,60877,79184,69440,66631,61543,66820,65846,59688,64511,66282
2018-01-01 05:00:00,1,1,5,55487,55533,72481,61585,59907,61598,65899,61927,60502,53689,60752,71981,54906,50511,56222,56947,63503,54016,63282,79593,63127,53624,53583,66184,68721,55148,57469,76076,65891,63230,58144,63527,62574,56209,61219,62692
2018-01-01 06:00:00,1,1,6,55563,55677,72566,61063,59744,61780,65744,61685,60127,53526,60548,72208,55603,50271,56137,57128,63736,53850,63115,80306,63391,53679,53538,66200,68792,55005,57275,75900,65347,62976,57957,63354,62515,55946,61116,62116
2018-01-01 07:00:00,1,1,7,56761,56832,73935,61376,60428,63090,66729,62571,60890,54244,61468,73840,57632,51016,57182,58450,65077,54616,63892,82639,64816,54794,54378,67417,70068,55927,58176,77100,65844,63888,58850,64266,63618,56672,62176,62536
2018-01-01 08:00:00,1,1,8,57812,57862,75321,61675,60852,64135,67584,63717,61867,54788,62441,75389,59675,51844,58324,59775,66319,55386,64402,85086,66065,55935,55268,68581,71116,56770,59022,78238,66308,64881,59609,65107,64766,57340,63255,62840
2018-01-01 09:00:00,1,1,9,59253,58734,76778,62649,61617,65162,68558,65373,63315,55714,63702,76711,61517,53342,59776,61321,67860,56740,65413,87741,67500,57335,56660,70077,72500,58072,60194,79717,67394,66480,60977,66367,66226,58391,64607,63759
2018-01-01 10:00:00,1,1,10,61084,59182,78033,64358,63023,66032,69295,67404,65054,57397,65428,77810,62797,55609,61309,62869,69503,59009,67378,87785,68892,58613,58712,71713,73946,59843,61576,81304,69110,68438,62847,67949,67494,60219,65978,65493
2018-01-01 11:00:00,1,1,11,64809,61518,81236,68314,66571,68749,71909,71705,68881,61204,69290,81332,65939,59865,64938,66578,73239,63655,71856,91821,72527,61876,63023,75564,77633,63572,64793,85531,73100,72754,67028,71687,70793,64126,69211,69614
2018-01-01 12:00:00,1,1,12,69814,65928,85675,73265,71591,72884,76028,77037,73696,66324,74325,85676,70276,65305,69836,71464,77925,69267,77382,95837,77240,66541,68487,80275,82440,68599,69341,90614,78239,78104,72291,76497,75184,69241,73746,74729
2018-01-01 13:00:00,1,1,13,67514,63578,83323,70852,69669,70030,73451,75055,71324,64263,72111,83152,67874,63291,67571,69156,75439,67307,75517,93186,74833,64106,66439,77895,80208,66478,66594,88550,75957,76243,70282,74085,72522,67121,71297,72479
2018-01-01 14:00:00,1,1,14,64679,61366,80153,67776,67274,66931,70586,72565,68275,61785,69301,80205,65202,60807,64848,66558,72435,64770,72776,89693,71978,61320,63812,74780,77405,63825,63634,85607,73118,73684,67630,71149,69428,64377,68425,69621
2018-01-01 15:00:00,1,1,15,60698,57803,75760,63033,63532,62862,66701,68702,63627,57893,65323,76675,61248,56881,60863,62696,68490,60790,68768,85920,68010,57405,59781,70723,73366,60039,59585,81506,68929,69754,63636,67153,65206,60486,64460,65474
2018-01-01 16:00:00,1,1,16,59139,56180,73093,59940,61768,61450,65184,66915,60709,55658,63598,76288,59302,55019,59050,61258,67208,58802,66726,84975,66383,55578,57624,69136,71675,58257,57917,80045,66932,68085,61862,65641,63359,58664,62739,63364
2018-01-01 17:00:00,1,1,17,63558,60471,75842,62466,65818,66155,69581,70274,63343,59088,67909,81454,63042,58798,62950,65648,71863,62392,70197,90329,70333,59498,60926,73452,75582,62074,62343,84195,70547,71906,65703,69983,67392,62688,66939,66757
2018-01-01 18:00:00,1,1,18,66765,63566,77767,64060,68536,69284,72506,72572,65050,61467,70625,84863,65532,61228,65396,68525,74822,64635,72101,93933,72859,62245,63027,76448,78154,64381,65421,86872,72872,74378,68111,73023,70086,65383,69577,69052
2018-01-01 19:00:00,1,1,19,66267,63634,77531,64276,68809,69290,71714,72200,63811,61559,69665,84625,66070,60673,65079,68512,75530,65187,71879,93685,73020,62243,63363,76302,78099,64073,65148,85891,71496,73623,67611,72608,69128,64897,69249,67995
2018-01-01 20:00:00,1,1,20,64002,60958,75079,61819,66241,66420,69338,70137,62206,59198,67375,81573,63624,58537,63262,66276,72694,62601,69394,90731,70339,60203,61268,74018,75429,61511,62451,83575,69597,71431,65193,70172,66898,62277,66835,65934
2018-01-01 21:00:00,1,1,21,61414,58041,72003,59002,63325,63410,66580,67525,60008,56597,64793,78167,60754,56082,60882,63675,69506,59617,66570,87164,67397,57784,58521,71187,72187,58934,59746,80563,67246,68738,62535,67435,64251,59604,64280,63546
2018-01-01 22:00:00,1,1,22,63578,60338,73936,60975,65502,65602,68734,69540,61794,58534,66847,80463,62901,58022,62953,65872,71781,61735,68368,89272,69472,60001,60458,73469,74306,60693,61986,82641,69220,70807,64472,69667,66279,61751,66266,65563
2018-01-01 23:00:00,1,1,23,61919,58930,71873,59228,63827,63952,66971,67613,59786,56771,65056,78594,61230,56303,61170,64155,70048,60111,66224,86948,67566,58426,58626,71747,72412,58694,60505,80543,67299,68964,62595,67957,64453,60203,64358,63768
2018-01-02 00:00:00,1,2,0,56883,54057,66841,54052,58844,59001,62042,62556,54411,51509,60070,74111,56186,51054,56001,59136,65245,55072,60935,82345,62532,53376,53282,67049,67547,53286,55611,75802,62286,64064,57412,63128,59367,55286,59218,58726
