Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,4498.93,4406.92,4659.63,4212.18,3752.54,4609.29,4648.55,4367.07,4603.33,4304.42,4524.73,4705.22,4263.18,4231.58,4412.74,4013.14,4319.75,4580.1,4547.04,5034.48,4538.47,4613.08,4464.21,4641.73,4639.66,4164.41,4474.66,4763.71,4645.14,4749.36,4642.31,4549.2,4850.78,4491.89,4501.78,4529.83
2018-01-01 01:00:00,1,1,1,4832.05,4732.81,4978.91,4572.63,4190.19,4936.18,4965.3,4720.66,4896.07,4647.34,4844.5,5018.63,4610.01,4577.84,4734.75,4383.52,4649.77,4878.98,4866.18,5353.01,4873.81,4947.73,4779.25,4962.58,4961.62,4535.04,4796.29,5079.69,4974.36,5054.37,4949.83,4854.19,5171.08,4818.95,4827.82,4849.11
2018-01-01 02:00:00,1,1,2,4738.39,4640.43,4866.18,4510.95,4199.86,4832.65,4853.1,4663.79,4757.53,4573.01,4731.33,4900.47,4538.51,4503.44,4637.19,4343.71,4562.66,4747.83,4759.65,5240.57,4779.36,4852.15,4677.35,4853.36,4855.53,4487.26,4695.76,4960.69,4874.05,4934.58,4823.22,4736.37,5052.55,4725.73,4731.09,4742.69
2018-01-01 03:00:00,1,1,3,4726.65,4641.23,4835.17,4538.82,4273.8,4803.4,4821.55,4677.6,4723.61,4586.23,4718.34,4862.35,4549.58,4514.45,4631.64,4384.55,4563.75,4710.17,4743.14,5209.92,4768.15,4840.9,4667.49,4825.27,4835.16,4516.53,4681.87,4932.62,4859.14,4900.8,4784.76,4715.22,5014.52,4716.23,4721.98,4726.6
2018-01-01 04:00:00,1,1,4,4720.01,4666.34,4817.27,4598.59,4489.13,4790.98,4827.15,4708.34,4723.99,4623.49,4724.55,4851.15,4590.33,4567.02,4654.39,4516.63,4596.97,4694.34,4754.94,5190.14,4787.22,4854.5,4675.19,4828.63,4838.71,4577.31,4690.43,4921.18,4863.76,4885.32,4759.56,4705.77,5008.39,4730.89,4732.59,4737.93
2018-01-01 05:00:00,1,1,5,5106.12,5071.82,5215.08,4972.29,4734.91,5174.03,5237.18,5123.08,5134.47,5017.89,5151.03,5254.57,4948.07,4905.73,5039.35,4810.16,4961.49,5072.74,5164.14,5627.68,5207.28,5289.59,5067.28,5241.85,5258.33,4941.04,5084.33,5355.13,5294.31,5301.79,5148.74,5108.27,5436.99,5139.59,5139.67,5143.62
2018-01-01 06:00:00,1,1,6,5569.04,5550.26,5706.4,5457.88,5143.92,5623.21,5724.4,5607.58,5616.1,5490.52,5622.7,5738.8,5410.68,5358.85,5520.84,5251.12,5432.73,5531.88,5655.34,6103.89,5691.2,5772.48,5536.48,5727.92,5735.75,5419.59,5554.69,5840.91,5788.82,5779.66,5609.34,5577.41,5916.45,5626.28,5621.01,5628.76
2018-01-01 07:00:00,1,1,7,6016.13,5988.69,6186.07,5930.67,5575.1,6039.64,6178.84,6034.84,6057.33,5919.44,6033.26,6196.28,5869.17,5818.76,5987.39,5723.02,5893.23,5982.19,6117.56,6538.06,6127.18,6196.87,5975.71,6177.62,6169.99,5886.8,5996.7,6293.75,6249.16,6225.72,6047.44,6016.39,6358.63,6077.0,6062.62,6083.02
2018-01-01 08:00:00,1,1,8,6373.98,6312.27,6614.62,6294.9,5958.63,6352.96,6538.85,6344.35,6392.74,6202.88,6330.53,6548.07,6216.68,6174.09,6357.25,6091.98,6239.36,6363.51,6496.35,6888.25,6447.12,6514.59,6314.49,6540.66,6494.02,6228.91,6324.19,6677.67,6644.33,6606.9,6391.02,6342.51,6724.88,6419.92,6384.23,6438.59
2018-01-01 09:00:00,1,1,9,6604.67,6504.51,6894.18,6541.98,6212.26,6551.34,6757.31,6522.61,6593.81,6358.12,6506.28,6762.54,6430.81,6386.33,6593.22,6346.78,6455.21,6606.75,6732.04,7093.4,6638.1,6692.52,6527.61,6750.0,6692.96,6438.34,6532.77,6923.3,6922.89,6864.74,6595.85,6543.4,6955.18,6631.11,6577.32,6669.84
