Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,934.916,1075.377,1027.562,1088.758,904.997,958.521,935.4,932.86,947.76,1078.749,949.09,1099.828,952.784,955.431,1099.143,938.799,939.591,1024.553,966.676,1047.822,964.11,895.095,925.767,1090.545,1006.107,984.463,919.224,1040.5,1060.196,1075.968,1039.734,949.143,999.524,905.641,974.038,1089.604
2018-01-01 01:00:00,1,1,1,855.368,997.804,948.673,1010.93,827.867,880.559,856.188,853.877,869.152,1001.324,870.832,1024.042,874.311,876.877,1023.465,859.748,861.078,946.752,887.504,967.992,886.268,816.448,846.703,1013.617,927.742,904.741,840.16,960.966,983.12,997.804,959.072,871.127,920.191,826.255,896.17,1013.604
2018-01-01 02:00:00,1,1,2,805.135,952.892,900.993,965.601,777.285,832.757,805.928,803.523,819.779,956.344,821.875,979.587,825.543,827.881,980.299,809.152,811.477,900.456,838.239,919.667,838.091,764.522,796.336,968.463,880.451,855.879,789.054,912.896,936.877,951.723,910.303,821.405,872.363,774.141,848.879,969.779
2018-01-01 03:00:00,1,1,3,751.531,897.218,844.889,910.169,723.747,782.068,752.296,749.26,766.416,900.818,768.969,924.41,772.999,774.356,926.143,754.204,758.342,846.77,784.258,862.731,785.413,709.829,742.314,912.144,827.007,801.387,734.267,857.007,881.741,895.982,853.689,767.007,818.234,718.629,796.564,915.328
2018-01-01 04:00:00,1,1,4,700.666,847.643,790.411,864.114,685.566,735.194,701.311,697.12,714.612,853.232,717.379,880.102,722.431,721.813,885.489,700.841,707.464,795.167,731.728,810.106,733.608,670.277,691.652,867.903,775.404,747.849,683.577,803.926,832.422,848.14,800.245,714.356,764.589,667.939,744.88,871.718
2018-01-01 05:00:00,1,1,5,693.976,848.718,785.077,870.254,692.592,735.57,694.244,689.072,707.303,856.215,710.03,889.896,717.836,714.289,898.884,693.197,700.854,791.674,725.669,805.539,727.536,683.98,684.195,875.4,770.917,740.151,677.437,798.458,832.032,851.741,794.253,707.37,757.778,659.972,738.553,881.056
2018-01-01 06:00:00,1,1,6,785.319,951.333,883.138,973.957,808.118,835.364,784.956,779.22,799.52,959.327,800.971,992.968,813.035,806.036,1002.359,784.325,792.198,892.274,820.599,902.041,820.975,800.554,774.41,977.007,868.978,831.293,771.535,894.759,933.989,955.337,890.514,801.75,852.359,752.874,833.268,986.089
2018-01-01 07:00:00,1,1,7,939.994,1123.809,1052.471,1145.735,950.272,998.033,939.134,933.559,956.694,1132.596,957.809,1163.899,974.092,962.565,1171.624,940.37,946.792,1062.829,981.642,1069.358,981.4,951.333,926.398,1142.336,1034.965,989.018,926.438,1060.706,1106.411,1128.149,1058.476,960.214,1016.331,905.117,997.697,1158.512
2018-01-01 08:00:00,1,1,8,1123.474,1309.291,1244.145,1336.012,1094.145,1176.676,1120.101,1114.499,1141.785,1319.286,1144.257,1349.985,1164.235,1145.399,1354.714,1123.957,1128.834,1252.394,1167.903,1259.703,1164.033,1096.04,1106.788,1322.793,1222.031,1174.109,1104.007,1243.662,1297.952,1315.699,1249.224,1142.618,1198.01,1085.681,1182.533,1340.836
2018-01-01 09:00:00,1,1,9,1246.295,1425.918,1367.907,1457.96,1200.563,1286.599,1238.476,1231.207,1264.956,1433.133,1266.877,1459.519,1292.631,1264.795,1462.676,1243.957,1249.049,1375.524,1286.29,1381.449,1280.07,1203.814,1225.31,1434.382,1341.709,1295.507,1214.347,1355.009,1420.759,1434.167,1370.809,1260.012,1311.051,1205.977,1297.508,1446.904
