Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,274.04,281.312,274.414,274.259,267.655,277.663,298.211,266.981,291.221,266.169,277.088,284.754,278.131,276.855,272.581,270.198,272.201,268.405,282.604,320.302,282.184,279.55,271.474,281.857,268.971,265.171,284.969,268.901,282.306,279.276,298.594,278.2,291.164,272.334,288.561,280.044
2018-01-01 01:00:00,1,1,1,267.842,274.929,267.56,267.476,261.008,271.029,289.174,260.761,282.518,261.157,269.955,278.198,271.344,269.942,265.372,264.236,265.453,262.319,275.497,309.019,274.859,271.652,264.654,274.482,262.88,258.107,277.89,262.402,274.724,272.318,289.926,270.461,282.405,265.957,281.096,271.864
2018-01-01 02:00:00,1,1,2,268.672,275.627,267.817,267.805,260.556,271.484,288.159,260.901,281.732,262.028,269.968,278.806,271.627,270.14,265.179,264.785,265.743,263.326,275.75,305.583,273.93,270.846,265.173,274.569,263.836,257.473,278.232,262.068,274.224,272.599,288.033,269.733,280.698,266.093,281.165,270.809
2018-01-01 03:00:00,1,1,3,278.791,286.315,277.886,277.789,269.517,282.167,298.58,271.322,292.037,271.82,280.684,289.364,281.889,280.543,274.829,275.064,275.85,273.818,286.207,315.749,283.57,280.572,275.579,284.904,274.098,267.075,288.798,270.134,284.504,282.626,298.276,279.832,290.422,276.388,291.694,280.379
2018-01-01 04:00:00,1,1,4,306.318,314.708,304.798,304.94,294.299,310.011,327.196,296.637,320.491,298.018,308.55,317.792,309.564,308.29,300.943,301.485,302.669,301.55,314.329,344.448,311.093,307.774,302.455,313.208,300.17,292.687,317.334,292.178,312.425,310.375,326.87,307.208,318.663,303.069,320.541,308.095
2018-01-01 05:00:00,1,1,5,344.311,355.583,343.643,344.089,332.132,349.986,369.903,332.61,362.347,336.275,348.264,359.172,349.284,347.983,338.425,339.91,341.548,341.624,354.967,389.427,350.811,347.072,341.115,353.483,337.265,330.161,358.66,326.5,352.877,349.602,369.49,347.302,359.894,341.949,362.607,347.956
2018-01-01 06:00:00,1,1,6,355.446,368.601,355.352,355.462,340.424,362.352,384.246,342.627,376.189,346.389,360.259,372.832,361.149,360.147,348.66,350.802,352.737,353.569,368.094,404.974,362.25,358.543,352.298,365.831,347.271,340.138,372.106,333.888,365.142,360.857,383.256,359.863,372.746,353.256,375.873,359.975
2018-01-01 07:00:00,1,1,7,366.912,380.722,366.467,366.104,348.826,372.97,400.06,350.87,389.956,355.527,370.833,385.544,372.28,371.206,357.8,360.665,363.15,363.709,379.874,425.188,372.566,368.641,361.932,377.325,356.349,350.731,384.754,342.964,375.817,372.594,397.812,371.266,385.353,363.736,388.871,372.067
2018-01-01 08:00:00,1,1,8,378.683,395.176,382.061,375.702,357.307,382.617,420.109,359.891,405.807,365.042,380.065,396.868,385.931,383.044,369.979,371.066,375.068,373.89,391.321,444.309,383.9,377.402,369.925,386.772,366.873,368.472,396.224,356.031,386.596,384.338,410.301,382.918,397.204,377.005,401.48,382.978
2018-01-01 09:00:00,1,1,9,387.351,406.676,400.575,384.943,368.136,390.94,434.051,369.786,416.195,375.323,388.35,405.674,398.274,393.061,380.554,380.684,384.751,383.776,402.722,461.423,394.127,386.052,378.608,394.747,377.867,385.581,404.854,370.798,394.581,391.803,416.034,392.54,405.562,387.118,409.777,391.48
