Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,6776.746,7821.129,5840.241,7270.49,5531.279,5980.922,5151.816,5394.666,5838.04,5916.638,5773.062,7431.515,5357.622,5368.454,5813.375,5362.011,5263.99,5934.34,6796.088,6866.149,5841.789,5010.481,5343.815,5218.595,6553.918,5542.111,5241.152,7058.228,5562.334,6086.16,6138.091,5517.152,5491.566,5116.186,5401.39,5673.374
2018-01-01 01:00:00,1,1,1,6724.04,7768.45,5796.247,7222.16,5491.26,5892.72,5101.018,5348.724,5783.054,5865.88,5753.293,7361.081,5310.866,5341.588,5774.449,5320.537,5216.287,5927.883,6726.402,6789.072,5746.089,4968.007,5327.047,5196.544,6511.831,5487.551,5204.868,6999.173,5522.568,6029.959,6086.093,5458.751,5439.902,5065.815,5360.637,5631.634
2018-01-01 02:00:00,1,1,2,6720.052,7796.584,5757.214,7239.649,5475.412,5823.366,5068.416,5309.652,5746.716,5839.628,5744.515,7369.405,5281.265,5335.385,5745.676,5292.297,5185.699,5927.483,6695.507,6766.007,5661.008,4926.574,5333.824,5194.29,6509.497,5445.451,5195.077,7000.961,5511.469,5997.45,6046.434,5426.375,5417.371,5024.555,5347.51,5608.396
2018-01-01 03:00:00,1,1,3,6739.981,7855.906,5755.24,7281.763,5490.006,5793.725,5072.351,5300.594,5745.689,5857.303,5768.86,7405.195,5285.44,5356.621,5760.109,5293.818,5187.233,5959.592,6714.356,6787.604,5618.441,4898.534,5365.039,5211.258,6543.567,5451.761,5216.834,7034.937,5532.146,6004.24,6048.341,5425.041,5438.994,5029.45,5347.417,5623.75
2018-01-01 04:00:00,1,1,4,6774.371,8001.309,5791.804,7379.41,5551.902,5803.21,5093.721,5321.911,5789.123,5913.597,5825.461,7517.036,5337.172,5405.725,5816.883,5326.474,5219.876,6026.744,6773.104,6843.818,5633.208,4910.673,5399.976,5256.146,6612.934,5489.726,5274.475,7128.902,5584.638,6036.763,6073.874,5465.967,5470.276,5064.094,5362.131,5679.19
2018-01-01 05:00:00,1,1,5,6900.766,8250.016,5975.533,7587.897,5786.482,5962.874,5280.505,5502.692,5977.761,6116.721,6019.834,7757.352,5556.785,5612.491,6016.766,5513.524,5424.241,6249.345,6987.527,7044.355,5809.653,5099.671,5590.441,5471.624,6847.326,5682.765,5521.954,7362.882,5792.298,6222.892,6253.334,5675.895,5665.757,5272.061,5518.046,5870.723
2018-01-01 06:00:00,1,1,6,7207.38,8654.197,6356.877,7969.867,6193.718,6326.649,5632.768,5869.202,6374.805,6513.686,6399.617,8183.264,5949.641,5991.047,6401.818,5879.487,5799.502,6638.066,7395.844,7439.332,6198.667,5473.078,5967.396,5869.215,7290.754,6053.917,5926.95,7796.557,6188.809,6609.919,6634.811,6082.238,6023.69,5644.467,5863.746,6246.277
2018-01-01 07:00:00,1,1,7,7281.896,8737.144,6551.557,8093.781,6422.202,6506.122,5814.575,6065.843,6602.862,6724.067,6593.204,8335.137,6166.598,6186.701,6590.549,6071.593,6008.762,6830.732,7570.929,7591.152,6414.598,5712.806,6178.578,6097.045,7531.496,6240.447,6122.457,7985.422,6396.549,6822.675,6825.116,6299.169,6217.743,5860.918,6040.071,6441.117
2018-01-01 08:00:00,1,1,8,7180.06,8759.755,6584.84,8116.085,6490.688,6519.275,5863.506,6103.115,6674.35,6744.744,6625.046,8396.26,6225.8,6222.839,6599.22,6104.235,6053.877,6842.057,7592.459,7606.826,6464.969,5804.477,6233.911,6180.845,7621.486,6275.184,6126.539,8058.03,6434.581,6867.216,6833.76,6347.032,6249.118,5911.355,6069.498,6479.763
2018-01-01 09:00:00,1,1,9,7162.505,8754.459,6704.017,8159.452,6604.556,6601.275,5957.071,6206.151,6794.087,6827.41,6703.004,8403.73,6331.878,6300.143,6676.297,6195.799,6145.201,6900.352,7665.881,7664.187,6570.153,5888.771,6318.045,6285.376,7696.776,6369.75,6180.645,8098.863,6531.654,6984.486,6922.269,6423.069,6331.998,5999.024,6160.222,6585.214
