Date,Month,Day,Hour,WS01,WS02,WS03,WS05,WS04,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,12596.702,15841.197,11870.991,10834.524,13271.106,12511.16,10482.908,10893.895,11056.783,12558.172,11308.289,14802.708,10674.284,10410.725,11969.399,10585.852,10075.842,11792.525,11790.284,14754.619,13010.173,9787.289,10224.941,10635.424,12090.922,11037.238,10817.417,14133.029,11297.841,12094.91,12670.192,11388.349,10877.152,10201.606,11351.818,11551.083
2018-01-01 01:00:00,1,1,1,12532.947,15951.8,11763.169,10719.373,13160.36,12395.207,10396.036,10778.03,10956.893,12463.533,11195.226,14708.476,10566.67,10311.417,11815.091,10474.58,9938.487,11694.041,11633.713,14717.803,12811.106,9633.443,10105.55,10514.186,11986.263,10907.914,10689.621,14043.762,11187.678,11993.382,12396.855,11277.779,10784.194,10064.328,11243.402,11436.646
2018-01-01 02:00:00,1,1,2,12368.413,15950.373,11567.29,10479.855,12964.723,12206.778,10203.728,10552.817,10745.677,12262.875,10946.238,14451.291,10336.381,10094.159,11556.798,10241.16,9697.223,11487.922,11366.597,14525.946,12490.694,9388.3,9882.699,10274.526,11777.783,10658.322,10446.588,13842.555,10963.311,11789.835,12055.052,11044.963,10575.307,9819.723,11002.028,11216.97
2018-01-01 03:00:00,1,1,3,12293.059,16252.234,11456.79,10349.129,12839.919,12089.103,10098.589,10440.922,10637.78,12172.107,10824.059,14388.473,10220.058,9978.495,11433.432,10133.659,9547.742,11385.838,11250.175,14482.848,12210.527,9189.039,9747.786,10148.403,11690.717,10528.178,10308.225,13786.285,10848.46,11709.713,11876.018,10911.402,10478.98,9662.299,10873.993,11103.229
2018-01-01 04:00:00,1,1,4,12442.845,16988.3,11624.374,10480.655,12978.224,12199.458,10278.611,10595.201,10783.644,12349.536,10994.774,14692.951,10366.218,10154.813,11615.101,10280.962,9727.093,11541.777,11469.386,14704.915,12048.392,9373.29,9913.437,10272.909,11878.704,10660.176,10432.27,14024.173,11005.948,11907.225,11963.949,11027.185,10667.922,9801.725,11006.442,11252.586
2018-01-01 05:00:00,1,1,5,13077.867,18462.645,12263.395,11107.283,13590.876,12785.776,10903.777,11232.223,11395.165,12964.836,11644.77,15392.057,11016.797,10794.262,12281.918,10913.863,10344.821,12144.882,12230.083,15291.848,12352.474,9925.824,10532.605,10859.501,12552.607,11287.881,11034.518,14700.713,11626.895,12553.178,12573.558,11616.919,11341.463,10344.305,11597.132,11843.65
2018-01-01 06:00:00,1,1,6,13913.455,19135.224,13105.443,11919.425,14408.864,13539.074,11688.97,12035.543,12201.606,13764.388,12516.241,16209.232,11827.973,11591.496,13114.793,11702.055,11100.746,12937.381,13114.408,15911.615,12978.921,10730.013,11289.232,11611.085,13412.464,12080.434,11813.58,15553.55,12440.631,13382.009,13402.972,12417.405,12172.359,11065.423,12361.538,12652.069
2018-01-01 07:00:00,1,1,7,14277.321,18788.464,13486.646,12278.534,14801.185,13825.792,12066.569,12378.721,12579.194,14075.354,12940.171,16478.778,12192.948,11970.425,13466.079,12052.012,11471.676,13303.873,13488.778,16102.145,13088.59,11162.49,11665.337,11937.982,13835.68,12426.096,12170.305,15902.76,12781.876,13751.545,13739.547,12764.605,12546.443,11401.537,12653.574,13002.531
2018-01-01 08:00:00,1,1,8,14543.269,18241.995,13739.147,12494.702,15098.358,13982.918,12320.795,12563.566,12823.576,14249.838,13220.336,16589.155,12405.469,12216.872,13652.078,12245.075,11706.027,13543.453,13664.273,16147.91,13052.251,11417.913,11916.728,12133.967,14153.211,12626.289,12390.032,16071.509,12965.007,13985.467,13980.468,12969.896,12759.249,11621.067,12784.43,13196.814
2018-01-01 09:00:00,1,1,9,14806.761,18161.188,14051.738,12799.306,15397.018,14222.251,12703.92,12843.637,13145.506,14515.011,13509.944,16813.305,12753.217,12555.216,13945.058,12535.869,12038.768,13862.329,13949.804,16274.641,13197.11,11665.684,12244.218,12410.16,14492.357,12918.226,12641.681,16274.96,13277.071,14293.103,14287.259,13196.319,13079.345,11940.569,13034.607,13534.729
2018-01-01 10:00:00,1,1,10,14777.614,17773.009,14053.859,12930.476,15385.823,14129.524,12915.457,12930.157,13214.348,14524.262,13467.249,16719.16,12913.38,12732.639,13981.105,12658.622,12238.373,13904.177,14040.993,16138.264,13224.994,11777.692,12430.134,12508.084,14538.182,13021.346,12711.281,16211.853,13380.785,14326.701,14350.728,13206.218,13193.243,12097.425,13118.105,13665.756
2018-01-01 11:00:00,1,1,11,14811.829,17509.772,14056.531,13009.033,15386.496,14037.953,13090.993,13005.276,13251.772,14569.475,13413.528,16628.93,13073.887,12878.171,14051.741,12743.398,12394.1,13983.492,14167.881,16022.38,13259.188,11849.504,12608.406,12563.833,14630.429,13109.989,12762.987,16158.527,13487.743,14398.051,14457.972,13214.791,13292.268,12214.865,13202.705,13809.794
2018-01-01 12:00:00,1,1,12,14776.804,17304.894,14051.928,13023.788,15361.227,13909.486,13137.082,13038.356,13266.428,14483.384,13417.813,16521.997,13156.419,12973.151,14074.835,12775.424,12468.161,14014.013,14238.942,15871.116,13258.77,11962.831,12765.69,12580.5,14689.68,13148.508,12773.623,16091.2,13529.909,14419.387,14494.678,13194.905,13318.032,12298.989,13216.834,13876.515
2018-01-01 13:00:00,1,1,13,14769.608,17188.435,14146.391,13049.53,15435.826,13851.993,13151.618,13121.965,13357.221,14377.088,13580.272,16500.738,13246.234,13080.051,14149.303,12851.034,12559.427,14103.082,14342.107,15832.3,13350.728,12141.221,12951.947,12639.399,14812.862,13224.261,12846.211,16103.187,13608.672,14503.391,14568.552,13245.323,13391.522,12403.472,13273.58,13991.073
