Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,3249.026,3242.052,3326.567,3122.519,2783.88,3291.115,3294.378,3206.938,3263.169,3058.303,3113.162,3333.949,3073.652,2904.952,3215.77,2904.975,3049.768,3228.917,3287.52,3483.916,3217.1,3281.1,3239.463,3286.441,3308.617,2947.335,3163.565,3404.48,3348.707,3375.332,3301.929,3209.031,3420.505,3193.426,3182.589,3141.485
2018-01-01 01:00:00,1,1,1,3120.82,3120.788,3209.669,2997.652,2651.063,3165.571,3181.91,3091.821,3136.539,2933.69,2984.081,3216.334,2948.974,2772.699,3091.09,2778.791,2923.701,3099.728,3168.763,3358.116,3095.401,3163.216,3109.728,3172.234,3187.156,2821.608,3038.157,3288.15,3234.494,3252.778,3176.75,3075.426,3297.168,3069.521,3058.942,3015.171
2018-01-01 02:00:00,1,1,2,3108.528,3120.805,3206.65,2998.29,2631.879,3152.051,3187.494,3102.321,3130.015,2937.142,2988.855,3212.79,2951.068,2761.42,3089.161,2775.208,2924.832,3092.822,3166.859,3368.759,3097.655,3163.795,3100.459,3174.725,3180.324,2820.153,3038.618,3293.474,3235.87,3246.338,3165.738,3073.026,3297.934,3070.478,3060.588,3016.647
2018-01-01 03:00:00,1,1,3,3136.91,3157.401,3257.861,3032.651,2684.36,3180.326,3245.984,3148.368,3163.948,2979.802,3031.951,3269.508,2988.054,2804.146,3122.123,2825.115,2962.054,3122.282,3208.581,3419.297,3132.587,3210.491,3126.83,3224.806,3222.99,2866.444,3071.616,3356.134,3297.453,3303.323,3200.749,3114.164,3353.045,3104.667,3095.451,3051.704
2018-01-01 04:00:00,1,1,4,3301.127,3330.17,3438.256,3179.518,2856.603,3336.769,3408.983,3318.784,3334.413,3142.007,3196.608,3449.797,3133.934,2974.524,3277.528,2969.705,3116.263,3280.6,3379.101,3609.457,3295.244,3397.259,3284.224,3389.494,3399.976,3031.169,3228.34,3547.548,3488.847,3484.805,3367.471,3280.044,3531.184,3267.78,3256.711,3208.97
2018-01-01 05:00:00,1,1,5,3650.109,3683.846,3800.327,3516.985,3239.371,3680.041,3776.093,3678.659,3688.225,3491.331,3541.092,3819.589,3468.339,3332.756,3620.099,3325.443,3455.484,3617.242,3735.237,4011.782,3641.771,3758.641,3620.485,3750.097,3757.427,3387.409,3565.871,3932.999,3859.629,3856.122,3718.384,3621.875,3922.989,3613.045,3599.153,3548.699
2018-01-01 06:00:00,1,1,6,4019.893,4051.587,4140.218,3904.014,3595.202,4034.093,4133.812,4054.558,4056.013,3875.267,3918.891,4159.947,3850.143,3693.144,3996.106,3704.791,3836.737,3984.18,4098.614,4300.405,4019.922,4107.262,3983.333,4113.434,4107.349,3765.753,3943.025,4241.483,4191.751,4175.327,4068.261,3990.276,4226.915,3992.446,3978.054,3932.614
2018-01-01 07:00:00,1,1,7,4116.547,4145.559,4272.683,4015.992,3688.517,4129.621,4262.935,4140.3,4155.936,3950.559,3994.153,4290.285,3938.083,3779.324,4093.907,3805.402,3932.86,4074.361,4219.424,4431.09,4117.272,4207.619,4065.131,4230.648,4207.979,3853.708,4028.824,4386.553,4335.871,4321.737,4168.271,4069.634,4360.352,4082.0,4067.533,4034.082
2018-01-01 08:00:00,1,1,8,4273.585,4268.857,4425.595,4226.957,3847.068,4291.32,4401.944,4231.378,4288.599,4060.242,4114.166,4403.624,4104.205,3920.101,4257.655,3985.396,4099.583,4244.665,4384.497,4541.235,4253.461,4324.81,4212.057,4365.048,4318.673,3980.058,4165.667,4508.81,4485.007,4476.891,4306.162,4203.078,4454.483,4205.125,4192.614,4204.732
2018-01-01 09:00:00,1,1,9,4314.194,4269.333,4470.391,4298.626,3897.458,4317.028,4418.549,4213.15,4299.402,4065.73,4141.494,4428.885,4137.715,3955.855,4291.597,4044.75,4146.745,4281.257,4410.263,4580.2,4277.042,4331.928,4245.053,4379.827,4341.503,4017.932,4198.425,4537.555,4525.595,4525.293,4323.924,4221.073,4479.626,4222.388,4204.354,4247.228
2018-01-01 10:00:00,1,1,10,4293.76,4211.366,4433.369,4305.028,3894.733,4270.277,4355.416,4159.16,4243.12,4017.608,4116.259,4380.72,4111.407,3938.854,4257.719,4054.084,4137.355,4256.563,4351.162,4527.669,4234.58,4269.48,4228.281,4319.01,4306.984,3991.69,4166.435,4480.347,4490.044,4498.814,4272.498,4181.699,4421.933,4187.116,4163.113,4222.277
2018-01-01 11:00:00,1,1,11,4427.698,4335.555,4542.566,4449.891,4033.855,4384.572,4457.68,4278.286,4363.953,4138.282,4266.39,4494.873,4240.609,4090.689,4388.558,4200.835,4273.182,4391.323,4461.81,4653.586,4359.033,4382.595,4376.674,4421.825,4435.173,4132.773,4308.354,4583.909,4596.474,4602.916,4396.401,4321.691,4528.757,4320.641,4294.339,4356.976
2018-01-01 12:00:00,1,1,12,4407.239,4309.781,4538.903,4440.085,4020.871,4351.405,4429.853,4248.095,4333.568,4107.398,4249.268,4492.183,4219.303,4068.729,4378.628,4190.001,4248.5,4374.636,4450.277,4651.996,4326.716,4347.176,4353.161,4396.041,4418.783,4100.754,4290.568,4568.779,4598.802,4601.536,4374.397,4296.572,4522.397,4290.589,4267.717,4334.896
2018-01-01 13:00:00,1,1,13,4356.389,4267.72,4493.353,4389.17,3973.967,4290.695,4378.612,4205.566,4288.471,4072.724,4213.784,4454.047,4170.616,4025.26,4337.015,4137.715,4191.731,4323.521,4400.846,4612.705,4279.107,4283.286,4284.048,4338.017,4370.62,4050.992,4245.179,4514.325,4553.064,4542.37,4320.921,4250.613,4473.379,4242.615,4224.307,4285.181
2018-01-01 14:00:00,1,1,14,4405.683,4322.143,4557.369,4430.154,4036.725,4334.469,4446.571,4252.811,4351.73,4141.578,4280.261,4545.886,4226.455,4074.035,4398.318,4182.25,4236.223,4367.373,4463.026,4704.276,4331.892,4324.548,4311.001,4398.245,4427.734,4103.955,4301.261,4590.564,4638.545,4610.908,4366.853,4288.599,4551.491,4286.495,4263.737,4329.654
2018-01-01 15:00:00,1,1,15,4551.767,4498.653,4692.809,4543.949,4177.008,4517.442,4643.209,4421.444,4532.146,4330.05,4417.678,4712.523,4356.065,4255.133,4514.552,4297.907,4359.712,4506.69,4640.629,4896.498,4505.229,4466.438,4442.723,4581.311,4594.149,4275.483,4421.159,4802.081,4807.198,4760.797,4534.682,4447.186,4749.328,4459.446,4433.088,4456.49
2018-01-01 16:00:00,1,1,16,4782.327,4756.321,4866.125,4742.394,4389.175,4779.082,4878.451,4686.56,4786.284,4615.805,4630.863,4902.854,4561.69,4503.868,4709.476,4477.472,4558.795,4723.455,4860.109,5061.372,4757.818,4686.693,4660.244,4822.041,4812.82,4522.892,4625.835,4984.895,4956.777,4914.217,4758.835,4700.43,4952.468,4701.043,4701.657,4679.579
2018-01-01 17:00:00,1,1,17,4786.111,4744.127,4858.675,4737.311,4376.513,4784.243,4860.608,4667.025,4774.596,4599.692,4606.642,4880.192,4544.851,4496.238,4699.016,4452.258,4536.529,4717.053,4849.226,5036.943,4759.607,4685.273,4661.424,4811.498,4802.239,4502.733,4610.657,4947.48,4920.907,4881.721,4758.383,4691.956,4920.76,4690.256,4693.881,4668.217
2018-01-01 18:00:00,1,1,18,4759.33,4696.184,4795.848,4707.152,4344.033,4748.58,4805.93,4621.276,4726.398,4559.866,4558.235,4816.471,4511.124,4461.162,4667.287,4417.851,4495.004,4676.248,4797.129,4954.071,4728.622,4644.728,4625.85,4775.639,4751.479,4470.211,4576.458,4862.022,4843.765,4807.972,4713.157,4648.112,4838.156,4650.037,4666.597,4629.665
2018-01-01 19:00:00,1,1,19,4621.173,4542.89,4640.307,4561.715,4181.706,4606.74,4660.168,4480.372,4568.475,4417.697,4415.986,4668.869,4381.715,4316.744,4526.0,4276.672,4359.364,4526.439,4643.978,4780.938,4584.44,4506.901,4485.847,4638.501,4597.053,4333.796,4443.765,4702.834,4690.487,4653.95,4561.165,4498.935,4680.917,4505.431,4527.727,4486.208
