WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,13674.0,16345.0,13655.0,15058.0,13141.0,11971.0,12747.0,15509.0,13920.0,15886.0,14861.0,12179.0,14481.0,16212.0,13745.0,21836.0,13637.0,13380.0,17030.0,16348.0,18843.0,14987.0,15706.0,14844.0,14524.0,15016.0,13850.0,11164.0,13585.0,14878.0,14296.0,14299.0,15890.0,14302.0,14965.0,15429.0
2,13714.0,16653.0,13868.0,15052.0,13401.0,11625.0,11687.0,15988.0,13949.0,15072.0,14616.0,12279.0,13811.0,16633.0,13083.0,18750.0,13206.0,13340.0,17335.0,16731.0,17338.0,14278.0,13608.0,13798.0,13726.0,13921.0,13568.0,11360.0,13799.0,14809.0,15171.0,13924.0,14465.0,14115.0,14741.0,15046.0
3,14213.0,16247.0,13319.0,14583.0,14185.0,11643.0,11301.0,15091.0,14367.0,14331.0,14450.0,12436.0,13157.0,16407.0,12019.0,16327.0,13396.0,13615.0,17259.0,16523.0,15596.0,14545.0,13887.0,13589.0,13550.0,12370.0,13421.0,12080.0,14099.0,15083.0,16003.0,13542.0,13062.0,14508.0,14472.0,13683.0
4,14414.0,14616.0,11733.0,14044.0,14505.0,12834.0,10909.0,14291.0,15270.0,14115.0,14376.0,13175.0,12241.0,15693.0,10862.0,15319.0,12516.0,13948.0,17036.0,17316.0,15519.0,15011.0,13715.0,14098.0,13574.0,10909.0,13486.0,12169.0,14027.0,16353.0,15401.0,13316.0,12343.0,12730.0,14148.0,13959.0
5,14995.0,13699.0,10149.0,13172.0,14989.0,14334.0,11392.0,14061.0,14947.0,14571.0,14068.0,15847.0,13716.0,15314.0,10075.0,14566.0,11468.0,14818.0,16616.0,17762.0,17389.0,18923.0,15758.0,16169.0,13603.0,11281.0,13550.0,12519.0,14226.0,17093.0,14802.0,13093.0,12398.0,12184.0,13124.0,14017.0
6,15340.0,13323.0,10997.0,13862.0,14423.0,13572.0,12441.0,15318.0,14401.0,14274.0,13951.0,20597.0,15509.0,14897.0,14221.0,17275.0,11380.0,16917.0,16049.0,16914.0,16548.0,18952.0,16435.0,20957.0,14365.0,11688.0,13661.0,13373.0,16185.0,17259.0,14729.0,12908.0,12749.0,13213.0,12714.0,13839.0
7,15785.0,12840.0,14317.0,17754.0,13650.0,14434.0,12915.0,20057.0,14743.0,13886.0,13052.0,22094.0,15783.0,15889.0,15878.0,20777.0,11076.0,19595.0,16885.0,18313.0,14945.0,15918.0,14057.0,19964.0,14353.0,12348.0,13587.0,13438.0,13808.0,16461.0,14414.0,12784.0,13141.0,15292.0,12712.0,14344.0
8,15207.0,13276.0,17483.0,22258.0,13239.0,14915.0,13423.0,23357.0,15869.0,13539.0,14912.0,22011.0,17851.0,20969.0,14765.0,20149.0,10106.0,22219.0,16511.0,20691.0,15205.0,14258.0,14030.0,23464.0,13460.0,14208.0,14674.0,17238.0,13153.0,15297.0,14565.0,12902.0,13640.0,13671.0,12046.0,14635.0
9,15281.0,14801.0,18350.0,27610.0,12807.0,16914.0,13858.0,21478.0,17195.0,13103.0,22709.0,23364.0,17699.0,25929.0,16362.0,17523.0,10923.0,25828.0,14891.0,20930.0,15523.0,13881.0,17908.0,25969.0,14748.0,15962.0,17039.0,19536.0,12508.0,14577.0,16095.0,13324.0,13666.0,14519.0,10286.0,14194.0
10,16835.0,15201.0,17886.0,27415.0,12650.0,14122.0,15035.0,21655.0,17980.0,15632.0,22752.0,22333.0,13713.0,27964.0,19857.0,20446.0,13238.0,23915.0,15615.0,20785.0,17571.0,14781.0,18319.0,28325.0,18937.0,17739.0,16681.0,18119.0,12616.0,15545.0,17255.0,13784.0,15165.0,19524.0,11053.0,14242.0
11,19564.0,15465.0,15446.0,21494.0,14571.0,15271.0,16642.0,22672.0,23113.0,14872.0,16399.0,22869.0,14266.0,28049.0,20990.0,23806.0,15795.0,25136.0,16953.0,20865.0,23562.0,18500.0,23293.0,33269.0,20595.0,20073.0,20969.0,18349.0,13477.0,15579.0,17928.0,14319.0,18335.0,21523.0,16499.0,16205.0
