DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,8862.0,10753.0,11663.0,11311.0,13373.0,8023.0,10172.0,10299.0,12345.0,14315.0,10844.0,7234.0,9201.0,13889.0,7976.0,14410.0,9136.0,9916.0,10440.0,11101.0,11526.0,10949.0,11117.0,10269.0,10439.0,10183.0,11190.0,7596.0,9346.0,12432.0,11986.0,9319.0,9674.0,10912.0,11321.0,11841.0
2,8862.0,10753.0,11663.0,11311.0,13373.0,8023.0,10172.0,10299.0,12345.0,13813.0,10844.0,7234.0,9201.0,13889.0,7976.0,14410.0,9136.0,9916.0,10440.0,11101.0,11526.0,10439.0,11117.0,10269.0,10439.0,10183.0,11190.0,7596.0,9346.0,12432.0,11986.0,9319.0,9674.0,9375.0,11321.0,11841.0
3,8862.0,10753.0,11663.0,11168.0,13373.0,8023.0,10172.0,10299.0,12266.0,13813.0,10844.0,7234.0,9201.0,13889.0,7976.0,13731.0,9136.0,9916.0,10440.0,11101.0,11445.0,10439.0,11117.0,10269.0,10439.0,10183.0,11190.0,7221.0,9346.0,12432.0,11986.0,9319.0,9384.0,9375.0,11321.0,11841.0
4,8862.0,10753.0,10743.0,11168.0,13373.0,8023.0,10172.0,10299.0,12266.0,13813.0,10844.0,7234.0,9201.0,13889.0,7830.0,13731.0,9136.0,9916.0,10440.0,11101.0,11445.0,10439.0,11117.0,10269.0,10439.0,10183.0,9951.0,7221.0,9346.0,12432.0,11986.0,9319.0,9384.0,9375.0,11321.0,11841.0
5,8862.0,11025.0,10743.0,11168.0,13373.0,8023.0,10172.0,12369.0,12266.0,13813.0,10844.0,7234.0,9201.0,14314.0,7830.0,13731.0,9136.0,9916.0,10440.0,10614.0,11445.0,10439.0,11117.0,10269.0,10439.0,8405.0,9951.0,7221.0,9346.0,12432.0,11986.0,9008.0,9384.0,9375.0,11321.0,11841.0
6,8615.0,11025.0,10743.0,11168.0,13373.0,8023.0,8907.0,12369.0,12266.0,13813.0,10844.0,7234.0,8218.0,14314.0,7830.0,13731.0,9136.0,9916.0,10273.0,10614.0,11445.0,10439.0,11117.0,10269.0,9558.0,8405.0,9951.0,7221.0,9346.0,12432.0,12445.0,9008.0,9384.0,9375.0,11321.0,11841.0
7,8615.0,11025.0,10743.0,11168.0,13373.0,7730.0,8907.0,12369.0,12266.0,13813.0,10844.0,7442.0,8218.0,14314.0,7830.0,13731.0,9136.0,9456.0,10273.0,10614.0,11445.0,10439.0,11117.0,10049.0,9558.0,8405.0,9951.0,7221.0,9346.0,12970.0,12445.0,9008.0,9384.0,9375.0,11321.0,12721.0
8,8615.0,11025.0,10743.0,11168.0,13356.0,7730.0,8907.0,12369.0,12266.0,13813.0,10451.0,7442.0,8218.0,14314.0,7830.0,13731.0,8414.0,9456.0,10273.0,10614.0,11445.0,10439.0,9985.0,10049.0,9558.0,8405.0,9951.0,7221.0,8800.0,12970.0,12445.0,9008.0,9384.0,9375.0,11294.0,12721.0
9,8615.0,11025.0,10743.0,11168.0,13356.0,7730.0,8907.0,12369.0,12266.0,13386.0,10451.0,7442.0,8218.0,14314.0,7830.0,13731.0,8414.0,9456.0,10273.0,10614.0,11445.0,10275.0,9985.0,10049.0,9558.0,8405.0,9951.0,7221.0,8800.0,12970.0,12445.0,9008.0,9384.0,8747.0,11294.0,12721.0
10,8615.0,11025.0,10743.0,11252.0,13356.0,7730.0,8907.0,12369.0,14137.0,13386.0,10451.0,7442.0,8218.0,14314.0,7830.0,11545.0,8414.0,9456.0,10273.0,10614.0,9534.0,10275.0,9985.0,10049.0,9558.0,8405.0,9951.0,7269.0,8800.0,12970.0,12445.0,9008.0,9063.0,8747.0,11294.0,12721.0
11,8615.0,11025.0,10073.0,11252.0,13356.0,7730.0,8907.0,12369.0,14137.0,13386.0,10451.0,7442.0,8218.0,14314.0,7709.0,11545.0,8414.0,9456.0,10273.0,10614.0,9534.0,10275.0,9985.0,10049.0,9558.0,8405.0,8377.0,7269.0,8800.0,12970.0,12445.0,9008.0,9063.0,8747.0,11294.0,12721.0
12,8615.0,10222.0,10073.0,11252.0,13356.0,7730.0,8907.0,11575.0,14137.0,13386.0,10451.0,7442.0,8218.0,11916.0,7709.0,11545.0,8414.0,9456.0,10273.0,11035.0,9534.0,10275.0,9985.0,10049.0,9558.0,7572.0,8377.0,7269.0,8800.0,12970.0,12445.0,8853.0,9063.0,8747.0,11294.0,12721.0
13,10082.0,10222.0,10073.0,11252.0,13356.0,7730.0,7900.0,11575.0,14137.0,13386.0,10451.0,7442.0,7666.0,11916.0,7709.0,11545.0,8414.0,9456.0,9869.0,11035.0,9534.0,10275.0,9985.0,10049.0,9336.0,7572.0,8377.0,7269.0,8800.0,12970.0,11500.0,8853.0,9063.0,8747.0,11294.0,12721.0
14,10082.0,10222.0,10073.0,11252.0,13356.0,7432.0,7900.0,11575.0,14137.0,13386.0,10451.0,7549.0,7666.0,11916.0,7709.0,11545.0,8414.0,9137.0,9869.0,11035.0,9534.0,10275.0,9985.0,8784.0,9336.0,7572.0,8377.0,7269.0,8800.0,13781.0,11500.0,8853.0,9063.0,8747.0,11294.0,12036.0
15,10082.0,10222.0,10073.0,11252.0,12036.0,7432.0,7900.0,11575.0,14137.0,13386.0,9409.0,7549.0,7666.0,11916.0,7709.0,11545.0,8248.0,9137.0,9869.0,11035.0,9534.0,10275.0,9646.0,8784.0,9336.0,7572.0,8377.0,7269.0,11023.0,13781.0,11500.0,8853.0,9063.0,8747.0,11564.0,12036.0
16,10082.0,10222.0,10073.0,11252.0,12036.0,7432.0,7900.0,11575.0,14137.0,13594.0,9409.0,7549.0,7666.0,11916.0,7709.0,11545.0,8248.0,9137.0,9869.0,11035.0,9534.0,9986.0,9646.0,8784.0,9336.0,7572.0,8377.0,7269.0,11023.0,13781.0,11500.0,8853.0,9063.0,8599.0,11564.0,12036.0
17,10082.0,10222.0,10073.0,10271.0,12036.0,7432.0,7900.0,11575.0,14501.0,13594.0,9409.0,7549.0,7666.0,11916.0,7709.0,10911.0,8248.0,9137.0,9869.0,11035.0,9624.0,9986.0,9646.0,8784.0,9336.0,7572.0,8377.0,7970.0,11023.0,13781.0,11500.0,8853.0,8110.0,8599.0,11564.0,12036.0
18,10082.0,10222.0,8685.0,10271.0,12036.0,7432.0,7900.0,11575.0,14501.0,13594.0,9409.0,7549.0,7666.0,11916.0,7552.0,10911.0,8248.0,9137.0,9869.0,11035.0,9624.0,9986.0,9646.0,8784.0,9336.0,7572.0,8522.0,7970.0,11023.0,13781.0,11500.0,8853.0,8110.0,8599.0,11564.0,12036.0
19,10082.0,9667.0,8685.0,10271.0,12036.0,7432.0,7900.0,11255.0,14501.0,13594.0,9409.0,7549.0,7666.0,10894.0,7552.0,10911.0,8248.0,9137.0,9869.0,11392.0,9624.0,9986.0,9646.0,8784.0,9336.0,7398.0,8522.0,7970.0,11023.0,13781.0,11500.0,8491.0,8110.0,8599.0,11564.0,12036.0
20,9152.0,9667.0,8685.0,10271.0,12036.0,7432.0,7687.0,11255.0,14501.0,13594.0,9409.0,7549.0,7634.0,10894.0,7552.0,10911.0,8248.0,9137.0,9967.0,11392.0,9624.0,9986.0,9646.0,8784.0,8703.0,7398.0,8522.0,7970.0,11023.0,13781.0,11259.0,8491.0,8110.0,8599.0,11564.0,12036.0
21,9152.0,9667.0,8685.0,10271.0,12036.0,7352.0,7687.0,11255.0,14501.0,13594.0,9409.0,8578.0,7634.0,10894.0,7552.0,10911.0,8248.0,8991.0,9967.0,11392.0,9624.0,9986.0,9646.0,9894.0,8703.0,7398.0,8522.0,7970.0,11023.0,13005.0,11259.0,8491.0,8110.0,8599.0,11564.0,11307.0
22,9152.0,9667.0,8685.0,10271.0,11680.0,7352.0,7687.0,11255.0,14501.0,13594.0,9844.0,8578.0,7634.0,10894.0,7552.0,10911.0,7890.0,8991.0,9967.0,11392.0,9624.0,9986.0,10216.0,9894.0,8703.0,7398.0,8522.0,7970.0,9773.0,13005.0,11259.0,8491.0,8110.0,8599.0,10588.0,11307.0
23,9152.0,9667.0,8685.0,10271.0,11680.0,7352.0,7687.0,11255.0,14501.0,12962.0,9844.0,8578.0,7634.0,10894.0,7552.0,10911.0,7890.0,8991.0,9967.0,11392.0,9624.0,10074.0,10216.0,9894.0,8703.0,7398.0,8522.0,7970.0,9773.0,13005.0,11259.0,8491.0,8110.0,8416.0,10588.0,11307.0
24,9152.0,9667.0,8685.0,8510.0,11680.0,7352.0,7687.0,11255.0,12612.0,12962.0,9844.0,8578.0,7634.0,10894.0,7552.0,10670.0,7890.0,8991.0,9967.0,11392.0,11330.0,10074.0,10216.0,9894.0,8703.0,7398.0,8522.0,7188.0,9773.0,13005.0,11259.0,8491.0,7898.0,8416.0,10588.0,11307.0
25,9152.0,9667.0,7780.0,8510.0,11680.0,7352.0,7687.0,11255.0,12612.0,12962.0,9844.0,8578.0,7634.0,10894.0,7343.0,10670.0,7890.0,8991.0,9967.0,11392.0,11330.0,10074.0,10216.0,9894.0,8703.0,7398.0,8268.0,7188.0,9773.0,13005.0,11259.0,8491.0,7898.0,8416.0,10588.0,11307.0
26,9152.0,9655.0,7780.0,8510.0,11680.0,7352.0,7687.0,11071.0,12612.0,12962.0,9844.0,8578.0,7634.0,11398.0,7343.0,10670.0,7890.0,8991.0,9967.0,12681.0,11330.0,10074.0,10216.0,9894.0,8703.0,7299.0,8268.0,7188.0,9773.0,13005.0,11259.0,7777.0,7898.0,8416.0,10588.0,11307.0
27,10553.0,9655.0,7780.0,8510.0,11680.0,7352.0,7443.0,11071.0,12612.0,12962.0,9844.0,8578.0,7780.0,11398.0,7343.0,10670.0,7890.0,8991.0,9287.0,12681.0,11330.0,10074.0,10216.0,9894.0,8434.0,7299.0,8268.0,7188.0,9773.0,13005.0,11885.0,7777.0,7898.0,8416.0,10588.0,11307.0
28,10553.0,9655.0,7780.0,8510.0,11680.0,9117.0,7443.0,11071.0,12612.0,12962.0,9844.0,10768.0,7780.0,11398.0,7343.0,10670.0,7890.0,9325.0,9287.0,12681.0,11330.0,10074.0,10216.0,11014.0,8434.0,7299.0,8268.0,7188.0,9773.0,14102.0,11885.0,7777.0,7898.0,8416.0,10588.0,11746.0
29,10553.0,9655.0,7780.0,8510.0,12099.0,9117.0,7443.0,11071.0,12612.0,12962.0,9127.0,10768.0,7780.0,11398.0,7343.0,10670.0,7572.0,9325.0,9287.0,12681.0,11330.0,10074.0,10815.0,11014.0,8434.0,7299.0,8268.0,7188.0,10532.0,14102.0,11885.0,7777.0,7898.0,8416.0,9025.0,11746.0
30,10553.0,9655.0,7780.0,8510.0,12099.0,9117.0,7443.0,11071.0,12612.0,13069.0,9127.0,10768.0,7780.0,11398.0,7343.0,10670.0,7572.0,9325.0,9287.0,12681.0,11330.0,10888.0,10815.0,11014.0,8434.0,7299.0,8268.0,7188.0,10532.0,14102.0,11885.0,7777.0,7898.0,7905.0,9025.0,11746.0
31,10553.0,9655.0,7780.0,8463.0,12099.0,9117.0,7443.0,11071.0,11134.0,13069.0,9127.0,10768.0,7780.0,11398.0,7343.0,9863.0,7572.0,9325.0,9287.0,12681.0,11290.0,10888.0,10815.0,11014.0,8434.0,7299.0,8268.0,7269.0,10532.0,14102.0,11885.0,7777.0,8369.0,7905.0,9025.0,11746.0
32,10553.0,9655.0,7350.0,8463.0,12099.0,9117.0,7443.0,11071.0,11134.0,13069.0,9127.0,10768.0,7780.0,11398.0,7451.0,9863.0,7572.0,9325.0,9287.0,12681.0,11290.0,10888.0,10815.0,11014.0,8434.0,7299.0,8821.0,7269.0,10532.0,14102.0,11885.0,7777.0,8369.0,7905.0,9025.0,11746.0
