WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,12963.0,10172.0,6761.0,15055.0,28456.0,5771.0,4830.0,18988.0,22648.0,18432.0,11329.0,8145.0,14209.0,31542.0,8812.0,21028.0,23560.0,13392.0,23148.0,5428.0,17390.0,16729.0,11944.0,9650.0,9425.0,17649.0,12401.0,14293.0,16624.0,18703.0,17166.0,21549.0,8293.0,9718.0,13830.0,13287.0
2,9320.0,4733.0,953.0,19489.0,21031.0,5849.0,5299.0,25853.0,18323.0,15307.0,12536.0,0.0,13648.0,30169.0,10664.0,16436.0,17770.0,11746.0,19934.0,2714.0,12863.0,19805.0,14857.0,14345.0,7424.0,12451.0,6348.0,8335.0,4591.0,15120.0,10091.0,23905.0,4719.0,12716.0,18596.0,13732.0
3,6982.0,2009.0,1385.0,21916.0,7478.0,6484.0,7111.0,24413.0,14524.0,9308.0,13259.0,0.0,14780.0,18474.0,9353.0,14361.0,16796.0,2167.0,4093.0,3049.0,9351.0,20592.0,16008.0,14645.0,9319.0,5296.0,5863.0,3493.0,2688.0,17201.0,3903.0,20857.0,5441.0,14566.0,19339.0,16101.0
4,7030.0,0.0,3540.0,15585.0,2841.0,6983.0,8223.0,20519.0,8880.0,4007.0,18102.0,133.0,16539.0,7199.0,6291.0,17122.0,0.0,2010.0,1111.0,6690.0,14479.0,22186.0,8932.0,16730.0,9762.0,1026.0,4616.0,2776.0,3996.0,7347.0,4132.0,13919.0,7581.0,10197.0,20228.0,15264.0
5,5223.0,0.0,5949.0,6797.0,3850.0,12423.0,7422.0,17437.0,2722.0,3729.0,19934.0,1425.0,18784.0,2466.0,5248.0,18759.0,0.0,4039.0,1694.0,10777.0,17132.0,21822.0,9611.0,19857.0,11306.0,2918.0,4889.0,831.0,6102.0,10547.0,7666.0,5701.0,7828.0,10258.0,9322.0,19065.0
6,3913.0,502.0,7130.0,7630.0,1193.0,11586.0,5816.0,17897.0,289.0,6072.0,6868.0,4718.0,21992.0,2227.0,4049.0,21060.0,0.0,3635.0,0.0,10509.0,20060.0,24144.0,4545.0,19618.0,10720.0,4025.0,5157.0,2070.0,6367.0,6618.0,10030.0,4204.0,7480.0,12213.0,5076.0,17086.0
7,3462.0,2952.0,9219.0,12824.0,579.0,8819.0,4789.0,25485.0,2060.0,5223.0,8579.0,6460.0,19606.0,6102.0,3064.0,28918.0,0.0,6196.0,823.0,10343.0,13823.0,23305.0,1001.0,23763.0,9258.0,5837.0,4371.0,2526.0,8752.0,6077.0,5405.0,5490.0,6498.0,13000.0,4565.0,9729.0
8,946.0,9690.0,13996.0,19157.0,5699.0,8824.0,4754.0,28684.0,9597.0,4888.0,7243.0,5474.0,20489.0,14504.0,1768.0,28012.0,1111.0,9477.0,2589.0,12176.0,11697.0,18761.0,0.0,36696.0,6756.0,9420.0,6991.0,6403.0,7234.0,7200.0,2041.0,6395.0,7116.0,12148.0,8469.0,9814.0
9,520.0,15069.0,17831.0,35191.0,4311.0,7343.0,6989.0,22687.0,14994.0,7964.0,16706.0,9109.0,19005.0,21357.0,1731.0,23467.0,3226.0,11526.0,1794.0,12284.0,11179.0,19778.0,10609.0,42919.0,7467.0,11574.0,9756.0,13432.0,11557.0,6791.0,2965.0,7058.0,7062.0,8522.0,6924.0,10211.0
10,2975.0,13727.0,18043.0,35984.0,8478.0,3557.0,10254.0,19090.0,16714.0,10099.0,14626.0,13451.0,8268.0,30310.0,3618.0,28429.0,10499.0,13676.0,2368.0,12177.0,13590.0,18687.0,11077.0,51046.0,17178.0,13328.0,8687.0,13179.0,9329.0,6911.0,4056.0,10309.0,8940.0,16548.0,5638.0,11130.0
11,9001.0,13023.0,11789.0,26924.0,11863.0,3916.0,11698.0,19217.0,22693.0,10529.0,12050.0,15517.0,4941.0,37068.0,3513.0,40210.0,11403.0,15666.0,3495.0,14374.0,24969.0,20207.0,31303.0,68089.0,28638.0,19339.0,12027.0,4656.0,7778.0,8793.0,3920.0,11474.0,13744.0,24120.0,14580.0,13841.0
12,16217.0,14559.0,7222.0,21930.0,11264.0,21283.0,16485.0,35293.0,31417.0,12142.0,19013.0,32329.0,16342.0,39632.0,2197.0,53872.0,14931.0,16780.0,1484.0,26114.0,31687.0,32971.0,24079.0,80671.0,18429.0,32222.0,27031.0,3611.0,9785.0,7231.0,10499.0,18110.0,24032.0,36538.0,16512.0,18220.0
