DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,2084.0,5717.0,5868.0,5311.0,6020.0,5261.0,3944.0,2115.0,5668.0,4976.0,3076.0,3977.0,1980.0,3284.0,1891.0,2363.0,4365.0,2680.0,4033.0,5373.0,2744.0,2525.0,1726.0,5116.0,2420.0,1632.0,3188.0,3044.0,4644.0,3161.0,4132.0,4280.0,1607.0,2322.0,4457.0,2530.0
2,2084.0,5717.0,5868.0,5311.0,6020.0,5261.0,3944.0,2115.0,5668.0,5051.0,3076.0,3977.0,1980.0,3284.0,1891.0,2363.0,4365.0,2680.0,4033.0,5373.0,2744.0,2293.0,1726.0,5116.0,2420.0,1632.0,3188.0,3044.0,4644.0,3161.0,4132.0,4280.0,1607.0,2372.0,4457.0,2530.0
3,2084.0,5717.0,5868.0,5045.0,6020.0,5261.0,3944.0,2115.0,5721.0,5051.0,3076.0,3977.0,1980.0,3284.0,1891.0,2186.0,4365.0,2680.0,4033.0,5373.0,2298.0,2293.0,1726.0,5116.0,2420.0,1632.0,3188.0,3120.0,4644.0,3161.0,4132.0,4280.0,1671.0,2372.0,4457.0,2530.0
4,2084.0,5717.0,5600.0,5045.0,6020.0,5261.0,3944.0,2115.0,5721.0,5051.0,3076.0,3977.0,1980.0,3284.0,2082.0,2186.0,4365.0,2680.0,4033.0,5373.0,2298.0,2293.0,1726.0,5116.0,2420.0,1632.0,2970.0,3120.0,4644.0,3161.0,4132.0,4280.0,1671.0,2372.0,4457.0,2530.0
5,2084.0,5345.0,5600.0,5045.0,6020.0,5261.0,3944.0,2007.0,5721.0,5051.0,3076.0,3977.0,1980.0,3432.0,2082.0,2186.0,4365.0,2680.0,4033.0,5258.0,2298.0,2293.0,1726.0,5116.0,2420.0,1852.0,2970.0,3120.0,4644.0,3161.0,4132.0,3870.0,1671.0,2372.0,4457.0,2530.0
6,2142.0,5345.0,5600.0,5045.0,6020.0,5261.0,3762.0,2007.0,5721.0,5051.0,3076.0,3977.0,1907.0,3432.0,2082.0,2186.0,4365.0,2680.0,4614.0,5258.0,2298.0,2293.0,1726.0,5116.0,2310.0,1852.0,2970.0,3120.0,4644.0,3161.0,4045.0,3870.0,1671.0,2372.0,4457.0,2530.0
7,2142.0,5345.0,5600.0,5045.0,6020.0,5239.0,3762.0,2007.0,5721.0,5051.0,3076.0,4170.0,1907.0,3432.0,2082.0,2186.0,4365.0,3493.0,4614.0,5258.0,2298.0,2293.0,1726.0,5189.0,2310.0,1852.0,2970.0,3120.0,4644.0,2839.0,4045.0,3870.0,1671.0,2372.0,4457.0,2572.0
8,2142.0,5345.0,5600.0,5045.0,5616.0,5239.0,3762.0,2007.0,5721.0,5051.0,2522.0,4170.0,1907.0,3432.0,2082.0,2186.0,4379.0,3493.0,4614.0,5258.0,2298.0,2293.0,2090.0,5189.0,2310.0,1852.0,2970.0,3120.0,4492.0,2839.0,4045.0,3870.0,1671.0,2372.0,3616.0,2572.0
9,2142.0,5345.0,5600.0,5045.0,5616.0,5239.0,3762.0,2007.0,5721.0,5608.0,2522.0,4170.0,1907.0,3432.0,2082.0,2186.0,4379.0,3493.0,4614.0,5258.0,2298.0,2239.0,2090.0,5189.0,2310.0,1852.0,2970.0,3120.0,4492.0,2839.0,4045.0,3870.0,1671.0,2172.0,3616.0,2572.0
10,2142.0,5345.0,5600.0,4834.0,5616.0,5239.0,3762.0,2007.0,5902.0,5608.0,2522.0,4170.0,1907.0,3432.0,2082.0,1949.0,4379.0,3493.0,4614.0,5258.0,3778.0,2239.0,2090.0,5189.0,2310.0,1852.0,2970.0,3284.0,4492.0,2839.0,4045.0,3870.0,1753.0,2172.0,3616.0,2572.0
