WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,59395.0,61673.0,156212.0,71195.0,8190.0,139622.0,175201.0,39152.0,56103.0,0.0,102638.0,92963.0,107964.0,0.0,86657.0,161735.0,101555.0,41221.0,27440.0,126074.0,36777.0,107945.0,87404.0,19783.0,85243.0,124426.0,87600.0,130616.0,115952.0,62676.0,16707.0,42157.0,119959.0,86982.0,64987.0,44343.0
2,79929.0,62353.0,177738.0,29265.0,4651.0,141394.0,169882.0,24945.0,33491.0,21775.0,51393.0,72648.0,126103.0,7477.0,62732.0,146277.0,95702.0,89534.0,72868.0,130023.0,52704.0,76701.0,84740.0,34747.0,122491.0,88145.0,119008.0,100891.0,95292.0,46016.0,23621.0,7215.0,145140.0,60087.0,69241.0,26587.0
3,123728.0,68757.0,176221.0,56373.0,56844.0,166631.0,138013.0,40217.0,17001.0,16853.0,85205.0,83177.0,136589.0,26243.0,67357.0,119656.0,128741.0,106631.0,91276.0,95938.0,71238.0,71646.0,71948.0,45680.0,102293.0,122254.0,108872.0,82705.0,58584.0,49266.0,33213.0,31607.0,134213.0,60423.0,106526.0,14531.0
4,126606.0,90264.0,157074.0,88956.0,173082.0,134358.0,137043.0,59689.0,23383.0,29519.0,84647.0,53956.0,160556.0,36231.0,125945.0,90260.0,174856.0,86671.0,84416.0,62927.0,54875.0,87902.0,106883.0,22743.0,120670.0,140786.0,98166.0,111109.0,69681.0,95860.0,37414.0,79592.0,115632.0,113503.0,121179.0,28489.0
5,117159.0,124388.0,138637.0,120275.0,111032.0,91876.0,121119.0,77969.0,53269.0,56247.0,91964.0,55154.0,111689.0,45213.0,141739.0,79869.0,188761.0,59486.0,80016.0,30980.0,50770.0,93734.0,169998.0,6975.0,104067.0,112547.0,104234.0,101561.0,87464.0,96834.0,24659.0,108534.0,108054.0,115305.0,123420.0,27976.0
6,89731.0,170265.0,108342.0,105929.0,136199.0,75596.0,106766.0,79508.0,91415.0,92200.0,145656.0,73038.0,90873.0,60890.0,116900.0,81420.0,160915.0,43922.0,127540.0,26198.0,41532.0,119373.0,198156.0,15082.0,95639.0,86182.0,104114.0,82706.0,93147.0,129424.0,12758.0,111605.0,93585.0,98676.0,125864.0,24848.0
7,86412.0,152433.0,84640.0,101612.0,133225.0,61446.0,100333.0,82404.0,76783.0,156136.0,156882.0,47701.0,85276.0,61402.0,133925.0,104575.0,143240.0,36776.0,142986.0,24959.0,59783.0,104745.0,190394.0,26427.0,95365.0,76236.0,117376.0,86187.0,91953.0,127811.0,41679.0,114549.0,108910.0,84884.0,127865.0,37998.0
8,106472.0,108216.0,81006.0,115911.0,119826.0,56446.0,88422.0,105138.0,69877.0,159323.0,96619.0,50779.0,91262.0,69551.0,131906.0,133450.0,128090.0,27199.0,141789.0,31449.0,46484.0,101298.0,156707.0,86113.0,100323.0,64288.0,103571.0,91641.0,104861.0,138103.0,89339.0,108585.0,93308.0,69465.0,145372.0,58259.0
9,121562.0,86178.0,90262.0,143230.0,131306.0,71109.0,76565.0,114946.0,76151.0,145171.0,53309.0,74715.0,121604.0,94819.0,127373.0,148390.0,94917.0,28102.0,170383.0,28773.0,32387.0,96512.0,123232.0,183090.0,111806.0,70536.0,66393.0,83855.0,104839.0,124724.0,107654.0,97560.0,68370.0,54895.0,151262.0,63312.0
10,74813.0,79369.0,101661.0,188243.0,121948.0,84488.0,76646.0,151582.0,96432.0,115202.0,67386.0,78961.0,122952.0,143400.0,105825.0,208051.0,86335.0,34994.0,155911.0,20855.0,52398.0,102476.0,100171.0,216743.0,142020.0,94728.0,48111.0,79187.0,94406.0,100743.0,147097.0,83710.0,62199.0,66333.0,133617.0,60370.0
