WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,11092.0,10135.0,9481.0,8620.0,8337.0,8749.0,12645.0,9549.0,8699.0,8288.0,8642.0,10521.0,7861.0,6564.0,10715.0,6554.0,9026.0,9299.0,8605.0,11319.0,7575.0,9450.0,5843.0,6900.0,9516.0,7358.0,9200.0,9095.0,11439.0,9729.0,11421.0,11442.0,6627.0,7307.0,9462.0,6109.0
2,10071.0,10096.0,10660.0,8116.0,8919.0,9948.0,12314.0,10124.0,8275.0,8665.0,9130.0,11305.0,7871.0,7169.0,11368.0,7484.0,9155.0,9637.0,11772.0,11437.0,8528.0,8697.0,7332.0,8177.0,10176.0,7749.0,9827.0,8432.0,10765.0,8257.0,11912.0,10998.0,7081.0,7773.0,9977.0,7324.0
3,10837.0,10064.0,11138.0,9500.0,9273.0,9580.0,11559.0,10400.0,8284.0,9002.0,9962.0,11198.0,10301.0,8209.0,9941.0,8065.0,10626.0,10312.0,12757.0,11467.0,7765.0,10057.0,9758.0,9691.0,9717.0,7921.0,9569.0,8547.0,9151.0,9134.0,11932.0,10367.0,6624.0,8650.0,9838.0,8566.0
4,11388.0,9116.0,11604.0,10504.0,11588.0,8826.0,10847.0,11931.0,8530.0,9002.0,10028.0,10795.0,12139.0,8742.0,9060.0,9807.0,9456.0,10109.0,11914.0,10573.0,7285.0,10555.0,10205.0,8009.0,10848.0,7722.0,9735.0,8698.0,9849.0,8564.0,11660.0,10723.0,5801.0,8812.0,10803.0,8156.0
5,10514.0,8297.0,11710.0,10775.0,12145.0,9486.0,10955.0,11928.0,8517.0,8848.0,9253.0,10955.0,11460.0,9266.0,8169.0,11122.0,9133.0,10293.0,11069.0,8773.0,7581.0,8881.0,10121.0,8354.0,10578.0,7475.0,9461.0,8045.0,10259.0,9000.0,11064.0,10612.0,5653.0,8894.0,10328.0,8323.0
6,10288.0,8370.0,11601.0,9806.0,11792.0,10568.0,10673.0,11205.0,8394.0,8837.0,10447.0,11281.0,10170.0,9835.0,7239.0,8418.0,8308.0,11309.0,10806.0,8950.0,7839.0,7779.0,11043.0,9050.0,9932.0,7310.0,8987.0,6953.0,10497.0,9749.0,10844.0,9879.0,5465.0,8430.0,10595.0,8435.0
7,10920.0,8199.0,11278.0,9778.0,11233.0,10049.0,10684.0,9849.0,7384.0,8640.0,10411.0,10458.0,11798.0,9225.0,6943.0,6946.0,7668.0,11510.0,10455.0,9896.0,8361.0,7778.0,10620.0,8862.0,9600.0,6661.0,9478.0,6447.0,11356.0,8337.0,11160.0,8657.0,5965.0,9517.0,10995.0,9045.0
8,11794.0,8203.0,11850.0,9324.0,10588.0,9586.0,10530.0,9290.0,7426.0,8136.0,9747.0,10877.0,11198.0,8319.0,6732.0,7500.0,7154.0,11498.0,10269.0,10000.0,7299.0,8341.0,11228.0,9597.0,9243.0,5856.0,9388.0,8130.0,12617.0,8233.0,11663.0,7902.0,5511.0,9990.0,11787.0,8535.0
9,11640.0,8382.0,12480.0,9795.0,10396.0,10083.0,10672.0,9313.0,7583.0,8161.0,8669.0,10039.0,11980.0,9157.0,6331.0,8192.0,7231.0,10708.0,9496.0,9896.0,7274.0,7877.0,10238.0,9753.0,8517.0,5928.0,9486.0,9716.0,12588.0,7454.0,11393.0,7770.0,5210.0,10097.0,11828.0,7660.0
10,11019.0,8366.0,12450.0,11424.0,10793.0,10672.0,10642.0,8303.0,7059.0,7680.0,10292.0,8801.0,11766.0,9454.0,6789.0,9133.0,7265.0,9391.0,8488.0,9763.0,7483.0,8352.0,10476.0,9705.0,8642.0,6741.0,10142.0,9827.0,12476.0,7472.0,11116.0,7585.0,5886.0,10053.0,11364.0,7721.0
