DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,109152.0,152287.0,151188.0,104440.0,158533.0,125372.0,83785.0,150521.0,149248.0,139898.0,97729.0,118912.0,112963.0,118561.0,126055.0,129989.0,137486.0,137031.0,150664.0,141407.0,154958.0,104699.0,139968.0,144977.0,119708.0,108098.0,92536.0,88931.0,115696.0,128076.0,147309.0,108194.0,84633.0,94060.0,109614.0,125723.0
2,109152.0,152287.0,151188.0,104440.0,158533.0,125372.0,83785.0,150521.0,149248.0,151300.0,97729.0,118912.0,112963.0,118561.0,126055.0,129989.0,137486.0,137031.0,150664.0,141407.0,154958.0,108479.0,139968.0,144977.0,119708.0,108098.0,92536.0,88931.0,115696.0,128076.0,147309.0,108194.0,84633.0,88102.0,109614.0,125723.0
3,109152.0,152287.0,151188.0,106705.0,158533.0,125372.0,83785.0,150521.0,154691.0,151300.0,97729.0,118912.0,112963.0,118561.0,126055.0,145260.0,137486.0,137031.0,150664.0,141407.0,151311.0,108479.0,139968.0,144977.0,119708.0,108098.0,92536.0,86358.0,115696.0,128076.0,147309.0,108194.0,93981.0,88102.0,109614.0,125723.0
4,109152.0,152287.0,144903.0,106705.0,158533.0,125372.0,83785.0,150521.0,154691.0,151300.0,97729.0,118912.0,112963.0,118561.0,137129.0,145260.0,137486.0,137031.0,150664.0,141407.0,151311.0,108479.0,139968.0,144977.0,119708.0,108098.0,92043.0,86358.0,115696.0,128076.0,147309.0,108194.0,93981.0,88102.0,109614.0,125723.0
5,109152.0,151274.0,144903.0,106705.0,158533.0,125372.0,83785.0,154421.0,154691.0,151300.0,97729.0,118912.0,112963.0,111787.0,137129.0,145260.0,137486.0,137031.0,150664.0,124838.0,151311.0,108479.0,139968.0,144977.0,119708.0,103934.0,92043.0,86358.0,115696.0,128076.0,147309.0,120466.0,93981.0,88102.0,109614.0,125723.0
6,128201.0,151274.0,144903.0,106705.0,158533.0,125372.0,84848.0,154421.0,154691.0,151300.0,97729.0,118912.0,106717.0,111787.0,137129.0,145260.0,137486.0,137031.0,149669.0,124838.0,151311.0,108479.0,139968.0,144977.0,115731.0,103934.0,92043.0,86358.0,115696.0,128076.0,142013.0,120466.0,93981.0,88102.0,109614.0,125723.0
7,128201.0,151274.0,144903.0,106705.0,158533.0,110230.0,84848.0,154421.0,154691.0,151300.0,97729.0,118751.0,106717.0,111787.0,137129.0,145260.0,137486.0,124485.0,149669.0,124838.0,151311.0,108479.0,139968.0,149716.0,115731.0,103934.0,92043.0,86358.0,115696.0,128933.0,142013.0,120466.0,93981.0,88102.0,109614.0,146287.0
8,128201.0,151274.0,144903.0,106705.0,153397.0,110230.0,84848.0,154421.0,154691.0,151300.0,107495.0,118751.0,106717.0,111787.0,137129.0,145260.0,138225.0,124485.0,149669.0,124838.0,151311.0,108479.0,145681.0,149716.0,115731.0,103934.0,92043.0,86358.0,123907.0,128933.0,142013.0,120466.0,93981.0,88102.0,104504.0,146287.0
9,128201.0,151274.0,144903.0,106705.0,153397.0,110230.0,84848.0,154421.0,154691.0,151441.0,107495.0,118751.0,106717.0,111787.0,137129.0,145260.0,138225.0,124485.0,149669.0,124838.0,151311.0,129913.0,145681.0,149716.0,115731.0,103934.0,92043.0,86358.0,123907.0,128933.0,142013.0,120466.0,93981.0,98146.0,104504.0,146287.0
10,128201.0,151274.0,144903.0,129718.0,153397.0,110230.0,84848.0,154421.0,161023.0,151441.0,107495.0,118751.0,106717.0,111787.0,137129.0,142749.0,138225.0,124485.0,149669.0,124838.0,134479.0,129913.0,145681.0,149716.0,115731.0,103934.0,92043.0,91264.0,123907.0,128933.0,142013.0,120466.0,95755.0,98146.0,104504.0,146287.0
11,128201.0,151274.0,129632.0,129718.0,153397.0,110230.0,84848.0,154421.0,161023.0,151441.0,107495.0,118751.0,106717.0,111787.0,143581.0,142749.0,138225.0,124485.0,149669.0,124838.0,134479.0,129913.0,145681.0,149716.0,115731.0,103934.0,92185.0,91264.0,123907.0,128933.0,142013.0,120466.0,95755.0,98146.0,104504.0,146287.0
12,128201.0,149193.0,129632.0,129718.0,153397.0,110230.0,84848.0,148261.0,161023.0,151441.0,107495.0,118751.0,106717.0,115280.0,143581.0,142749.0,138225.0,124485.0,149669.0,123219.0,134479.0,129913.0,145681.0,149716.0,115731.0,99389.0,92185.0,91264.0,123907.0,128933.0,142013.0,129849.0,95755.0,98146.0,104504.0,146287.0
