DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,610.0,938.0,908.0,658.0,1074.0,467.0,516.0,926.0,807.0,841.0,567.0,807.0,590.0,1010.0,664.0,1122.0,1016.0,702.0,968.0,780.0,1059.0,563.0,804.0,866.0,571.0,572.0,467.0,605.0,610.0,838.0,780.0,510.0,636.0,699.0,497.0,891.0
2,610.0,938.0,908.0,658.0,1074.0,467.0,516.0,926.0,807.0,870.0,567.0,807.0,590.0,1010.0,664.0,1122.0,1016.0,702.0,968.0,780.0,1059.0,456.0,804.0,866.0,571.0,572.0,467.0,605.0,610.0,838.0,780.0,510.0,636.0,567.0,497.0,891.0
3,610.0,938.0,908.0,606.0,1074.0,467.0,516.0,926.0,827.0,870.0,567.0,807.0,590.0,1010.0,664.0,1096.0,1016.0,702.0,968.0,780.0,1015.0,456.0,804.0,866.0,571.0,572.0,467.0,551.0,610.0,838.0,780.0,510.0,619.0,567.0,497.0,891.0
4,610.0,938.0,821.0,606.0,1074.0,467.0,516.0,926.0,827.0,870.0,567.0,807.0,590.0,1010.0,635.0,1096.0,1016.0,702.0,968.0,780.0,1015.0,456.0,804.0,866.0,571.0,572.0,450.0,551.0,610.0,838.0,780.0,510.0,619.0,567.0,497.0,891.0
5,610.0,880.0,821.0,606.0,1074.0,467.0,516.0,946.0,827.0,870.0,567.0,807.0,590.0,963.0,635.0,1096.0,1016.0,702.0,968.0,755.0,1015.0,456.0,804.0,866.0,571.0,477.0,450.0,551.0,610.0,838.0,780.0,512.0,619.0,567.0,497.0,891.0
6,729.0,880.0,821.0,606.0,1074.0,467.0,486.0,946.0,827.0,870.0,567.0,807.0,497.0,963.0,635.0,1096.0,1016.0,702.0,978.0,755.0,1015.0,456.0,804.0,866.0,511.0,477.0,450.0,551.0,610.0,838.0,713.0,512.0,619.0,567.0,497.0,891.0
7,729.0,880.0,821.0,606.0,1074.0,417.0,486.0,946.0,827.0,870.0,567.0,780.0,497.0,963.0,635.0,1096.0,1016.0,651.0,978.0,755.0,1015.0,456.0,804.0,981.0,511.0,477.0,450.0,551.0,610.0,758.0,713.0,512.0,619.0,567.0,497.0,973.0
8,729.0,880.0,821.0,606.0,951.0,417.0,486.0,946.0,827.0,870.0,563.0,780.0,497.0,963.0,635.0,1096.0,903.0,651.0,978.0,755.0,1015.0,456.0,788.0,981.0,511.0,477.0,450.0,551.0,635.0,758.0,713.0,512.0,619.0,567.0,482.0,973.0
9,729.0,880.0,821.0,606.0,951.0,417.0,486.0,946.0,827.0,827.0,563.0,780.0,497.0,963.0,635.0,1096.0,903.0,651.0,978.0,755.0,1015.0,538.0,788.0,981.0,511.0,477.0,450.0,551.0,635.0,758.0,713.0,512.0,619.0,512.0,482.0,973.0
10,729.0,880.0,821.0,656.0,951.0,417.0,486.0,946.0,832.0,827.0,563.0,780.0,497.0,963.0,635.0,1028.0,903.0,651.0,978.0,755.0,909.0,538.0,788.0,981.0,511.0,477.0,450.0,639.0,635.0,758.0,713.0,512.0,569.0,512.0,482.0,973.0
