DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,658.0,393.0,394.0,703.0,371.0,582.0,622.0,645.0,746.0,605.0,728.0,608.0,622.0,511.0,715.0,719.0,698.0,661.0,583.0,379.0,600.0,677.0,674.0,674.0,728.0,646.0,733.0,681.0,630.0,589.0,598.0,624.0,629.0,681.0,742.0,670.0
2,658.0,393.0,394.0,703.0,371.0,582.0,622.0,645.0,746.0,564.0,728.0,608.0,622.0,511.0,715.0,719.0,698.0,661.0,583.0,379.0,600.0,699.0,674.0,674.0,728.0,646.0,733.0,681.0,630.0,589.0,598.0,624.0,629.0,656.0,742.0,670.0
3,658.0,393.0,394.0,681.0,371.0,582.0,622.0,645.0,651.0,564.0,728.0,608.0,622.0,511.0,715.0,751.0,698.0,661.0,583.0,379.0,687.0,699.0,674.0,674.0,728.0,646.0,733.0,619.0,630.0,589.0,598.0,624.0,646.0,656.0,742.0,670.0
4,658.0,393.0,565.0,681.0,371.0,582.0,622.0,645.0,651.0,564.0,728.0,608.0,622.0,511.0,680.0,751.0,698.0,661.0,583.0,379.0,687.0,699.0,674.0,674.0,728.0,646.0,752.0,619.0,630.0,589.0,598.0,624.0,646.0,656.0,742.0,670.0
5,658.0,483.0,565.0,681.0,371.0,582.0,622.0,585.0,651.0,564.0,728.0,608.0,622.0,498.0,680.0,751.0,698.0,661.0,583.0,456.0,687.0,699.0,674.0,674.0,728.0,622.0,752.0,619.0,630.0,589.0,598.0,614.0,646.0,656.0,742.0,670.0
6,604.0,483.0,565.0,681.0,371.0,582.0,637.0,585.0,651.0,564.0,728.0,608.0,623.0,498.0,680.0,751.0,698.0,661.0,600.0,456.0,687.0,699.0,674.0,674.0,721.0,622.0,752.0,619.0,630.0,589.0,688.0,614.0,646.0,656.0,742.0,670.0
7,604.0,483.0,565.0,681.0,371.0,570.0,637.0,585.0,651.0,564.0,728.0,661.0,623.0,498.0,680.0,751.0,698.0,600.0,600.0,456.0,687.0,699.0,674.0,600.0,721.0,622.0,752.0,619.0,630.0,630.0,688.0,614.0,646.0,656.0,742.0,701.0
8,604.0,483.0,565.0,681.0,378.0,570.0,637.0,585.0,651.0,564.0,748.0,661.0,623.0,498.0,680.0,751.0,717.0,600.0,600.0,456.0,687.0,699.0,659.0,600.0,721.0,622.0,752.0,619.0,642.0,630.0,688.0,614.0,646.0,656.0,746.0,701.0
9,604.0,483.0,565.0,681.0,378.0,570.0,637.0,585.0,651.0,522.0,748.0,661.0,623.0,498.0,680.0,751.0,717.0,600.0,600.0,456.0,687.0,741.0,659.0,600.0,721.0,622.0,752.0,619.0,642.0,630.0,688.0,614.0,646.0,639.0,746.0,701.0
10,604.0,483.0,565.0,710.0,378.0,570.0,637.0,585.0,628.0,522.0,748.0,661.0,623.0,498.0,680.0,740.0,717.0,600.0,600.0,456.0,739.0,741.0,659.0,600.0,721.0,622.0,752.0,628.0,642.0,630.0,688.0,614.0,652.0,639.0,746.0,701.0
11,604.0,483.0,583.0,710.0,378.0,570.0,637.0,585.0,628.0,522.0,748.0,661.0,623.0,498.0,666.0,740.0,717.0,600.0,600.0,456.0,739.0,741.0,659.0,600.0,721.0,622.0,771.0,628.0,642.0,630.0,688.0,614.0,652.0,639.0,746.0,701.0
12,604.0,554.0,583.0,710.0,378.0,570.0,637.0,588.0,628.0,522.0,748.0,661.0,623.0,526.0,666.0,740.0,717.0,600.0,600.0,628.0,739.0,741.0,659.0,600.0,721.0,627.0,771.0,628.0,642.0,630.0,688.0,577.0,652.0,639.0,746.0,701.0
13,533.0,554.0,583.0,710.0,378.0,570.0,671.0,588.0,628.0,522.0,748.0,661.0,629.0,526.0,666.0,740.0,717.0,600.0,616.0,628.0,739.0,741.0,659.0,600.0,759.0,627.0,771.0,628.0,642.0,630.0,688.0,577.0,652.0,639.0,746.0,701.0
14,533.0,554.0,583.0,710.0,378.0,594.0,671.0,588.0,628.0,522.0,748.0,704.0,629.0,526.0,666.0,740.0,717.0,614.0,616.0,628.0,739.0,741.0,659.0,649.0,759.0,627.0,771.0,628.0,642.0,680.0,688.0,577.0,652.0,639.0,746.0,702.0
15,533.0,554.0,583.0,710.0,366.0,594.0,671.0,588.0,628.0,522.0,746.0,704.0,629.0,526.0,666.0,740.0,717.0,614.0,616.0,628.0,739.0,741.0,640.0,649.0,759.0,627.0,771.0,628.0,719.0,680.0,688.0,577.0,652.0,639.0,723.0,702.0
16,533.0,554.0,583.0,710.0,366.0,594.0,671.0,588.0,628.0,550.0,746.0,704.0,629.0,526.0,666.0,740.0,717.0,614.0,616.0,628.0,739.0,724.0,640.0,649.0,759.0,627.0,771.0,628.0,719.0,680.0,688.0,577.0,652.0,607.0,723.0,702.0
17,533.0,554.0,583.0,692.0,366.0,594.0,671.0,588.0,642.0,550.0,746.0,704.0,629.0,526.0,666.0,715.0,717.0,614.0,616.0,628.0,706.0,724.0,640.0,649.0,759.0,627.0,771.0,686.0,719.0,680.0,688.0,577.0,690.0,607.0,723.0,702.0
18,533.0,554.0,604.0,692.0,366.0,594.0,671.0,588.0,642.0,550.0,746.0,704.0,629.0,526.0,620.0,715.0,717.0,614.0,616.0,628.0,706.0,724.0,640.0,649.0,759.0,627.0,728.0,686.0,719.0,680.0,688.0,577.0,690.0,607.0,723.0,702.0
19,533.0,677.0,604.0,692.0,366.0,594.0,671.0,637.0,642.0,550.0,746.0,704.0,629.0,547.0,620.0,715.0,717.0,614.0,616.0,736.0,706.0,724.0,640.0,649.0,759.0,589.0,728.0,686.0,719.0,680.0,688.0,611.0,690.0,607.0,723.0,702.0
20,544.0,677.0,604.0,692.0,366.0,594.0,682.0,637.0,642.0,550.0,746.0,704.0,672.0,547.0,620.0,715.0,717.0,614.0,675.0,736.0,706.0,724.0,640.0,649.0,709.0,589.0,728.0,686.0,719.0,680.0,717.0,611.0,690.0,607.0,723.0,702.0
21,544.0,677.0,604.0,692.0,366.0,615.0,682.0,637.0,642.0,550.0,746.0,713.0,672.0,547.0,620.0,715.0,717.0,590.0,675.0,736.0,706.0,724.0,640.0,556.0,709.0,589.0,728.0,686.0,719.0,712.0,717.0,611.0,690.0,607.0,723.0,662.0
22,544.0,677.0,604.0,692.0,426.0,615.0,682.0,637.0,642.0,550.0,722.0,713.0,672.0,547.0,620.0,715.0,630.0,590.0,675.0,736.0,706.0,724.0,601.0,556.0,709.0,589.0,728.0,686.0,661.0,712.0,717.0,611.0,690.0,607.0,687.0,662.0
23,544.0,677.0,604.0,692.0,426.0,615.0,682.0,637.0,642.0,641.0,722.0,713.0,672.0,547.0,620.0,715.0,630.0,590.0,675.0,736.0,706.0,667.0,601.0,556.0,709.0,589.0,728.0,686.0,661.0,712.0,717.0,611.0,690.0,529.0,687.0,662.0
24,544.0,677.0,604.0,633.0,426.0,615.0,682.0,637.0,622.0,641.0,722.0,713.0,672.0,547.0,620.0,677.0,630.0,590.0,675.0,736.0,673.0,667.0,601.0,556.0,709.0,589.0,728.0,641.0,661.0,712.0,717.0,611.0,710.0,529.0,687.0,662.0
25,544.0,677.0,664.0,633.0,426.0,615.0,682.0,637.0,622.0,641.0,722.0,713.0,672.0,547.0,621.0,677.0,630.0,590.0,675.0,736.0,673.0,667.0,601.0,556.0,709.0,589.0,699.0,641.0,661.0,712.0,717.0,611.0,710.0,529.0,687.0,662.0
26,544.0,719.0,664.0,633.0,426.0,615.0,682.0,687.0,622.0,641.0,722.0,713.0,672.0,651.0,621.0,677.0,630.0,590.0,675.0,519.0,673.0,667.0,601.0,556.0,709.0,609.0,699.0,641.0,661.0,712.0,717.0,604.0,710.0,529.0,687.0,662.0
27,563.0,719.0,664.0,633.0,426.0,615.0,712.0,687.0,622.0,641.0,722.0,713.0,677.0,651.0,621.0,677.0,630.0,590.0,708.0,519.0,673.0,667.0,601.0,556.0,715.0,609.0,699.0,641.0,661.0,712.0,684.0,604.0,710.0,529.0,687.0,662.0
28,563.0,719.0,664.0,633.0,426.0,653.0,712.0,687.0,622.0,641.0,722.0,749.0,677.0,651.0,621.0,677.0,630.0,590.0,708.0,519.0,673.0,667.0,601.0,505.0,715.0,609.0,699.0,641.0,661.0,725.0,684.0,604.0,710.0,529.0,687.0,655.0
29,563.0,719.0,664.0,633.0,525.0,653.0,712.0,687.0,622.0,641.0,717.0,749.0,677.0,651.0,621.0,677.0,641.0,590.0,708.0,519.0,673.0,667.0,591.0,505.0,715.0,609.0,699.0,641.0,670.0,725.0,684.0,604.0,710.0,529.0,684.0,655.0
30,563.0,719.0,664.0,633.0,525.0,653.0,712.0,687.0,622.0,710.0,717.0,749.0,677.0,651.0,621.0,677.0,641.0,590.0,708.0,519.0,673.0,636.0,591.0,505.0,715.0,609.0,699.0,641.0,670.0,725.0,684.0,604.0,710.0,530.0,684.0,655.0
31,563.0,719.0,664.0,584.0,525.0,653.0,712.0,687.0,628.0,710.0,717.0,749.0,677.0,651.0,621.0,685.0,641.0,590.0,708.0,519.0,638.0,636.0,591.0,505.0,715.0,609.0,699.0,635.0,670.0,725.0,684.0,604.0,662.0,530.0,684.0,655.0
32,563.0,719.0,734.0,584.0,525.0,653.0,712.0,687.0,628.0,710.0,717.0,749.0,677.0,651.0,684.0,685.0,641.0,590.0,708.0,519.0,638.0,636.0,591.0,505.0,715.0,609.0,754.0,635.0,670.0,725.0,684.0,604.0,662.0,530.0,684.0,655.0
33,563.0,738.0,734.0,584.0,525.0,653.0,712.0,723.0,628.0,710.0,717.0,749.0,677.0,674.0,684.0,685.0,641.0,590.0,708.0,502.0,638.0,636.0,591.0,505.0,715.0,630.0,754.0,635.0,670.0,725.0,684.0,603.0,662.0,530.0,684.0,655.0
34,653.0,738.0,734.0,584.0,525.0,653.0,697.0,723.0,628.0,710.0,717.0,749.0,672.0,674.0,684.0,685.0,641.0,590.0,684.0,502.0,638.0,636.0,591.0,505.0,730.0,630.0,754.0,635.0,670.0,725.0,606.0,603.0,662.0,530.0,684.0,655.0
35,653.0,738.0,734.0,584.0,525.0,657.0,697.0,723.0,628.0,710.0,717.0,724.0,672.0,674.0,684.0,685.0,641.0,608.0,684.0,502.0,638.0,636.0,591.0,525.0,730.0,630.0,754.0,635.0,670.0,746.0,606.0,603.0,662.0,530.0,684.0,651.0
36,653.0,738.0,734.0,584.0,550.0,657.0,697.0,723.0,628.0,710.0,702.0,724.0,672.0,674.0,684.0,685.0,683.0,608.0,684.0,502.0,638.0,636.0,632.0,525.0,730.0,630.0,754.0,635.0,732.0,746.0,606.0,603.0,662.0,530.0,744.0,651.0
37,653.0,738.0,734.0,584.0,550.0,657.0,697.0,723.0,628.0,713.0,702.0,724.0,672.0,674.0,684.0,685.0,683.0,608.0,684.0,502.0,638.0,644.0,632.0,525.0,730.0,630.0,754.0,635.0,732.0,746.0,606.0,603.0,662.0,595.0,744.0,651.0
38,653.0,738.0,734.0,655.0,550.0,657.0,697.0,723.0,658.0,713.0,702.0,724.0,672.0,674.0,684.0,736.0,683.0,608.0,684.0,502.0,666.0,644.0,632.0,525.0,730.0,630.0,754.0,649.0,732.0,746.0,606.0,603.0,586.0,595.0,744.0,651.0
39,653.0,738.0,785.0,655.0,550.0,657.0,697.0,723.0,658.0,713.0,702.0,724.0,672.0,674.0,687.0,736.0,683.0,608.0,684.0,502.0,666.0,644.0,632.0,525.0,730.0,630.0,678.0,649.0,732.0,746.0,606.0,603.0,586.0,595.0,744.0,651.0
40,653.0,734.0,785.0,655.0,550.0,657.0,697.0,752.0,658.0,713.0,702.0,724.0,672.0,632.0,687.0,736.0,683.0,608.0,684.0,519.0,666.0,644.0,632.0,525.0,730.0,549.0,678.0,649.0,732.0,746.0,606.0,624.0,586.0,595.0,744.0,651.0
41,703.0,734.0,785.0,655.0,550.0,657.0,626.0,752.0,658.0,713.0,702.0,724.0,662.0,632.0,687.0,736.0,683.0,608.0,645.0,519.0,666.0,644.0,632.0,525.0,727.0,549.0,678.0,649.0,732.0,746.0,572.0,624.0,586.0,595.0,744.0,651.0
42,703.0,734.0,785.0,655.0,550.0,698.0,626.0,752.0,658.0,713.0,702.0,738.0,662.0,632.0,687.0,736.0,683.0,614.0,645.0,519.0,666.0,644.0,632.0,601.0,727.0,549.0,678.0,649.0,732.0,723.0,572.0,624.0,586.0,595.0,744.0,629.0
43,703.0,734.0,785.0,655.0,689.0,698.0,626.0,752.0,658.0,713.0,723.0,738.0,662.0,632.0,687.0,736.0,720.0,614.0,645.0,519.0,666.0,644.0,641.0,601.0,727.0,549.0,678.0,649.0,753.0,723.0,572.0,624.0,586.0,595.0,741.0,629.0
44,703.0,734.0,785.0,655.0,689.0,698.0,626.0,752.0,658.0,720.0,723.0,738.0,662.0,632.0,687.0,736.0,720.0,614.0,645.0,519.0,666.0,656.0,641.0,601.0,727.0,549.0,678.0,649.0,753.0,723.0,572.0,624.0,586.0,618.0,741.0,629.0
45,703.0,734.0,785.0,635.0,689.0,698.0,626.0,752.0,735.0,720.0,723.0,738.0,662.0,632.0,687.0,770.0,720.0,614.0,645.0,519.0,639.0,656.0,641.0,601.0,727.0,549.0,678.0,657.0,753.0,723.0,572.0,624.0,499.0,618.0,741.0,629.0
46,703.0,734.0,816.0,635.0,689.0,698.0,626.0,752.0,735.0,720.0,723.0,738.0,662.0,632.0,675.0,770.0,720.0,614.0,645.0,519.0,639.0,656.0,641.0,601.0,727.0,549.0,700.0,657.0,753.0,723.0,572.0,624.0,499.0,618.0,741.0,629.0
47,703.0,713.0,816.0,635.0,689.0,698.0,626.0,739.0,735.0,720.0,723.0,738.0,662.0,711.0,675.0,770.0,720.0,614.0,645.0,513.0,639.0,656.0,641.0,601.0,727.0,653.0,700.0,657.0,753.0,723.0,572.0,618.0,499.0,618.0,741.0,629.0
48,740.0,713.0,816.0,635.0,689.0,698.0,580.0,739.0,735.0,720.0,723.0,738.0,690.0,711.0,675.0,770.0,720.0,614.0,653.0,513.0,639.0,656.0,641.0,601.0,692.0,653.0,700.0,657.0,753.0,723.0,600.0,618.0,499.0,618.0,741.0,629.0
49,740.0,713.0,816.0,635.0,689.0,696.0,580.0,739.0,735.0,720.0,723.0,704.0,690.0,711.0,675.0,770.0,720.0,637.0,653.0,513.0,639.0,656.0,641.0,773.0,692.0,653.0,700.0,657.0,753.0,626.0,600.0,618.0,499.0,618.0,741.0,618.0
50,740.0,713.0,816.0,635.0,756.0,696.0,580.0,739.0,735.0,720.0,716.0,704.0,690.0,711.0,675.0,770.0,750.0,637.0,653.0,513.0,639.0,656.0,660.0,773.0,692.0,653.0,700.0,657.0,755.0,626.0,600.0,618.0,499.0,618.0,724.0,618.0
51,740.0,713.0,816.0,635.0,756.0,696.0,580.0,739.0,735.0,765.0,716.0,704.0,690.0,711.0,675.0,770.0,750.0,637.0,653.0,513.0,639.0,693.0,660.0,773.0,692.0,653.0,700.0,657.0,755.0,626.0,600.0,618.0,499.0,638.0,724.0,618.0
52,740.0,713.0,816.0,598.0,756.0,696.0,580.0,739.0,740.0,765.0,716.0,704.0,690.0,711.0,675.0,775.0,750.0,637.0,653.0,513.0,632.0,693.0,660.0,773.0,692.0,653.0,700.0,676.0,755.0,626.0,600.0,618.0,460.0,638.0,724.0,618.0
53,740.0,713.0,724.0,598.0,756.0,696.0,580.0,739.0,740.0,765.0,716.0,704.0,690.0,711.0,749.0,775.0,750.0,637.0,653.0,513.0,632.0,693.0,660.0,773.0,692.0,653.0,670.0,676.0,755.0,626.0,600.0,618.0,460.0,638.0,724.0,618.0
