DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,4524.0,6618.0,6388.0,5127.0,6450.0,3388.0,5309.0,4781.0,5345.0,4673.0,5108.0,3931.0,4979.0,6407.0,5621.0,6488.0,6519.0,6161.0,6422.0,6646.0,5994.0,5134.0,6476.0,6260.0,5539.0,4855.0,5286.0,3127.0,5095.0,6167.0,6044.0,3778.0,4782.0,4541.0,3354.0,5644.0
2,4524.0,6618.0,6388.0,5127.0,6450.0,3388.0,5309.0,4781.0,5345.0,5148.0,5108.0,3931.0,4979.0,6407.0,5621.0,6488.0,6519.0,6161.0,6422.0,6646.0,5994.0,4860.0,6476.0,6260.0,5539.0,4855.0,5286.0,3127.0,5095.0,6167.0,6044.0,3778.0,4782.0,4499.0,3354.0,5644.0
3,4524.0,6618.0,6388.0,4949.0,6450.0,3388.0,5309.0,4781.0,5729.0,5148.0,5108.0,3931.0,4979.0,6407.0,5621.0,6329.0,6519.0,6161.0,6422.0,6646.0,5762.0,4860.0,6476.0,6260.0,5539.0,4855.0,5286.0,3485.0,5095.0,6167.0,6044.0,3778.0,5223.0,4499.0,3354.0,5644.0
4,4524.0,6618.0,6472.0,4949.0,6450.0,3388.0,5309.0,4781.0,5729.0,5148.0,5108.0,3931.0,4979.0,6407.0,6541.0,6329.0,6519.0,6161.0,6422.0,6646.0,5762.0,4860.0,6476.0,6260.0,5539.0,4855.0,5184.0,3485.0,5095.0,6167.0,6044.0,3778.0,5223.0,4499.0,3354.0,5644.0
5,4524.0,6593.0,6472.0,4949.0,6450.0,3388.0,5309.0,4800.0,5729.0,5148.0,5108.0,3931.0,4979.0,6304.0,6541.0,6329.0,6519.0,6161.0,6422.0,6686.0,5762.0,4860.0,6476.0,6260.0,5539.0,5262.0,5184.0,3485.0,5095.0,6167.0,6044.0,3834.0,5223.0,4499.0,3354.0,5644.0
6,4772.0,6593.0,6472.0,4949.0,6450.0,3388.0,5171.0,4800.0,5729.0,5148.0,5108.0,3931.0,4858.0,6304.0,6541.0,6329.0,6519.0,6161.0,6382.0,6686.0,5762.0,4860.0,6476.0,6260.0,5527.0,5262.0,5184.0,3485.0,5095.0,6167.0,5751.0,3834.0,5223.0,4499.0,3354.0,5644.0
7,4772.0,6593.0,6472.0,4949.0,6450.0,3209.0,5171.0,4800.0,5729.0,5148.0,5108.0,3987.0,4858.0,6304.0,6541.0,6329.0,6519.0,6147.0,6382.0,6686.0,5762.0,4860.0,6476.0,6690.0,5527.0,5262.0,5184.0,3485.0,5095.0,5743.0,5751.0,3834.0,5223.0,4499.0,3354.0,5979.0
8,4772.0,6593.0,6472.0,4949.0,6208.0,3209.0,5171.0,4800.0,5729.0,5148.0,5021.0,3987.0,4858.0,6304.0,6541.0,6329.0,6490.0,6147.0,6382.0,6686.0,5762.0,4860.0,6492.0,6690.0,5527.0,5262.0,5184.0,3485.0,5638.0,5743.0,5751.0,3834.0,5223.0,4499.0,3281.0,5979.0
9,4772.0,6593.0,6472.0,4949.0,6208.0,3209.0,5171.0,4800.0,5729.0,5239.0,5021.0,3987.0,4858.0,6304.0,6541.0,6329.0,6490.0,6147.0,6382.0,6686.0,5762.0,4982.0,6492.0,6690.0,5527.0,5262.0,5184.0,3485.0,5638.0,5743.0,5751.0,3834.0,5223.0,4792.0,3281.0,5979.0
10,4772.0,6593.0,6472.0,4767.0,6208.0,3209.0,5171.0,4800.0,5549.0,5239.0,5021.0,3987.0,4858.0,6304.0,6541.0,6271.0,6490.0,6147.0,6382.0,6686.0,6373.0,4982.0,6492.0,6690.0,5527.0,5262.0,5184.0,5001.0,5638.0,5743.0,5751.0,3834.0,5291.0,4792.0,3281.0,5979.0
