DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,34958.0,34301.0,35333.0,35071.0,37980.0,27009.0,28869.0,36328.0,35320.0,38622.0,35502.0,26644.0,43550.0,45071.0,41057.0,51068.0,40577.0,38721.0,36952.0,31758.0,45645.0,34402.0,46458.0,41034.0,24872.0,41551.0,37281.0,33929.0,34923.0,38246.0,37299.0,35694.0,32099.0,28045.0,35619.0,43857.0
2,34958.0,34301.0,35333.0,35071.0,37980.0,27009.0,28869.0,36328.0,35320.0,36893.0,35502.0,26644.0,43550.0,45071.0,41057.0,51068.0,40577.0,38721.0,36952.0,31758.0,45645.0,31839.0,46458.0,41034.0,24872.0,41551.0,37281.0,33929.0,34923.0,38246.0,37299.0,35694.0,32099.0,26208.0,35619.0,43857.0
3,34958.0,34301.0,35333.0,33870.0,37980.0,27009.0,28869.0,36328.0,35065.0,36893.0,35502.0,26644.0,43550.0,45071.0,41057.0,48628.0,40577.0,38721.0,36952.0,31758.0,43348.0,31839.0,46458.0,41034.0,24872.0,41551.0,37281.0,30217.0,34923.0,38246.0,37299.0,35694.0,32876.0,26208.0,35619.0,43857.0
4,34958.0,34301.0,33601.0,33870.0,37980.0,27009.0,28869.0,36328.0,35065.0,36893.0,35502.0,26644.0,43550.0,45071.0,39833.0,48628.0,40577.0,38721.0,36952.0,31758.0,43348.0,31839.0,46458.0,41034.0,24872.0,41551.0,36192.0,30217.0,34923.0,38246.0,37299.0,35694.0,32876.0,26208.0,35619.0,43857.0
5,34958.0,34926.0,33601.0,33870.0,37980.0,27009.0,28869.0,40688.0,35065.0,36893.0,35502.0,26644.0,43550.0,45510.0,39833.0,48628.0,40577.0,38721.0,36952.0,27233.0,43348.0,31839.0,46458.0,41034.0,24872.0,41763.0,36192.0,30217.0,34923.0,38246.0,37299.0,35761.0,32876.0,26208.0,35619.0,43857.0
6,35076.0,34926.0,33601.0,33870.0,37980.0,27009.0,27054.0,40688.0,35065.0,36893.0,35502.0,26644.0,40662.0,45510.0,39833.0,48628.0,40577.0,38721.0,33302.0,27233.0,43348.0,31839.0,46458.0,41034.0,24625.0,41763.0,36192.0,30217.0,34923.0,38246.0,36727.0,35761.0,32876.0,26208.0,35619.0,43857.0
7,35076.0,34926.0,33601.0,33870.0,37980.0,26343.0,27054.0,40688.0,35065.0,36893.0,35502.0,25344.0,40662.0,45510.0,39833.0,48628.0,40577.0,34425.0,33302.0,27233.0,43348.0,31839.0,46458.0,37906.0,24625.0,41763.0,36192.0,30217.0,34923.0,37029.0,36727.0,35761.0,32876.0,26208.0,35619.0,44373.0
8,35076.0,34926.0,33601.0,33870.0,38574.0,26343.0,27054.0,40688.0,35065.0,36893.0,36257.0,25344.0,40662.0,45510.0,39833.0,48628.0,36253.0,34425.0,33302.0,27233.0,43348.0,31839.0,39650.0,37906.0,24625.0,41763.0,36192.0,30217.0,35048.0,37029.0,36727.0,35761.0,32876.0,26208.0,33906.0,44373.0
9,35076.0,34926.0,33601.0,33870.0,38574.0,26343.0,27054.0,40688.0,35065.0,36529.0,36257.0,25344.0,40662.0,45510.0,39833.0,48628.0,36253.0,34425.0,33302.0,27233.0,43348.0,30751.0,39650.0,37906.0,24625.0,41763.0,36192.0,30217.0,35048.0,37029.0,36727.0,35761.0,32876.0,25789.0,33906.0,44373.0
10,35076.0,34926.0,33601.0,32884.0,38574.0,26343.0,27054.0,40688.0,35862.0,36529.0,36257.0,25344.0,40662.0,45510.0,39833.0,47324.0,36253.0,34425.0,33302.0,27233.0,35221.0,30751.0,39650.0,37906.0,24625.0,41763.0,36192.0,33274.0,35048.0,37029.0,36727.0,35761.0,31954.0,25789.0,33906.0,44373.0
