WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,552.0,718.0,492.0,574.0,1587.0,550.0,558.0,476.0,571.0,532.0,866.0,871.0,1506.0,573.0,716.0,789.0,1535.0,598.0,575.0,1513.0,729.0,615.0,1226.0,510.0,800.0,986.0,1221.0,1328.0,513.0,738.0,1295.0,551.0,1762.0,561.0,579.0,640.0
2,630.0,718.0,573.0,562.0,1574.0,696.0,779.0,506.0,493.0,504.0,803.0,897.0,1516.0,523.0,868.0,755.0,1612.0,862.0,668.0,1418.0,1042.0,640.0,1446.0,557.0,726.0,1387.0,1206.0,1715.0,489.0,683.0,1378.0,567.0,1869.0,546.0,612.0,637.0
3,872.0,702.0,621.0,544.0,1341.0,844.0,937.0,508.0,389.0,503.0,742.0,994.0,1534.0,504.0,849.0,723.0,1652.0,1009.0,824.0,1368.0,1146.0,620.0,1410.0,625.0,703.0,1511.0,1236.0,1814.0,486.0,687.0,1414.0,635.0,1925.0,545.0,630.0,579.0
4,934.0,665.0,805.0,701.0,1255.0,895.0,888.0,513.0,362.0,485.0,720.0,1091.0,1589.0,494.0,805.0,613.0,1662.0,1250.0,909.0,1332.0,1167.0,721.0,1480.0,852.0,692.0,1555.0,1282.0,1787.0,559.0,660.0,1340.0,808.0,2074.0,540.0,629.0,524.0
5,953.0,696.0,977.0,926.0,1261.0,915.0,774.0,541.0,433.0,500.0,710.0,1238.0,1567.0,622.0,789.0,572.0,1797.0,1562.0,1274.0,1306.0,1068.0,692.0,1520.0,929.0,680.0,1538.0,1358.0,1606.0,514.0,894.0,1222.0,980.0,2115.0,566.0,818.0,506.0
6,1121.0,860.0,961.0,1065.0,1227.0,899.0,636.0,556.0,599.0,494.0,901.0,924.0,1430.0,789.0,736.0,590.0,1880.0,1885.0,1808.0,1349.0,1360.0,623.0,1497.0,838.0,791.0,1545.0,1461.0,1502.0,730.0,1129.0,1195.0,995.0,2056.0,801.0,946.0,500.0
7,1629.0,913.0,948.0,1028.0,1181.0,926.0,609.0,588.0,788.0,810.0,886.0,788.0,1227.0,900.0,696.0,596.0,1954.0,1889.0,1899.0,1377.0,1471.0,569.0,1420.0,713.0,876.0,1601.0,1482.0,1436.0,928.0,1083.0,1297.0,935.0,1795.0,829.0,979.0,456.0
8,1608.0,914.0,959.0,839.0,1110.0,901.0,639.0,594.0,781.0,1020.0,1007.0,697.0,1250.0,894.0,692.0,584.0,1892.0,1833.0,1859.0,1330.0,1447.0,587.0,1227.0,687.0,931.0,1598.0,1463.0,1342.0,898.0,1083.0,1492.0,826.0,1577.0,876.0,1016.0,522.0
9,1616.0,985.0,935.0,604.0,991.0,881.0,659.0,555.0,623.0,1022.0,973.0,671.0,1261.0,894.0,990.0,704.0,1744.0,1810.0,1727.0,1207.0,1373.0,588.0,1258.0,681.0,964.0,1516.0,1547.0,1232.0,906.0,747.0,1516.0,682.0,1403.0,896.0,929.0,548.0
10,1378.0,936.0,886.0,564.0,770.0,953.0,663.0,539.0,561.0,965.0,874.0,745.0,1385.0,790.0,928.0,585.0,1753.0,1668.0,1864.0,1203.0,1174.0,545.0,1148.0,673.0,956.0,1423.0,1477.0,1132.0,877.0,825.0,1531.0,731.0,1359.0,723.0,918.0,536.0
11,1065.0,892.0,858.0,502.0,759.0,1030.0,689.0,537.0,632.0,910.0,864.0,768.0,1467.0,600.0,903.0,489.0,1890.0,1473.0,1990.0,1242.0,920.0,521.0,1128.0,621.0,885.0,1337.0,1519.0,1150.0,883.0,943.0,1550.0,839.0,1299.0,546.0,1086.0,529.0
12,965.0,922.0,928.0,488.0,859.0,847.0,757.0,544.0,809.0,925.0,897.0,692.0,1416.0,534.0,832.0,555.0,1638.0,1272.0,1978.0,1178.0,614.0,494.0,1097.0,570.0,808.0,1219.0,1638.0,1424.0,902.0,1468.0,1570.0,873.0,1263.0,570.0,1102.0,541.0
