WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,4411.0,693.0,990.0,1822.0,1050.0,2972.0,5833.0,1330.0,914.0,1070.0,1864.0,873.0,5899.0,2928.0,1495.0,1831.0,2179.0,1173.0,1011.0,1634.0,2119.0,5526.0,1064.0,2863.0,1250.0,3732.0,2357.0,955.0,1431.0,1378.0,1436.0,5563.0,4345.0,3358.0,4524.0,2933.0
2,2726.0,595.0,2267.0,1582.0,2253.0,4778.0,4139.0,1638.0,737.0,1152.0,3005.0,794.0,6856.0,1838.0,1420.0,2721.0,863.0,1389.0,831.0,2732.0,2248.0,5077.0,652.0,1381.0,2074.0,3186.0,2366.0,1720.0,924.0,2396.0,1639.0,4107.0,5213.0,2880.0,5227.0,1447.0
3,1568.0,604.0,4112.0,1872.0,3133.0,4275.0,2344.0,2316.0,679.0,2717.0,4563.0,825.0,2909.0,1240.0,852.0,3912.0,818.0,1344.0,654.0,3082.0,4057.0,5266.0,614.0,1052.0,2802.0,2423.0,2697.0,2272.0,923.0,3658.0,1505.0,2784.0,4620.0,2255.0,5286.0,1251.0
4,959.0,1512.0,6273.0,2293.0,3666.0,3697.0,1790.0,3094.0,2048.0,4511.0,2548.0,1029.0,1431.0,863.0,831.0,3493.0,1881.0,773.0,533.0,2379.0,3318.0,3311.0,1964.0,1006.0,3897.0,2294.0,3392.0,2619.0,3359.0,5969.0,2304.0,3736.0,3905.0,1477.0,4440.0,1043.0
5,874.0,3378.0,6876.0,1992.0,3097.0,1918.0,2331.0,2676.0,2117.0,5875.0,3965.0,1586.0,1207.0,2832.0,740.0,5416.0,3118.0,566.0,802.0,1530.0,3760.0,2981.0,1559.0,1657.0,5856.0,1997.0,2928.0,2142.0,4540.0,3441.0,1685.0,4927.0,2777.0,1750.0,3482.0,1808.0
6,911.0,5049.0,6979.0,1266.0,2932.0,1227.0,1979.0,1870.0,3730.0,4105.0,4082.0,1489.0,1144.0,4917.0,493.0,7400.0,5903.0,502.0,2103.0,1349.0,4501.0,3106.0,6973.0,1455.0,8789.0,2284.0,2319.0,1823.0,4246.0,3474.0,1346.0,4347.0,1910.0,2024.0,2032.0,2349.0
7,939.0,5385.0,6209.0,814.0,4895.0,1004.0,2303.0,1329.0,3643.0,3013.0,2116.0,2604.0,1812.0,5359.0,1490.0,6658.0,4196.0,439.0,2769.0,1942.0,3484.0,3279.0,6748.0,1901.0,5418.0,2299.0,1803.0,1508.0,4778.0,1799.0,960.0,3361.0,2646.0,2187.0,1598.0,1853.0
8,829.0,4310.0,5009.0,755.0,5308.0,950.0,2866.0,2047.0,3225.0,4198.0,1439.0,4483.0,4784.0,5627.0,1797.0,6209.0,4926.0,514.0,1952.0,3341.0,2953.0,4488.0,4906.0,3466.0,4389.0,2303.0,1502.0,1214.0,4019.0,1121.0,682.0,3547.0,1903.0,1526.0,1184.0,1469.0
9,746.0,3689.0,4881.0,729.0,3019.0,1232.0,2568.0,4044.0,3673.0,4083.0,1119.0,3823.0,7605.0,3748.0,1297.0,6493.0,5081.0,1078.0,1724.0,2671.0,2044.0,4522.0,3164.0,6425.0,3524.0,2712.0,1324.0,1178.0,3961.0,1082.0,1040.0,3279.0,1101.0,1084.0,942.0,877.0
10,721.0,2965.0,3822.0,1602.0,1487.0,2946.0,3699.0,5951.0,3917.0,4048.0,1055.0,2457.0,4760.0,4033.0,1058.0,11582.0,9445.0,658.0,752.0,2359.0,2627.0,4174.0,2619.0,7988.0,4266.0,3987.0,1042.0,1929.0,3011.0,1298.0,1892.0,2223.0,1050.0,1577.0,976.0,1014.0
11,1320.0,2890.0,2345.0,1330.0,1182.0,4137.0,3236.0,6478.0,4569.0,2739.0,1151.0,1765.0,3713.0,3541.0,996.0,10344.0,11394.0,866.0,601.0,2395.0,2448.0,5753.0,2593.0,10101.0,4808.0,5972.0,897.0,1201.0,2470.0,1710.0,1888.0,2171.0,1769.0,2274.0,1731.0,2087.0
12,2953.0,3449.0,2741.0,967.0,2534.0,3861.0,2322.0,5975.0,3308.0,1664.0,6362.0,1562.0,3601.0,2997.0,1594.0,7342.0,7423.0,755.0,1216.0,3219.0,2079.0,7992.0,3735.0,12959.0,3410.0,6824.0,1392.0,896.0,3895.0,2015.0,1171.0,3611.0,1707.0,6695.0,1209.0,3002.0
13,3986.0,3093.0,2805.0,1978.0,2713.0,3232.0,2683.0,5003.0,2607.0,1321.0,10977.0,1779.0,4319.0,3030.0,1447.0,7697.0,7757.0,761.0,3150.0,6485.0,2319.0,7653.0,5961.0,10721.0,3294.0,5764.0,1940.0,1784.0,4474.0,3086.0,1108.0,3959.0,2441.0,9595.0,2337.0,3534.0
14,4705.0,3180.0,2485.0,3302.0,3131.0,3790.0,2639.0,5731.0,4005.0,4028.0,5893.0,2996.0,7239.0,3229.0,2359.0,13322.0,6947.0,2400.0,5782.0,5312.0,6601.0,9564.0,11836.0,8350.0,3459.0,5778.0,2310.0,1148.0,6121.0,6185.0,1469.0,3542.0,4324.0,14558.0,2852.0,3217.0
15,4721.0,4238.0,7269.0,3148.0,2669.0,9920.0,3596.0,8575.0,3447.0,9914.0,4767.0,5560.0,4899.0,4568.0,3614.0,14615.0,12966.0,3897.0,10052.0,5278.0,9545.0,7923.0,9241.0,7663.0,5354.0,5748.0,2693.0,3281.0,4391.0,7484.0,2302.0,3569.0,5877.0,14089.0,5247.0,4555.0
