WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,154303.0,0.0,3616.0,96099.0,28336.0,118104.0,195571.0,35083.0,5391.0,2355.0,82141.0,35072.0,190998.0,87980.0,47636.0,29729.0,92753.0,27873.0,0.0,49879.0,33124.0,192736.0,59162.0,105206.0,47206.0,115575.0,142022.0,36908.0,64218.0,45662.0,45683.0,186610.0,174012.0,170415.0,240093.0,105128.0
2,121471.0,0.0,45272.0,64666.0,87166.0,186788.0,156818.0,34802.0,0.0,515.0,145350.0,42075.0,183355.0,52422.0,25365.0,75813.0,23531.0,44479.0,0.0,95371.0,44733.0,135642.0,18583.0,29632.0,86853.0,96338.0,138942.0,55679.0,21986.0,62587.0,46656.0,149187.0,180617.0,166358.0,196858.0,27689.0
3,58880.0,0.0,111549.0,44833.0,112803.0,210678.0,121072.0,76904.0,0.0,111448.0,145321.0,40338.0,114201.0,23654.0,7811.0,120481.0,0.0,27165.0,0.0,89559.0,107265.0,148068.0,26649.0,4327.0,83947.0,80440.0,131952.0,54476.0,18811.0,94517.0,40139.0,115167.0,152925.0,102840.0,220751.0,5217.0
4,19773.0,23810.0,149575.0,34171.0,102939.0,136329.0,99866.0,107653.0,37040.0,133928.0,91532.0,55861.0,50497.0,7386.0,19748.0,102628.0,30670.0,0.0,0.0,51091.0,83005.0,108212.0,56060.0,861.0,118737.0,83778.0,183881.0,68897.0,174817.0,161562.0,50400.0,121574.0,130750.0,56754.0,220822.0,0.0
5,5876.0,74300.0,137981.0,16254.0,95163.0,66131.0,115505.0,76683.0,35040.0,162288.0,130278.0,112771.0,35240.0,52216.0,19737.0,122164.0,89966.0,0.0,8273.0,29735.0,72784.0,101752.0,63800.0,6124.0,186500.0,73376.0,156925.0,60853.0,162866.0,75816.0,29364.0,194708.0,97021.0,96532.0,189855.0,3838.0
6,0.0,108091.0,143650.0,2885.0,95436.0,38560.0,84636.0,48174.0,72516.0,170894.0,192669.0,63447.0,32018.0,116665.0,3694.0,163725.0,138081.0,0.0,47172.0,21231.0,89929.0,110705.0,175016.0,13497.0,191734.0,64431.0,93598.0,43501.0,229158.0,72049.0,20578.0,232495.0,72709.0,101120.0,128291.0,25339.0
7,0.0,98170.0,128234.0,0.0,135026.0,24612.0,124582.0,33992.0,78865.0,167903.0,108782.0,64785.0,61902.0,152665.0,45709.0,168816.0,120789.0,0.0,79285.0,25713.0,63524.0,185876.0,176920.0,56962.0,139199.0,55166.0,70306.0,39399.0,242863.0,37610.0,7861.0,205126.0,83337.0,101560.0,94119.0,16778.0
8,0.0,66219.0,98517.0,0.0,132276.0,19592.0,181196.0,50672.0,71874.0,163584.0,57852.0,116246.0,159612.0,154156.0,63113.0,200766.0,131434.0,4377.0,40793.0,74569.0,43376.0,187752.0,99693.0,82773.0,134306.0,50598.0,56318.0,31348.0,178455.0,13670.0,0.0,204371.0,57626.0,51344.0,47365.0,17955.0
9,0.0,66544.0,143519.0,0.0,72285.0,25043.0,137778.0,126852.0,82406.0,153188.0,33403.0,108736.0,192790.0,80550.0,45442.0,190237.0,128319.0,29709.0,22802.0,66982.0,39858.0,173310.0,53412.0,149440.0,182707.0,68412.0,43967.0,27094.0,154443.0,13640.0,2712.0,177007.0,21210.0,33419.0,28307.0,2709.0
10,0.0,61412.0,138229.0,0.0,32506.0,52287.0,206542.0,199133.0,82739.0,160309.0,27884.0,67108.0,114399.0,76018.0,31219.0,227967.0,163994.0,25761.0,6122.0,49820.0,85854.0,173783.0,53726.0,176518.0,170538.0,129217.0,34846.0,33461.0,133256.0,15590.0,11198.0,118717.0,3417.0,42752.0,23934.0,9024.0
11,15989.0,49687.0,82352.0,506.0,24947.0,86087.0,140191.0,192589.0,86760.0,134238.0,34618.0,40277.0,82197.0,75459.0,26301.0,272148.0,287343.0,35400.0,3293.0,48187.0,68694.0,178055.0,40716.0,210600.0,178079.0,182473.0,32418.0,23052.0,100002.0,26897.0,12897.0,116291.0,18465.0,73360.0,34332.0,37888.0
12,66689.0,44243.0,80477.0,84.0,47099.0,108643.0,106665.0,162713.0,74184.0,81898.0,91751.0,36444.0,94140.0,69957.0,31784.0,237412.0,235809.0,31989.0,25968.0,79791.0,34264.0,176610.0,69489.0,270577.0,124590.0,185597.0,53433.0,4283.0,153896.0,28658.0,10339.0,168037.0,8789.0,137042.0,37253.0,65480.0
13,98480.0,32068.0,82693.0,13378.0,57758.0,108187.0,120090.0,139681.0,61556.0,55646.0,141549.0,43289.0,109289.0,67528.0,26025.0,253037.0,276846.0,25832.0,69841.0,139711.0,35663.0,196589.0,120873.0,273907.0,131198.0,149874.0,67333.0,10679.0,168665.0,61642.0,21422.0,166441.0,42950.0,176466.0,59274.0,89100.0
14,101995.0,46742.0,75667.0,67362.0,75250.0,129592.0,136718.0,134471.0,77480.0,87801.0,130117.0,60053.0,154146.0,52601.0,40760.0,412253.0,243891.0,66335.0,104390.0,122040.0,100115.0,259989.0,243725.0,282370.0,153832.0,140008.0,96486.0,7196.0,177101.0,89121.0,25018.0,139939.0,83497.0,357077.0,70688.0,78424.0
15,92287.0,78144.0,141654.0,73729.0,65523.0,192294.0,182494.0,155820.0,94956.0,150634.0,130991.0,101043.0,119025.0,72366.0,74233.0,504087.0,385473.0,95892.0,189767.0,101775.0,178490.0,243895.0,224387.0,279041.0,174473.0,142291.0,137065.0,66562.0,179208.0,126150.0,29080.0,138750.0,109800.0,472542.0,118483.0,109760.0
16,158655.0,124636.0,289861.0,62631.0,107993.0,363368.0,184939.0,295189.0,145875.0,299265.0,233092.0,264704.0,169531.0,99126.0,74983.0,498857.0,484427.0,137423.0,309397.0,276056.0,295014.0,295228.0,209829.0,293390.0,243721.0,161666.0,170848.0,141095.0,309863.0,175412.0,46055.0,130292.0,199628.0,534423.0,176943.0,189101.0
17,276798.0,187603.0,482372.0,103018.0,136762.0,495189.0,149058.0,393272.0,330211.0,424954.0,583925.0,467022.0,216847.0,140887.0,79882.0,362016.0,491341.0,233912.0,299442.0,549817.0,532213.0,391726.0,487109.0,340216.0,394521.0,176554.0,220489.0,258787.0,574596.0,232943.0,71724.0,244807.0,414103.0,577696.0,180543.0,336272.0
18,406516.0,329598.0,616312.0,143961.0,420777.0,538349.0,159315.0,509656.0,471494.0,593144.0,635312.0,541391.0,354515.0,170751.0,112442.0,345581.0,452016.0,351555.0,292730.0,667216.0,632645.0,656187.0,588468.0,434077.0,568098.0,172230.0,238861.0,322540.0,501397.0,430954.0,154897.0,415443.0,567690.0,611592.0,246129.0,562151.0
19,578640.0,541408.0,654771.0,316847.0,384778.0,566077.0,274196.0,611402.0,584451.0,723977.0,520899.0,572711.0,499843.0,314844.0,288673.0,360024.0,572281.0,409492.0,367972.0,627758.0,610098.0,737597.0,633019.0,540579.0,579742.0,353010.0,313426.0,410793.0,549554.0,544324.0,360145.0,524952.0,651750.0,587574.0,287387.0,632582.0
20,675338.0,654393.0,674301.0,531468.0,426852.0,563825.0,488843.0,583023.0,581068.0,682880.0,612523.0,682863.0,551769.0,572786.0,560080.0,585095.0,699572.0,535349.0,448360.0,624651.0,625805.0,759121.0,549768.0,519767.0,457700.0,603524.0,554843.0,538731.0,644812.0,655009.0,522416.0,641711.0,704512.0,585415.0,653961.0,637791.0
21,667252.0,682529.0,665603.0,626857.0,608793.0,594525.0,659006.0,549117.0,662627.0,607073.0,672386.0,669791.0,580603.0,674172.0,644093.0,628838.0,617953.0,665749.0,543206.0,672247.0,663682.0,769833.0,603757.0,556774.0,489463.0,639318.0,724982.0,633540.0,629508.0,628449.0,592570.0,729539.0,718542.0,551575.0,774912.0,655820.0
22,679159.0,662933.0,587139.0,636427.0,689025.0,619114.0,684687.0,619425.0,660280.0,718511.0,685511.0,670068.0,651662.0,666484.0,616815.0,712138.0,446258.0,732682.0,571333.0,674631.0,620457.0,755791.0,626414.0,662301.0,590916.0,624113.0,766345.0,640718.0,725431.0,602783.0,651904.0,755662.0,677939.0,540914.0,820044.0,657827.0
23,673037.0,647885.0,543620.0,616238.0,678357.0,560605.0,714457.0,660925.0,655417.0,747862.0,598158.0,605980.0,665384.0,675648.0,629784.0,751225.0,288712.0,733074.0,617142.0,572648.0,512132.0,740015.0,592350.0,693583.0,680082.0,611409.0,773723.0,621255.0,756786.0,526413.0,703629.0,765279.0,617409.0,493245.0,774912.0,595912.0
24,639007.0,576881.0,537762.0,610375.0,682658.0,518486.0,719831.0,665285.0,540399.0,757043.0,453726.0,533777.0,697068.0,621609.0,538280.0,758472.0,242533.0,612182.0,589163.0,395978.0,388900.0,728660.0,526897.0,719222.0,702096.0,566927.0,754645.0,636701.0,768175.0,432865.0,714656.0,746721.0,520532.0,453440.0,743785.0,518078.0
25,577442.0,447200.0,442316.0,489910.0,532573.0,443323.0,716683.0,684814.0,397758.0,757932.0,370103.0,469093.0,706213.0,519388.0,415586.0,772393.0,281990.0,416953.0,548584.0,319176.0,255920.0,741631.0,533029.0,706127.0,703020.0,520472.0,743950.0,597765.0,741218.0,322878.0,588665.0,701032.0,448420.0,414514.0,535171.0,453532.0
26,502876.0,343990.0,332281.0,398155.0,437719.0,385702.0,705168.0,676174.0,290782.0,723983.0,283487.0,385410.0,660259.0,404460.0,328710.0,725785.0,194252.0,288351.0,502475.0,248673.0,215667.0,739532.0,497075.0,664091.0,670351.0,493962.0,682826.0,456360.0,707419.0,270445.0,383200.0,676208.0,399098.0,374521.0,237453.0,374753.0
27,407578.0,250716.0,346071.0,336529.0,327918.0,362988.0,658762.0,621699.0,287619.0,589962.0,228308.0,279720.0,575327.0,327248.0,240398.0,726840.0,191924.0,200667.0,442416.0,214776.0,180467.0,684871.0,592957.0,603177.0,642667.0,506439.0,615031.0,369305.0,636292.0,258821.0,242980.0,670041.0,350603.0,275055.0,152583.0,285001.0
28,327486.0,216515.0,377289.0,242330.0,307943.0,364139.0,573292.0,503032.0,232397.0,560778.0,252490.0,183743.0,477700.0,275748.0,201818.0,684540.0,143726.0,147899.0,366005.0,216242.0,195636.0,612508.0,466047.0,553142.0,588764.0,502690.0,601398.0,320560.0,519830.0,172858.0,186687.0,645705.0,341358.0,276372.0,207840.0,225888.0
