WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,22081.0,0.0,0.0,0.0,0.0,47189.0,63031.0,0.0,0.0,0.0,0.0,0.0,109655.0,54386.0,0.0,0.0,0.0,0.0,0.0,0.0,1230.0,144702.0,0.0,47834.0,13907.0,31713.0,60823.0,0.0,0.0,0.0,0.0,105830.0,63726.0,45143.0,105945.0,0.0
2,0.0,0.0,2361.0,0.0,53527.0,54043.0,39062.0,8112.0,0.0,0.0,82505.0,0.0,47556.0,8382.0,0.0,0.0,0.0,0.0,0.0,4001.0,0.0,76890.0,0.0,0.0,42677.0,0.0,80299.0,0.0,0.0,12432.0,0.0,34357.0,62313.0,53403.0,123609.0,0.0
3,0.0,0.0,52698.0,0.0,47006.0,80098.0,44333.0,37887.0,0.0,32922.0,44282.0,0.0,3515.0,0.0,0.0,41875.0,0.0,0.0,0.0,5335.0,80769.0,116271.0,0.0,0.0,31507.0,0.0,73966.0,0.0,0.0,94686.0,16187.0,13071.0,55114.0,20639.0,154548.0,0.0
4,0.0,6818.0,89344.0,0.0,35104.0,39043.0,31851.0,38464.0,0.0,30030.0,0.0,2472.0,0.0,0.0,0.0,36504.0,0.0,0.0,0.0,0.0,32307.0,43319.0,0.0,0.0,41614.0,0.0,83612.0,0.0,93143.0,126073.0,40466.0,42926.0,14725.0,2139.0,126465.0,0.0
5,0.0,9091.0,69901.0,0.0,752.0,0.0,54777.0,3160.0,0.0,48690.0,0.0,14829.0,0.0,7881.0,0.0,98375.0,0.0,0.0,0.0,0.0,48033.0,76504.0,6543.0,0.0,55767.0,0.0,51577.0,0.0,80615.0,40516.0,0.0,104201.0,0.0,50810.0,111891.0,806.0
6,0.0,25268.0,93601.0,0.0,19756.0,0.0,0.0,0.0,0.0,8988.0,51590.0,4998.0,0.0,10508.0,0.0,139096.0,94729.0,0.0,0.0,0.0,23447.0,83621.0,112286.0,1952.0,62886.0,820.0,36678.0,0.0,90263.0,44904.0,0.0,90415.0,0.0,46740.0,11002.0,4833.0
7,0.0,33691.0,54447.0,0.0,70529.0,0.0,18969.0,0.0,45192.0,36800.0,0.0,33298.0,24986.0,53178.0,0.0,83738.0,8299.0,0.0,0.0,10888.0,1693.0,75576.0,82341.0,13164.0,580.0,22705.0,23702.0,0.0,101692.0,0.0,0.0,51911.0,0.0,52028.0,0.0,0.0
8,0.0,0.0,31077.0,0.0,79177.0,0.0,52713.0,2366.0,35253.0,18453.0,0.0,19863.0,98035.0,71450.0,0.0,64473.0,0.0,0.0,0.0,55670.0,0.0,109519.0,8025.0,24863.0,6340.0,28815.0,0.0,0.0,106416.0,0.0,0.0,63103.0,0.0,7608.0,0.0,0.0
9,0.0,0.0,93758.0,0.0,0.0,0.0,40513.0,38530.0,19721.0,17616.0,0.0,0.0,101965.0,728.0,0.0,54451.0,39860.0,0.0,0.0,41153.0,0.0,88652.0,0.0,123463.0,18500.0,41459.0,0.0,0.0,78250.0,0.0,0.0,22740.0,0.0,0.0,0.0,0.0
10,0.0,0.0,61932.0,0.0,0.0,0.0,83745.0,82872.0,15022.0,22386.0,0.0,0.0,32598.0,0.0,0.0,111112.0,100275.0,0.0,0.0,0.0,40503.0,89271.0,0.0,151036.0,31180.0,78067.0,0.0,0.0,38081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
