DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,3338.0,2250.0,2004.0,3024.0,1637.0,3509.0,3922.0,2544.0,2712.0,2323.0,2943.0,2026.0,4504.0,3362.0,1710.0,1408.0,1640.0,2507.0,1978.0,1867.0,2867.0,3386.0,2089.0,3598.0,2682.0,4087.0,3005.0,2449.0,2519.0,1689.0,2287.0,3842.0,4054.0,3617.0,4047.0,2284.0
2,3338.0,2250.0,2004.0,3024.0,1637.0,3509.0,3922.0,2544.0,2712.0,2262.0,2943.0,2026.0,4504.0,3362.0,1710.0,1408.0,1640.0,2507.0,1978.0,1867.0,2867.0,4506.0,2089.0,3598.0,2682.0,4087.0,3005.0,2449.0,2519.0,1689.0,2287.0,3842.0,4054.0,3951.0,4047.0,2284.0
3,3338.0,2250.0,2004.0,2548.0,1637.0,3509.0,3922.0,2544.0,2216.0,2262.0,2943.0,2026.0,4504.0,3362.0,1710.0,1711.0,1640.0,2507.0,1978.0,1867.0,1868.0,4506.0,2089.0,3598.0,2682.0,4087.0,3005.0,2228.0,2519.0,1689.0,2287.0,3842.0,3043.0,3951.0,4047.0,2284.0
4,3338.0,2250.0,1974.0,2548.0,1637.0,3509.0,3922.0,2544.0,2216.0,2262.0,2943.0,2026.0,4504.0,3362.0,1712.0,1711.0,1640.0,2507.0,1978.0,1867.0,1868.0,4506.0,2089.0,3598.0,2682.0,4087.0,3324.0,2228.0,2519.0,1689.0,2287.0,3842.0,3043.0,3951.0,4047.0,2284.0
5,3338.0,2190.0,1974.0,2548.0,1637.0,3509.0,3922.0,2278.0,2216.0,2262.0,2943.0,2026.0,4504.0,2789.0,1712.0,1711.0,1640.0,2507.0,1978.0,2004.0,1868.0,4506.0,2089.0,3598.0,2682.0,2779.0,3324.0,2228.0,2519.0,1689.0,2287.0,3616.0,3043.0,3951.0,4047.0,2284.0
6,2477.0,2190.0,1974.0,2548.0,1637.0,3509.0,3686.0,2278.0,2216.0,2262.0,2943.0,2026.0,3937.0,2789.0,1712.0,1711.0,1640.0,2507.0,1986.0,2004.0,1868.0,4506.0,2089.0,3598.0,3099.0,2779.0,3324.0,2228.0,2519.0,1689.0,2482.0,3616.0,3043.0,3951.0,4047.0,2284.0
7,2477.0,2190.0,1974.0,2548.0,1637.0,3673.0,3686.0,2278.0,2216.0,2262.0,2943.0,2075.0,3937.0,2789.0,1712.0,1711.0,1640.0,2454.0,1986.0,2004.0,1868.0,4506.0,2089.0,1522.0,3099.0,2779.0,3324.0,2228.0,2519.0,2534.0,2482.0,3616.0,3043.0,3951.0,4047.0,1730.0
8,2477.0,2190.0,1974.0,2548.0,3081.0,3673.0,3686.0,2278.0,2216.0,2262.0,4069.0,2075.0,3937.0,2789.0,1712.0,1711.0,1779.0,2454.0,1986.0,2004.0,1868.0,4506.0,1817.0,1522.0,3099.0,2779.0,3324.0,2228.0,2415.0,2534.0,2482.0,3616.0,3043.0,3951.0,4184.0,1730.0
9,2477.0,2190.0,1974.0,2548.0,3081.0,3673.0,3686.0,2278.0,2216.0,1986.0,4069.0,2075.0,3937.0,2789.0,1712.0,1711.0,1779.0,2454.0,1986.0,2004.0,1868.0,3881.0,1817.0,1522.0,3099.0,2779.0,3324.0,2228.0,2415.0,2534.0,2482.0,3616.0,3043.0,4023.0,4184.0,1730.0
10,2477.0,2190.0,1974.0,2468.0,3081.0,3673.0,3686.0,2278.0,2196.0,1986.0,4069.0,2075.0,3937.0,2789.0,1712.0,2656.0,1779.0,2454.0,1986.0,2004.0,2621.0,3881.0,1817.0,1522.0,3099.0,2779.0,3324.0,2454.0,2415.0,2534.0,2482.0,3616.0,3421.0,4023.0,4184.0,1730.0
