WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,415125.2,115003.4,26815.0,468455.0,245955.6,54218.4,27888.2,8651.2,113074.2,61341.4,195132.0,64946.6,69181.2,283172.8,367033.0,121998.8,87138.6,31212.0,286010.4,329382.8,69128.8,32352.4,413822.2,137192.4,12265.0,34204.4,10876.0,184965.8,78438.2,35949.8,0.0,14725.8,175588.4,871149.2,3180.8,88383.2
2,394992.0,108866.0,22082.0,287748.0,333320.0,3959.0,16676.0,26555.0,212607.0,0.0,8424.0,48454.0,79575.0,382679.0,204341.0,87774.0,13866.0,0.0,274400.0,300841.0,181063.0,53533.0,272707.0,0.0,7606.0,17049.0,22072.0,173519.0,35438.0,22513.0,4994.0,57781.0,125440.0,0.0,50328.0,60305.0
3,247334.0,209681.0,29631.0,193681.0,143612.0,50929.0,15662.0,60654.0,72327.0,57079.0,34304.0,96869.0,84101.0,162842.0,220846.0,0.0,64682.0,56552.0,161079.0,307205.0,134383.0,45409.0,329542.0,143247.0,7657.0,16735.0,20053.0,156000.0,271090.0,59547.0,9035.0,25363.0,106591.0,11161.0,41107.0,41247.0
4,247233.6,246869.2,21619.4,472181.0,82454.8,81184.0,12385.6,47813.2,29460.0,45343.6,32106.4,90280.0,116979.0,127857.6,160695.6,121582.2,56831.8,39285.6,115420.4,141136.0,87093.6,57219.4,281106.0,241809.0,8164.2,89513.6,12586.4,105964.2,196372.6,228919.0,13021.6,19879.4,22901.6,19357.4,31253.0,32651.8
5,224253.0,163674.0,18647.8,252829.8,105774.8,98022.4,10687.6,30884.6,8406.8,0.0,86465.0,176984.0,97283.0,98061.4,223744.4,288147.0,30245.6,122309.0,82721.0,81752.0,85240.0,118432.0,182262.0,139653.0,6034.8,32349.6,11156.8,107048.0,20559.8,225005.0,209748.2,17848.6,77198.6,16649.0,17745.8,20612.6
6,209092.2,314678.0,14424.8,412154.4,100271.0,60144.2,10350.6,24777.4,30313.0,88768.4,79142.8,83383.0,65443.4,166555.0,299388.6,137612.0,50702.4,41257.2,68006.0,100668.0,54162.8,50560.8,162580.8,89729.2,10153.0,87119.0,8732.0,72402.6,87544.2,191083.2,92172.4,17205.0,5297.2,15357.8,24711.0,17348.0
7,172590.0,317475.0,32169.0,179653.0,87562.0,43616.0,6209.0,20227.0,27590.8,218737.0,286294.0,72181.0,55100.0,312329.0,367613.0,101433.0,30750.0,64720.0,134960.0,115845.0,59785.0,111567.6,154834.0,267533.0,4669.0,35965.0,7978.0,56743.0,85891.0,90056.0,108816.0,30884.0,65587.2,11794.0,18799.0,64372.8
8,112663.6,191382.0,63908.0,110746.0,142617.0,0.0,7138.0,17869.0,59665.0,183669.0,268842.0,55534.0,36451.0,132940.0,236946.0,77731.0,33106.0,54087.0,160306.0,440902.0,69882.8,93548.0,176201.0,124317.0,44084.0,26725.0,9287.0,51619.4,91925.0,56945.0,22143.0,12739.0,67619.0,28251.0,13508.0,45741.0
9,119560.8,155564.0,83278.4,346422.6,123857.8,77552.0,0.0,25992.0,99164.0,139457.0,217023.2,125026.2,59070.2,132508.8,186667.0,57224.6,0.0,51009.8,76511.4,435753.8,57395.2,87376.6,216400.0,103965.6,129083.0,40971.4,0.0,45488.6,84280.6,44787.2,48456.6,13367.8,52731.0,61424.0,12812.6,139821.6
10,52487.0,102239.0,77358.0,494509.6,74996.0,38154.0,4468.6,58622.2,292604.0,138128.0,118371.0,122398.0,53356.0,92160.0,117473.0,41455.0,23062.0,35970.0,68780.0,228399.0,37792.0,47369.0,107468.0,123810.0,58465.4,34647.8,6878.2,43052.0,234657.0,50477.0,47161.0,23530.8,38649.4,50204.0,10830.6,318258.0
11,45401.0,73045.2,51118.4,298698.0,54357.0,72280.0,1854.0,52424.0,230152.0,69883.0,96828.0,59596.0,53519.0,62576.0,77517.4,37562.0,21657.8,26676.6,87137.0,139823.0,30695.4,38118.0,81681.0,85575.0,30866.0,130352.0,1912.0,40580.0,206470.0,32536.0,28884.0,19374.6,30698.0,56250.0,12677.0,339707.8
12,70634.0,92049.0,233805.6,536181.4,43350.0,34816.0,7121.6,36920.0,128049.0,37888.0,85119.0,53181.0,73250.0,54849.2,57149.2,32670.0,16372.0,18882.0,60460.8,189471.0,28920.8,61024.8,66780.0,64605.0,23571.4,77838.0,28223.2,36295.0,203607.0,28406.4,35470.2,18225.0,32341.0,55833.6,17117.8,156819.8
13,107225.2,84916.8,131795.6,342620.4,41889.8,51627.8,5072.0,48843.8,72935.4,40531.2,78327.6,35210.2,165488.2,163841.8,81056.8,32496.8,25306.0,19830.2,75231.4,191558.6,14440.8,54139.6,103005.0,59757.8,20967.6,47803.2,80802.2,58733.2,362842.6,14405.0,40268.0,43135.6,21821.8,63410.4,11075.8,122388.4
14,93054.6,139575.8,90799.6,179735.4,27786.8,55821.4,3345.4,25066.6,56742.8,28352.4,44590.8,38249.6,115913.2,146152.0,114432.6,46344.8,34381.0,9968.0,43331.4,135950.2,14062.0,151485.4,107054.8,31068.0,25919.0,35611.2,36395.2,175547.2,352526.4,12626.6,25254.6,90304.8,19322.8,45248.4,10319.8,213184.6
15,55566.0,127973.4,73116.4,114988.8,0.0,0.0,2080.8,0.0,0.0,0.0,0.0,1276.2,77407.0,190394.2,61126.8,0.0,11037.6,0.0,0.0,72373.0,0.0,84467.2,114589.8,0.0,27762.6,0.0,0.0,125282.2,216028.8,0.0,0.0,0.0,0.0,0.0,25890.4,175498.2
16,38654.2,88393.2,27389.6,88274.6,6775.0,21546.0,43552.0,27285.0,0.0,10400.0,52749.6,104676.6,32333.2,217791.4,48608.0,0.0,219656.6,10676.0,22524.6,102368.0,0.0,14125.0,137999.8,20752.0,38327.0,0.0,25978.0,147160.2,109906.8,25728.0,11689.8,22097.0,10753.0,40919.0,27245.4,87841.6
17,33525.0,76973.4,0.0,99044.2,39894.0,0.0,7704.6,71294.0,27692.4,0.0,16476.8,52818.4,0.0,118796.0,58936.2,24344.0,185422.2,0.0,0.0,62931.4,11169.0,0.0,158030.8,29151.0,2903.2,19498.0,0.0,79282.2,81648.0,0.0,5429.0,0.0,0.0,0.0,2165.2,52410.0
18,36924.8,40635.6,11051.2,64462.6,21448.6,11827.0,92606.2,62319.2,18768.6,21525.6,47628.0,81751.2,53464.2,81005.2,30139.4,27650.0,126109.2,61991.6,5146.6,41224.8,31236.0,30270.8,96668.2,25841.4,10755.6,32308.2,25904.6,67818.8,55477.0,14779.4,21656.0,9762.8,19389.2,29810.2,27841.0,41404.8
19,39827.0,26383.4,9750.6,53072.2,29228.0,8807.8,46270.8,31996.6,3291.2,0.0,29862.0,40182.4,18104.8,164604.8,3860.4,0.0,107482.2,0.0,24796.6,49719.8,21573.6,20641.2,51959.8,18255.2,20417.4,3214.6,12864.8,48023.6,43300.6,611.4,40906.0,8357.0,2100.2,55470.4,12873.6,26417.8
20,69731.8,0.0,0.0,45449.8,141898.8,0.0,22018.6,45189.6,2295.6,2482.2,15084.4,11836.8,23586.0,95860.2,9242.6,11542.2,0.0,5645.4,7167.2,0.0,33669.2,25724.2,14599.6,37534.8,17268.8,24959.4,32202.2,0.0,8918.4,11684.4,16141.4,24758.2,23667.6,18089.0,37331.4,15723.4
21,53132.0,30121.0,6670.0,61705.0,136315.0,18967.0,27629.0,39508.0,17045.0,21654.0,30130.0,20635.0,64420.0,54880.2,44037.0,8756.0,60763.4,10587.0,33741.0,26139.0,34344.0,24818.0,42527.0,24314.0,11956.0,34994.0,14104.0,35704.4,39682.0,11611.0,17068.0,13373.0,8980.0,50705.0,95587.0,28238.0
22,10607.4,28555.0,8952.0,15778.8,34431.0,3315.0,16003.0,27576.0,14677.0,0.0,17978.0,16558.4,39448.8,26484.8,19285.2,5499.0,55768.4,9495.0,15672.0,25897.8,36169.0,0.0,27136.0,14067.0,24478.0,19687.0,12696.0,53371.4,19753.4,7112.0,12470.0,26841.0,11573.0,35993.0,65864.0,23449.0
23,4758.0,20724.0,966.0,21725.0,17598.0,620.0,6584.0,18380.0,1937.0,0.0,0.0,0.0,49976.2,31045.0,25595.0,3890.0,19731.4,0.0,0.0,21934.0,65539.8,0.0,12233.0,10885.0,9377.0,17289.0,2853.0,9416.8,21875.0,36878.0,2450.0,15675.0,8755.0,16600.0,32789.0,28374.0
24,3866.4,11395.6,1638.6,6830.8,0.0,2236.0,13527.0,5478.2,0.0,10517.4,0.0,12793.0,12182.6,12290.8,10725.6,9688.4,999.2,0.0,3547.8,18613.0,13879.6,0.0,10699.6,13700.0,14703.2,20990.0,9602.2,0.0,10014.8,16460.8,0.0,21494.4,11559.8,18727.0,0.0,0.0
25,22162.6,34576.2,8257.0,13263.8,12984.0,5161.8,13343.2,7874.2,3134.0,46023.4,12393.2,17918.4,41215.2,36921.6,25595.6,1546.2,12090.2,1774.0,1732.0,15630.2,29754.2,9530.6,13156.2,10197.8,8890.4,17690.4,2519.0,7983.2,12900.4,6097.8,1891.4,9006.2,11563.8,12337.0,18364.0,14115.4
26,0.0,17530.0,3185.0,1644.0,8133.0,6826.0,4241.0,9783.0,0.0,18303.0,2481.0,0.0,39922.0,12095.0,1470.0,71.0,7520.0,0.0,0.0,1504.0,15063.0,4047.0,0.0,12378.0,5881.0,13526.0,5683.0,2329.0,635.0,9986.0,2890.0,8891.0,11917.0,11159.0,16668.0,17311.0
27,16138.0,0.0,5322.0,19624.8,11231.0,4242.0,5887.0,7567.0,11193.0,20231.0,8031.0,4372.0,20332.0,8794.8,15846.0,0.0,11639.0,0.0,0.0,7564.4,14584.0,6217.0,15670.0,5755.0,2293.0,12165.0,2873.0,9908.4,30268.0,4945.0,3795.0,5404.0,2190.0,8981.0,15541.0,20430.0
28,2378.0,4100.0,5580.0,19544.4,9427.0,6420.0,2565.0,6836.0,7996.0,14468.0,4355.0,1280.0,4646.0,1975.8,6041.0,0.0,5200.0,0.0,0.0,4520.0,10981.0,7988.0,14989.0,11157.0,1837.0,15390.0,4585.0,9936.0,10165.0,3185.0,985.0,4931.0,2505.8,8644.0,10239.0,17498.4
29,0.0,15721.6,6613.8,19669.2,7441.8,5833.6,2072.0,9689.8,5394.2,12607.2,3524.2,8099.6,0.0,0.0,0.0,823.6,9551.2,0.0,1247.4,0.0,11495.6,7783.2,0.0,7174.0,731.6,16365.0,1380.6,0.0,1939.2,11426.6,476.8,3926.6,2778.6,6996.2,9458.2,0.0
30,5512.2,7819.0,6289.0,13017.4,5538.0,5184.0,4071.0,4860.0,3724.0,13339.0,1869.0,56.0,0.0,6047.8,6566.0,0.0,0.0,0.0,2308.0,3588.0,7322.0,3100.0,0.0,5336.0,0.0,12713.0,2184.0,0.0,20992.0,8724.0,0.0,2495.0,1118.0,4444.0,7285.0,0.0
31,4290.2,4767.0,3508.0,13632.4,6770.0,3940.0,1867.0,5176.0,3384.0,6448.0,1109.0,0.0,2322.8,5409.6,5727.0,0.0,2771.0,0.0,4525.0,1854.0,4389.0,1715.0,12717.0,4506.0,0.0,6721.0,0.0,5268.0,9876.0,4566.0,0.0,2363.0,269.0,3109.0,2508.0,18240.0
32,0.0,4948.0,0.0,8999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6510.6,0.0,0.0,0.0,0.0,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5401.0,6263.0,0.0,0.0,0.0,0.0,0.0,0.0,670.4
33,0.0,0.0,0.0,0.0,4699.8,18796.0,5214.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2668.6,0.0,0.0,0.0
34,0.0,3938.8,4150.8,6232.4,6094.6,18036.0,2193.0,1217.0,2429.4,4212.6,1498.6,3115.0,2372.2,339.0,2035.6,0.0,4783.0,0.0,4444.0,0.0,6572.6,1572.8,7184.2,4966.2,162.0,6446.0,0.0,2777.0,353.6,139.0,0.0,1280.0,125.4,2234.8,4619.0,1863.0
35,2934.6,7978.0,2907.0,7124.0,6018.2,8607.6,0.0,2341.0,4861.6,5443.0,3860.2,0.0,3671.2,80.0,4522.0,0.0,6251.2,0.0,4957.0,3926.0,7679.0,5343.0,12033.0,4828.0,1465.0,8137.0,1221.0,6666.2,11222.0,990.2,0.0,16542.0,2796.0,4448.0,2996.0,4280.0
36,5323.0,4726.8,4663.0,0.0,5256.0,10939.0,1444.4,4829.0,3924.0,1682.8,4988.8,0.0,8214.0,0.0,5389.0,2048.0,13709.0,0.0,6632.0,3519.0,4745.0,6963.6,11877.0,14512.8,1088.6,11770.2,1113.0,9472.0,1050.6,1761.8,0.0,6585.2,3481.2,10666.4,13512.0,0.0
37,15437.0,11778.0,5596.4,0.0,13039.0,7652.0,1238.4,2656.0,8400.2,4670.6,69644.0,619.0,9069.2,4678.0,11151.0,381.6,9575.0,45970.0,3676.4,6091.0,4539.0,204.8,14508.6,12086.0,851.0,5594.4,4148.4,7973.0,0.0,0.0,1858.8,2812.6,3658.2,7480.8,24012.0,2276.0
38,15423.0,5382.0,9922.0,0.0,7261.0,3680.0,6068.0,118839.0,4277.0,5487.0,14766.0,6293.0,9070.0,6191.0,39154.0,172.0,10134.0,13438.0,2099.0,4332.0,6045.0,4414.0,10733.0,11467.0,134.0,19832.0,0.0,9846.0,1995.2,1739.0,1776.0,3980.0,5102.2,9556.0,13511.0,5416.0
39,10124.8,6302.0,14646.6,10299.0,10087.8,3816.4,16902.0,54898.2,14210.0,4436.0,10100.0,897.0,9514.0,5347.0,20081.2,7.0,12088.4,3502.4,2528.0,5514.6,6057.4,41190.0,7920.0,6019.0,244.0,14221.0,252.0,50345.0,32228.8,1112.0,491.0,18256.0,17448.0,23949.2,9754.0,5489.0
40,11907.8,0.0,30818.2,0.0,5970.8,0.0,18377.2,32131.2,11207.4,0.0,0.0,8321.0,32010.4,0.0,12965.0,442.4,0.0,44762.8,0.0,27299.2,0.0,28192.0,12026.2,7090.6,95.2,23855.0,240.2,22850.4,32426.8,10425.8,9232.4,19596.4,38552.4,55934.8,68999.4,15248.2
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7918.2,69785.0,0.0,0.0,0.0,0.0,44705.0,0.0,57278.0,0.0,0.0,0.0,0.0,988.4,0.0,0.0,0.0,0.0,0.0,22938.0,0.0,262242.2,0.0
42,22083.0,2923.0,70722.0,32798.0,14636.0,94748.0,31828.0,52541.0,11107.0,1903.0,7968.0,18156.0,23071.0,3659.0,174275.0,38110.0,18209.0,16892.0,0.0,14119.0,55852.0,288295.0,29661.0,3502.0,2893.0,80589.0,14941.0,14883.0,20511.0,8305.0,0.0,10662.4,34471.0,35825.0,193012.0,8829.0
43,10433.8,4305.4,293061.0,51911.2,70749.0,82590.0,18212.2,274727.0,9078.2,2447.6,13976.0,57216.8,33313.2,10297.2,24377.8,77052.4,10302.0,40141.8,50771.6,12411.0,54235.4,88579.0,20935.4,44378.4,21327.6,142615.6,22806.4,18874.2,143511.0,39497.8,0.0,24895.0,22587.4,28019.4,59422.0,14084.6
