WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,74008.0,89469.0,100687.0,84684.0,100932.0,82444.0,97721.0,53708.0,94518.0,93754.0,65364.0,67093.0,65397.0,93861.0,52222.0,64586.0,58218.0,63613.0,86760.0,108693.0,91888.0,68471.0,50899.0,84385.0,74830.0,43992.0,75026.0,74022.0,85150.0,78160.0,97295.0,76760.0,50371.0,69718.0,80085.0,79757.0
2,71513.0,87273.0,99508.0,77160.0,99248.0,77000.0,96469.0,55893.0,91765.0,96051.0,59969.0,69503.0,63362.0,94428.0,55579.0,61743.0,62571.0,63400.0,102398.0,103101.0,95166.0,62663.0,59828.0,82538.0,72084.0,47878.0,73902.0,76345.0,81988.0,70665.0,96059.0,68884.0,47807.0,68752.0,78219.0,74259.0
3,69864.0,85655.0,97199.0,74290.0,100333.0,76426.0,94573.0,54503.0,90983.0,96204.0,57069.0,67101.0,59624.0,94507.0,54670.0,58366.0,81668.0,63629.0,102607.0,99586.0,96759.0,54981.0,55344.0,83307.0,70592.0,53053.0,70924.0,73696.0,79011.0,66997.0,94319.0,60668.0,45483.0,70020.0,76547.0,75007.0
4,67589.0,84370.0,95223.0,75887.0,99380.0,76929.0,91914.0,49627.0,88377.0,96256.0,61954.0,60244.0,59083.0,97354.0,52280.0,61260.0,77156.0,66266.0,102586.0,95389.0,93264.0,51839.0,52843.0,82965.0,70355.0,51929.0,68948.0,70510.0,78045.0,68188.0,91103.0,59987.0,45199.0,72652.0,76385.0,72054.0
5,66108.0,86328.0,94697.0,83075.0,96666.0,71230.0,89271.0,46389.0,88978.0,89898.0,63255.0,56315.0,57319.0,99307.0,53727.0,57783.0,78305.0,59809.0,103038.0,90392.0,88585.0,60413.0,60471.0,85136.0,68723.0,49152.0,67137.0,68489.0,71265.0,65320.0,87601.0,59570.0,47440.0,74780.0,77302.0,70299.0
6,67951.0,88439.0,92144.0,81562.0,96400.0,71417.0,86263.0,45118.0,89323.0,94487.0,64340.0,60667.0,55108.0,97770.0,48622.0,54935.0,76281.0,52943.0,95380.0,89124.0,81308.0,62088.0,54597.0,80122.0,64967.0,48200.0,66148.0,66159.0,72320.0,63213.0,82747.0,56293.0,51559.0,70383.0,74794.0,71234.0
7,68954.0,84241.0,87365.0,76657.0,96149.0,66622.0,76840.0,47295.0,82155.0,91326.0,64302.0,57489.0,49882.0,93991.0,43787.0,57508.0,73767.0,45140.0,90698.0,91371.0,79727.0,54338.0,49575.0,77879.0,60041.0,46675.0,67064.0,60486.0,67663.0,62713.0,84247.0,54575.0,52622.0,62583.0,71868.0,70210.0
8,70218.0,78902.0,82958.0,71129.0,90178.0,65652.0,67012.0,48918.0,75146.0,83631.0,53501.0,50590.0,45641.0,87037.0,42979.0,56619.0,79305.0,47077.0,91061.0,91682.0,78191.0,54106.0,50877.0,78568.0,53225.0,42592.0,68471.0,56498.0,61399.0,61970.0,83738.0,53356.0,51083.0,58199.0,71198.0,64825.0
9,72154.0,75809.0,79920.0,71857.0,82953.0,67219.0,61650.0,47611.0,72789.0,79832.0,57585.0,56599.0,51241.0,78058.0,46624.0,53519.0,78921.0,50883.0,92838.0,90105.0,76102.0,53536.0,48276.0,76826.0,49691.0,42129.0,70396.0,61779.0,57490.0,65489.0,76311.0,51089.0,51984.0,55915.0,67113.0,64498.0
10,71949.0,75894.0,78326.0,73813.0,83647.0,65171.0,53707.0,48095.0,72694.0,78834.0,59025.0,63886.0,61059.0,74239.0,49939.0,50860.0,71480.0,56967.0,97412.0,86789.0,75427.0,58468.0,51248.0,77750.0,47400.0,42742.0,76400.0,62370.0,56888.0,70292.0,75580.0,49498.0,53347.0,57744.0,64731.0,65640.0
11,66048.0,77555.0,77048.0,73101.0,81898.0,61662.0,50245.0,48946.0,72175.0,78999.0,58461.0,70205.0,56844.0,69262.0,57489.0,52800.0,62900.0,66176.0,107342.0,83663.0,73434.0,54384.0,55787.0,82236.0,53216.0,42318.0,79029.0,59951.0,56332.0,79071.0,74848.0,47527.0,50976.0,59565.0,63926.0,67627.0
12,56925.0,78733.0,73709.0,69719.0,79445.0,66053.0,54340.0,55859.0,73645.0,76971.0,58960.0,80484.0,56323.0,69822.0,59319.0,61314.0,66896.0,84227.0,109955.0,82577.0,77066.0,52641.0,63658.0,84012.0,63021.0,44608.0,78202.0,59787.0,55782.0,95492.0,76299.0,51351.0,55577.0,64874.0,64399.0,70803.0
13,54629.0,79495.0,73528.0,75246.0,78890.0,66745.0,62687.0,61523.0,74416.0,75782.0,62615.0,90179.0,58896.0,80292.0,60160.0,61538.0,65079.0,86981.0,103102.0,86426.0,80100.0,65105.0,65558.0,84910.0,59421.0,53634.0,84848.0,61800.0,60066.0,96933.0,75752.0,56866.0,59670.0,71764.0,68756.0,71274.0
14,58574.0,80125.0,72950.0,71249.0,85355.0,65093.0,71237.0,62901.0,75746.0,74612.0,74507.0,97370.0,61648.0,88558.0,74574.0,65172.0,70475.0,86600.0,96104.0,91772.0,82477.0,86048.0,77196.0,82570.0,60213.0,64106.0,90611.0,65248.0,67578.0,91369.0,77538.0,60727.0,68586.0,77200.0,81241.0,75079.0
15,67756.0,83938.0,75502.0,70031.0,83636.0,69824.0,72794.0,62613.0,75318.0,80178.0,78826.0,101130.0,70058.0,86973.0,84592.0,68568.0,72304.0,89616.0,94998.0,93923.0,83768.0,92499.0,81230.0,80251.0,68961.0,69242.0,94163.0,68729.0,71689.0,94041.0,81074.0,63396.0,76519.0,77773.0,79614.0,84184.0
16,73078.0,90263.0,82893.0,76157.0,85045.0,76713.0,78479.0,61008.0,76655.0,83911.0,81725.0,99792.0,76117.0,88465.0,91666.0,68279.0,68714.0,92101.0,95847.0,96834.0,77338.0,93583.0,87458.0,80065.0,75566.0,71092.0,95278.0,84960.0,65075.0,96065.0,82506.0,68330.0,72903.0,73283.0,82387.0,100021.0
17,77659.0,91608.0,90297.0,84480.0,81236.0,95870.0,80846.0,60092.0,83130.0,84110.0,90647.0,99981.0,78438.0,95247.0,95598.0,64379.0,65608.0,96114.0,94798.0,98157.0,68213.0,96688.0,85752.0,79467.0,77244.0,66803.0,96987.0,82141.0,63515.0,93901.0,87161.0,69394.0,68044.0,67845.0,91536.0,102444.0
18,85524.0,83161.0,94086.0,86736.0,92656.0,99378.0,78867.0,59599.0,90889.0,75356.0,89879.0,100733.0,85397.0,97667.0,99048.0,60922.0,67523.0,99574.0,94896.0,95025.0,63290.0,99259.0,91820.0,74797.0,72543.0,63393.0,99347.0,89602.0,64171.0,98288.0,86660.0,68795.0,65350.0,70926.0,87649.0,101947.0
19,91379.0,74248.0,94194.0,95832.0,98887.0,99587.0,75835.0,59278.0,89919.0,69139.0,86750.0,100860.0,91241.0,91140.0,98996.0,60188.0,75422.0,90896.0,97017.0,98552.0,61260.0,97862.0,97154.0,69919.0,70341.0,61530.0,98269.0,91048.0,62214.0,93265.0,89274.0,67920.0,63942.0,74752.0,82935.0,100821.0
20,93486.0,69430.0,96581.0,100735.0,100064.0,98924.0,72056.0,58919.0,81259.0,65134.0,81345.0,103952.0,88408.0,97359.0,90652.0,59845.0,73345.0,81470.0,97311.0,101124.0,65972.0,101054.0,89992.0,67287.0,69755.0,60427.0,94368.0,96167.0,61260.0,93593.0,97259.0,65762.0,61193.0,77067.0,82742.0,97173.0
21,89767.0,65394.0,96488.0,99275.0,93110.0,97132.0,74192.0,58814.0,76273.0,75940.0,77425.0,111069.0,83954.0,106615.0,82816.0,59574.0,74536.0,77594.0,96519.0,102891.0,68715.0,100820.0,99900.0,65514.0,68647.0,61755.0,88847.0,100523.0,60249.0,93740.0,97820.0,62925.0,59301.0,78132.0,77708.0,95520.0
22,83938.0,61344.0,92139.0,99278.0,89424.0,93192.0,77210.0,62733.0,74091.0,73346.0,76282.0,115799.0,79882.0,106184.0,78362.0,58162.0,75389.0,75695.0,94102.0,110852.0,67053.0,100459.0,100466.0,72636.0,65834.0,61068.0,85746.0,98843.0,59046.0,90377.0,88725.0,61851.0,59746.0,76893.0,75175.0,93237.0
23,77716.0,58587.0,86772.0,97783.0,85733.0,92009.0,80375.0,64222.0,72054.0,75439.0,73873.0,129010.0,76464.0,98713.0,74439.0,57054.0,85667.0,74214.0,94048.0,119315.0,70940.0,106382.0,101060.0,79610.0,62655.0,59095.0,83705.0,96829.0,63831.0,90893.0,84276.0,61227.0,61583.0,76453.0,74297.0,89475.0
24,74684.0,57555.0,87880.0,92118.0,87588.0,96613.0,89727.0,63818.0,73492.0,83812.0,76705.0,132119.0,78561.0,88064.0,78766.0,56215.0,90267.0,72787.0,93897.0,125493.0,76780.0,100928.0,98524.0,82609.0,63425.0,61567.0,79269.0,96826.0,62279.0,116756.0,80942.0,59498.0,62820.0,73488.0,74834.0,86801.0
